States,2019,2019_lower, 2019_upper
Manhiça,1800 ,1500 , 2200
Manica,<1000 ,<1000 , <1000
Mapai,<200 ,<100 , <200
Marara,<100 ,<100 , <200
Marracuene,1900 ,1400 , 2500
Marromeu,1100 ,<1000 , 1500
Marrupa,<500 ,<200 , <500
Marávia,<100 ,<100 , <200
Maríngué,<500 ,<200 , <500
Massangena,<100 ,<100 , <200
Massinga,1300 ,<1000 , 1600
Massingir,<200 ,<200 , <500
Matola,7700 ,6500 , 9100
Matutuíne,<1000 ,<500 , <1000
Mavago,<100 ,<100 , <200
Maxixe,<1000 ,<1000 , <1000
Maúa,<500 ,<200 , <500
Mecanhelas,<1000 ,<500 , <1000
Meconta,1300 ,<1000 , 1800
Mecubúri,<1000 ,<500 , <1000
Mecufi,<500 ,<200 , <500
Mecula,<200 ,<100 , <200
Meluco,<500 ,<200 , <500
Memba,<1000 ,<1000 , 1400
Metarica,<100 ,<100 , <200
Metuge,<500 ,<500 , <1000
Milange,2000 ,1300 , 2800
Moamba,1100 ,<1000 , 1400
Moatize,<500 ,<500 , <500
Mocuba,2100 ,1600 , 2800
Mocubela,<1000 ,<1000 , 1100
Mocímboa da Praia,<1000 ,<500 , 1100
Mogincual,<500 ,<200 , <500
Mogovolas,1400 ,<1000 , 2000
Molumbo,<1000 ,<1000 , 1500
Moma,1600 ,1100 , 2300
Monapo,2000 ,1400 , 2800
Montepuez,1200 ,<1000 , 1800
Mopeia,<1000 ,<1000 , 1100
Morrumbala,1600 ,1100 , 2200
Morrumbene,<1000 ,<500 , <1000
Morrupula,<1000 ,<500 , <1000
Mossuril,<1000 ,<500 , 1000
Mossurize,<500 ,<500 , <1000
Muanza,<200 ,<100 , <500
Muecate,<1000 ,<500 , <1000
Mueda,1100 ,<1000 , 1400
Muembe,<100 ,<100 , <200
Muidumbe,<1000 ,<1000 , 1400
Mulevala,<500 ,<500 , <1000
Mutarara,<200 ,<100 , <200
Mágoè,<100 ,<100 , <200
Nacala,1900 ,1200 , 2700
Nacala-a-Velha,<500 ,<500 , <1000
Nacarôa,<1000 ,<500 , <1000
Namaacha,<500 ,<500 , <1000
Namacurra,1800 ,1400 , 2200
Namarói,<500 ,<200 , <1000
Nampula,3900 ,3100 , 5000
Namuno,1300 ,<1000 , 1900
Nangade,<500 ,<500 , <1000
Ngaúma,<500 ,<200 , <500
Nhamatanda,1600 ,1100 , 2100
Nhlamankulu,<500 ,<500 , <500
Nicoadala,1600 ,1100 , 2000
Nipepe,<100 ,<100 , <200
Palma,<500 ,<200 , <500
Panda,<200 ,<200 , <200
Pebane,1100 ,<1000 , 1400
Pemba,<1000 ,<1000 , 1300
Quelimane,2900 ,2400 , 3400
Quissanga,<500 ,<200 , <500
Rapale,<1000 ,<500 , <1000
Ribáuè,1200 ,<1000 , 1800
Sanga,<500 ,<200 , <500
Sussendenga,<500 ,<500 , <1000
Tambara,<200 ,<100 , <200
Tete,<1000 ,<1000 , <1000
Tsangano,<100 ,<100 , <200
Vanduzi,<500 ,<500 , <1000
Vilankulo,<1000 ,<1000 , <1000
Xai-Xai,<1000 ,<1000 , <1000
Zavala,<1000 ,<500 , <1000
Zumbu,<100 ,<100 , <100
National,130 000 ,84 000,210 000
