Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,0.16 ,0.03 , 0.36,0.16 ,0.03 , 0.32,0.13 ,0.03 , 0.29,0.13 ,0.03 , 0.26,0.10 ,0.03 , 0.25,0.09 ,0.03 , 0.22,0.09 ,0.03 , 0.22,0.09 ,0.03 , 0.21,0.09 ,0.03 , 0.21,0.09 ,0.03 , 0.20,0.09 ,0.03 , 0.20,0.08 ,0.03 , 0.20,0.08 ,0.03 , 0.19,0.08 ,0.02 , 0.19,0.08 ,0.02 , 0.21,0.08 ,0.02 , 0.21,0.08 ,0.02 , 0.20,0.07 ,0.01 , 0.17,0.07 ,0.01 , 0.19,0.07 ,0.01 , 0.19,0.07 ,<0.01 , 0.18,0.07 ,<0.01 , 0.18,0.06 ,<0.01 , 0.19,0.06 ,<0.01 , 0.19,0.06 ,<0.01 , 0.20,0.06 ,<0.01 , 0.20,0.04 ,<0.01 , 0.19,0.04 ,<0.01 , 0.19,0.04 ,<0.01 , 0.20,0.04 ,<0.01 , 0.20
Belarus,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.02 ,<0.01 , 0.03,0.02 ,0.01 , 0.03,0.03 ,0.01 , 0.04,0.03 ,0.02 , 0.05,0.03 ,0.02 , 0.05,0.03 ,0.02 , 0.05,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.07,0.04 ,0.02 , 0.07,0.05 ,0.02 , 0.08,0.05 ,0.02 , 0.08,0.05 ,0.02 , 0.09,0.05 ,0.03 , 0.10,0.05 ,0.02 , 0.10,0.04 ,0.02 , 0.10,0.04 ,0.02 , 0.09,0.04 ,0.02 , 0.10
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,0.20 ,0.07 , 0.50,0.31 ,0.10 , 0.78,0.44 ,0.14 , 1.09,0.56 ,0.18 , 1.40,0.65 ,0.21 , 1.62,0.70 ,0.23 , 1.75,0.70 ,0.23 , 1.75,0.67 ,0.21 , 1.66,0.62 ,0.20 , 1.54,0.57 ,0.18 , 1.41,0.52 ,0.17 , 1.28,0.49 ,0.15 , 1.19,0.44 ,0.14 , 1.08,0.40 ,0.13 , 1.01,0.38 ,0.12 , 0.95,0.36 ,0.12 , 0.90,0.35 ,0.11 , 0.86,0.33 ,0.11 , 0.81,0.32 ,0.10 , 0.79,0.29 ,0.09 , 0.72,0.28 ,0.09 , 0.68,0.26 ,0.08 , 0.66,0.25 ,0.08 , 0.63,0.25 ,0.08 , 0.61,0.24 ,0.07 , 0.58,0.22 ,0.07 , 0.55,0.21 ,0.07 , 0.52,0.20 ,0.06 , 0.49,0.19 ,0.06 , 0.48,0.18 ,0.06 , 0.45
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),0.08 ,0.02 , 0.20,0.09 ,0.02 , 0.21,0.09 ,0.02 , 0.21,0.09 ,0.02 , 0.21,0.09 ,0.02 , 0.20,0.08 ,0.02 , 0.17,0.07 ,0.02 , 0.16,0.06 ,0.02 , 0.13,0.05 ,0.01 , 0.10,0.04 ,<0.01 , 0.08,0.03 ,<0.01 , 0.07,0.03 ,<0.01 , 0.06,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.02 ,<0.01 , 0.03,0.02 ,<0.01 , 0.03,0.02 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
