Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central African Republic,13 ,10 , 15,12 ,10 , 15,15 ,12 , 17,14 ,11 , 16,22 ,18 , 27,25 ,21 , 31,38 ,31 , 46,42 ,35 , 53,45 ,37 , 57,53 ,44 , 69
Chad,38 ,31 , 45,37 ,30 , 44,40 ,32 , 48,42 ,34 , 50,50 ,41 , 59,60 ,48 , 71,50 ,41 , 59,56 ,45 , 67,63 ,52 , 76,70 ,57 , 83
Chile,41 ,37 , 45,41 ,37 , 45,43 ,38 , 47,52 ,46 , 57,45 ,41 , 50,49 ,44 , 54,45 ,41 , 50,49 ,44 , 54,52 ,47 , 58,55 ,49 , 62
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,19 ,16 , 23,26 ,22 , 31,30 ,25 , 36,35 ,29 , 42,40 ,33 , 47,43 ,36 , 52,45 ,37 , 54,43 ,34 , 52,43 ,34 , 52,43 ,34 , 53
Comoros,30 ,14 , 56,31 ,16 , 58,37 ,19 , 69,37 ,19 , 70,40 ,20 , 75,45 ,23 , 83,60 ,31 , >95,62 ,32 , >95,65 ,34 , >95,81 ,43 , >95
Congo,15 ,13 , 18,22 ,18 , 25,20 ,17 , 24,23 ,19 , 27,22 ,18 , 26,28 ,23 , 35,30 ,24 , 38,31 ,24 , 40,31 ,24 , 42,27 ,20 , 37
Costa Rica,28 ,21 , 35,28 ,21 , 35,27 ,21 , 35,29 ,23 , 37,26 ,20 , 32,31 ,25 , 39,37 ,29 , 46,34 ,27 , 42,36 ,28 , 44,39 ,31 , 48
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,37 ,22 , 52,43 ,25 , 60,47 ,28 , 65,51 ,30 , 70,57 ,34 , 80,65 ,38 , 90,71 ,41 , >95,75 ,44 , >95,81 ,48 , >95,89 ,53 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,20 ,17 , 23,24 ,21 , 28,27 ,24 , 31,30 ,27 , 35,36 ,32 , 42,41 ,36 , 48,50 ,45 , 59,61 ,54 , 71,67 ,59 , 78,71 ,62 , 83
