Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Ghana,<1 ,<1 , 1,12 ,10 , 17,11 ,8 , 14,22 ,17 , 31,18 ,13 , 25,23 ,17 , 33,35 ,25 , 51,51 ,37 , 79,61 ,43 , 92,65 ,45 , >95
Guatemala,,,,28 ,22 , 36,26 ,21 , 33,19 ,15 , 23,27 ,22 , 33,17 ,13 , 20,30 ,24 , 35,34 ,28 , 41,36 ,30 , 43,49 ,40 , 58
Guinea,5 ,4 , 7,7 ,6 , 9,<1 ,<1 , <1,7 ,6 , 8,8 ,7 , 11,5 ,4 , 6,49 ,40 , 61,14 ,12 , 19,16 ,13 , 20,31 ,25 , 39
Guinea-Bissau,,,,<1 ,<1 , <1,,,,6 ,5 , 8,28 ,24 , 35,41 ,34 , 51,,,,33 ,28 , 42,31 ,26 , 41,,,
Guyana,17 ,14 , 19,31 ,27 , 36,26 ,22 , 29,24 ,21 , 27,48 ,42 , 55,47 ,40 , 54,,,,57 ,49 , 67,57 ,48 , 68,>95 ,>95 , >95
Haiti,,,,50 ,42 , 66,64 ,53 , 84,34 ,28 , 44,37 ,31 , 46,33 ,28 , 42,37 ,31 , 47,43 ,36 , 56,47 ,39 , 60,50 ,42 , 63
Honduras,93 ,78 , >95,>95 ,>95 , >95,57 ,48 , 66,62 ,53 , 72,63 ,54 , 74,50 ,43 , 59,74 ,64 , 89,71 ,60 , 84,55 ,47 , 65,76 ,65 , 91
Iran (Islamic Republic of),14 ,10 , 20,,,,10 ,7 , 14,14 ,9 , 21,17 ,10 , 27,22 ,12 , 38,26 ,14 , 46,36 ,17 , 66,39 ,18 , 76,28 ,13 , 57
Jamaica,,,,41 ,29 , 53,,,,45 ,33 , 57,40 ,29 , 49,,,,,,,,,,,,,21 ,15 , 26
Kazakhstan,94 ,77 , >95,>95 ,84 , >95,>95 ,79 , >95,>95 ,82 , >95,>95 ,88 , >95,81 ,71 , >95,83 ,72 , >95,>95 ,89 , >95,86 ,75 , >95,83 ,73 , >95
Kenya,66 ,54 , 85,41 ,34 , 53,42 ,35 , 54,43 ,35 , 55,52 ,43 , 67,53 ,44 , 68,57 ,47 , 74,53 ,44 , 69,67 ,55 , 86,69 ,57 , 89
Kyrgyzstan,,,,3 ,<1 , <1,13 ,<1 , <1,13 ,<1 , <1,41 ,<1 , <1,35 ,<1 , <1,69 ,<1 , <1,72 ,<1 , <1,77 ,<1 , <1,75 ,<1 , <1
Lao People's Democratic Republic,2 ,1 , 2,15 ,13 , 18,11 ,9 , 13,19 ,17 , 23,5 ,4 , 6,6 ,5 , 7,12 ,10 , 14,15 ,12 , 17,18 ,15 , 20,13 ,11 , 14
Lesotho,87 ,76 , >95,87 ,77 , >95,,,,45 ,40 , 57,51 ,45 , 66,90 ,79 , >95,64 ,56 , 81,85 ,75 , >95,78 ,67 , >95,73 ,63 , 95
Liberia,4 ,3 , 6,14 ,10 , 19,23 ,17 , 31,25 ,19 , 34,10 ,8 , 14,,,,,,,7 ,6 , 10,14 ,11 , 19,22 ,17 , 31
Libya,,,,,,,,,,39 ,30 , 52,,,,,,,31 ,25 , 40,25 ,20 , 31,42 ,34 , 52,53 ,44 , 66
Madagascar,,,,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,,,,<1 ,<1 , <1,,,,,,,,,,,,
Malawi,,,,,,,6 ,5 , 7,18 ,15 , 23,23 ,20 , 31,23 ,20 , 30,36 ,31 , 49,63 ,55 , 83,>95 ,87 , >95,76 ,66 , >95
Malaysia,76 ,65 , 91,78 ,68 , 89,73 ,63 , 82,77 ,66 , 89,86 ,76 , >95,78 ,67 , 92,74 ,63 , 90,>95 ,>95 , >95,95 ,82 , >95,95 ,83 , >95
Mali,6 ,5 , 7,6 ,5 , 7,9 ,7 , 11,7 ,6 , 8,5 ,4 , 6,2 ,2 , 3,9 ,8 , 12,17 ,14 , 20,15 ,12 , 19,22 ,17 , 27
Mauritania,,,,,,,,,,,,,,,,,,,14 ,10 , 19,,,,,,,,,
Mauritius,,,,,,,20 ,17 , 23,6 ,5 , 7,92 ,81 , >95,62 ,53 , 76,48 ,42 , 58,80 ,67 , >95,>95 ,>95 , >95,,,
Morocco,18 ,14 , 23,17 ,13 , 22,57 ,46 , 70,55 ,44 , 67,,,,,,,,,,,,,,,,,,
Mozambique,36 ,27 , 51,42 ,31 , 58,35 ,26 , 49,35 ,26 , 49,43 ,32 , 60,47 ,35 , 66,50 ,37 , 70,57 ,43 , 80,66 ,50 , 93,71 ,53 , >95
Myanmar,1 ,1 , 1,3 ,3 , 4,5 ,4 , 5,,,,,,,15 ,13 , 18,27 ,24 , 31,31 ,27 , 36,27 ,23 , 31,53 ,47 , 61
Namibia,42 ,37 , 51,68 ,61 , 85,50 ,44 , 61,48 ,43 , 59,81 ,71 , >95,15 ,13 , 18,47 ,42 , 60,>95 ,>95 , >95,,,,>95 ,90 , >95
Nepal,4 ,3 , 4,5 ,4 , 6,10 ,9 , 12,6 ,5 , 7,10 ,8 , 11,25 ,21 , 29,29 ,24 , 35,51 ,42 , 60,82 ,69 , >95,93 ,79 , >95
Netherlands,,,,<1 ,<1 , <1,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,40 ,30 , 49,47 ,37 , 60,47 ,37 , 57,56 ,45 , 71,50 ,40 , 62,63 ,50 , 79,58 ,47 , 73,74 ,59 , 92,84 ,65 , >95,63 ,51 , 80
Niger,,,,,,,1 ,1 , 2,10 ,8 , 11,2 ,2 , 2,14 ,12 , 16,6 ,5 , 7,13 ,11 , 15,7 ,6 , 8,1 ,1 , 2
Nigeria,10 ,7 , 15,11 ,7 , 16,9 ,6 , 14,8 ,5 , 12,9 ,6 , 14,16 ,11 , 25,19 ,13 , 29,20 ,14 , 31,18 ,13 , 28,27 ,18 , 41
Pakistan,1 ,1 , 1,<1 ,<1 , <1,<1 ,<1 , <1,1 ,1 , 2,1 ,1 , 2,<1 ,<1 , <1,<1 ,<1 , <1,1 ,<1 , 1,2 ,2 , 2,3 ,3 , 3
Papua New Guinea,,,,31 ,25 , 42,21 ,16 , 29,62 ,50 , 86,36 ,29 , 51,43 ,35 , 60,,,,,,,>95 ,>95 , >95,68 ,55 , 91
Paraguay,25 ,16 , 39,33 ,22 , 50,51 ,34 , 78,42 ,27 , 62,42 ,28 , 62,55 ,35 , 83,63 ,42 , 93,64 ,43 , >95,60 ,40 , 88,63 ,42 , 91
Peru,,,,13 ,11 , 15,25 ,22 , 28,35 ,31 , 40,28 ,24 , 32,58 ,50 , 67,68 ,60 , 79,68 ,59 , 79,84 ,73 , >95,63 ,55 , 74
Philippines,8 ,7 , 10,12 ,10 , 14,6 ,5 , 7,<1 ,<1 , <1,3 ,2 , 3,5 ,4 , 6,7 ,6 , 9,7 ,6 , 9,4 ,3 , 5,7 ,6 , 9
Republic of Moldova,71 ,60 , 83,55 ,46 , 64,70 ,59 , 81,65 ,55 , 76,73 ,62 , 85,82 ,69 , >95,80 ,68 , 94,88 ,74 , >95,77 ,66 , 90,94 ,80 , >95
Romania,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,,,,,,,,,
Rwanda,64 ,55 , 82,66 ,56 , 86,73 ,63 , 94,76 ,66 , >95,82 ,72 , >95,82 ,71 , >95,90 ,79 , >95,87 ,76 , >95,78 ,68 , >95,87 ,75 , >95
Senegal,11 ,10 , 13,9 ,8 , 11,10 ,9 , 12,13 ,11 , 15,12 ,11 , 14,15 ,12 , 17,13 ,11 , 16,24 ,21 , 28,25 ,21 , 28,59 ,50 , 69
Sierra Leone,<1 ,<1 , <1,<1 ,<1 , <1,1 ,1 , 2,17 ,14 , 23,2 ,1 , 2,2 ,2 , 3,4 ,3 , 5,4 ,4 , 6,3 ,3 , 5,9 ,7 , 11
Somalia,,,,<1 ,<1 , <1,,,,,,,,,,,,,,,,,,,,,,<1 ,<1 , <1
South Africa,61 ,50 , 83,57 ,48 , 79,77 ,64 , >95,63 ,52 , 88,71 ,59 , >95,93 ,78 , >95,66 ,54 , 94,80 ,66 , >95,80 ,66 , >95,83 ,70 , >95
South Sudan,,,,,,,,,,,,,,,,1 ,<1 , 2,2 ,2 , 3,12 ,9 , 16,6 ,4 , 8,12 ,9 , 16
Spain,,,,47 ,40 , 57,30 ,25 , 36,10 ,8 , 12,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,<1 ,<1 , <1,,,,,,,,,,,,,,,
Suriname,7 ,6 , 9,,,,,,,,,,,,,80 ,67 , >95,,,,58 ,48 , 72,,,,38 ,31 , 48
Tajikistan,8 ,6 , 10,,,,,,,19 ,15 , 22,17 ,13 , 20,35 ,28 , 41,24 ,19 , 29,49 ,40 , 56,61 ,48 , 71,65 ,51 , 76
Thailand,45 ,39 , 55,44 ,37 , 54,55 ,47 , 66,59 ,50 , 71,62 ,53 , 74,82 ,70 , >95,84 ,70 , >95,>95 ,83 , >95,>95 ,88 , >95,94 ,80 , >95
Togo,17 ,14 , 23,5 ,4 , 8,13 ,10 , 17,13 ,10 , 17,18 ,14 , 24,18 ,14 , 25,37 ,29 , 51,36 ,29 , 51,43 ,34 , 60,44 ,34 , 60
Tunisia,,,,19 ,14 , 31,17 ,12 , 25,21 ,15 , 30,37 ,27 , 52,44 ,32 , 59,33 ,23 , 44,14 ,10 , 19,14 ,10 , 21,28 ,20 , 42
Uganda,11 ,9 , 12,31 ,28 , 38,,,,44 ,39 , 52,5 ,5 , 7,40 ,36 , 48,33 ,30 , 40,46 ,41 , 57,47 ,42 , 56,56 ,50 , 68
Ukraine,68 ,57 , 82,55 ,47 , 65,,,,69 ,58 , 81,63 ,54 , 73,41 ,35 , 47,50 ,44 , 58,47 ,41 , 54,55 ,48 , 63,70 ,61 , 79
United Republic of Tanzania,29 ,24 , 37,36 ,31 , 46,35 ,29 , 44,34 ,28 , 44,46 ,39 , 60,45 ,38 , 57,45 ,39 , 59,42 ,36 , 54,48 ,41 , 62,47 ,40 , 60
Uzbekistan,13 ,11 , 15,58 ,52 , 66,29 ,27 , 33,27 ,24 , 31,62 ,56 , 71,50 ,45 , 57,68 ,61 , 75,59 ,53 , 65,66 ,60 , 72,68 ,62 , 75
Venezuela (Bolivarian Republic of),,,,7 ,6 , 9,4 ,3 , 4,5 ,4 , 7,,,,,,,3 ,3 , 4,,,,5 ,4 , 6,,,
Viet Nam,,,,32 ,27 , 39,31 ,27 , 37,66 ,56 , 82,44 ,36 , 52,52 ,44 , 61,51 ,42 , 60,31 ,26 , 37,48 ,41 , 56,46 ,40 , 54
Yemen,7 ,5 , 11,2 ,1 , 2,2 ,1 , 2,8 ,5 , 10,4 ,3 , 5,,,,,,,,,,,,,,,
Zambia,32 ,28 , 39,84 ,74 , >95,88 ,78 , >95,78 ,69 , >95,49 ,44 , 61,53 ,47 , 66,54 ,48 , 67,58 ,51 , 71,61 ,54 , 75,70 ,63 , 87
Zimbabwe,9 ,8 , 12,18 ,15 , 24,31 ,26 , 41,48 ,40 , 63,47 ,39 , 62,53 ,44 , 69,66 ,54 , 86,62 ,51 , 81,61 ,51 , 80,56 ,46 , 73
Global,34 ,27,45,37 ,30,50,42 ,34,57,41 ,33,54,41 ,33,55,50 ,41,67,47 ,38,63,54 ,44,72,57 ,46,77,60 ,49,81
