Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Botswana,13 000 ,6500 , 19 000,19 000 ,9200 , 27 000,26 000 ,12 000 , 37 000,34 000 ,16 000 , 47 000,42 000 ,20 000 , 59 000,49 000 ,24 000 , 70 000,55 000 ,27 000 , 78 000,60 000 ,29 000 , 84 000,62 000 ,29 000 , 88 000,62 000 ,29 000 , 89 000,61 000 ,28 000 , 88 000,59 000 ,27 000 , 85 000,56 000 ,25 000 , 80 000,52 000 ,23 000 , 76 000,49 000 ,22 000 , 72 000,46 000 ,20 000 , 67 000,43 000 ,19 000 , 63 000,41 000 ,18 000 , 60 000,39 000 ,18 000 , 57 000,38 000 ,18 000 , 55 000,37 000 ,19 000 , 53 000,37 000 ,19 000 , 52 000,36 000 ,20 000 , 51 000,35 000 ,20 000 , 49 000,35 000 ,20 000 , 48 000,34 000 ,20 000 , 47 000,33 000 ,21 000 , 45 000,33 000 ,21 000 , 44 000,32 000 ,20 000 , 42 000,31 000 ,20 000 , 41 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Burkina Faso,32 000 ,14 000 , 57 000,34 000 ,15 000 , 58 000,34 000 ,14 000 , 56 000,32 000 ,14 000 , 53 000,31 000 ,12 000 , 50 000,28 000 ,11 000 , 46 000,26 000 ,9500 , 42 000,23 000 ,8200 , 38 000,21 000 ,7400 , 35 000,19 000 ,6900 , 32 000,18 000 ,6600 , 29 000,17 000 ,6700 , 27 000,16 000 ,6700 , 26 000,15 000 ,7400 , 24 000,15 000 ,8100 , 24 000,15 000 ,8300 , 23 000,15 000 ,8900 , 23 000,16 000 ,9700 , 23 000,16 000 ,10 000 , 23 000,16 000 ,10 000 , 23 000,16 000 ,11 000 , 23 000,16 000 ,11 000 , 23 000,16 000 ,11 000 , 23 000,16 000 ,11 000 , 22 000,16 000 ,11 000 , 21 000,15 000 ,10 000 , 20 000,15 000 ,10 000 , 20 000,14 000 ,9600 , 19 000,13 000 ,9200 , 18 000,13 000 ,8700 , 18 000
Burundi,25 000 ,9100 , 47 000,26 000 ,9500 , 46 000,26 000 ,9400 , 43 000,24 000 ,8700 , 39 000,22 000 ,7800 , 37 000,20 000 ,7100 , 34 000,18 000 ,6300 , 30 000,16 000 ,5700 , 27 000,14 000 ,5200 , 24 000,13 000 ,4900 , 21 000,12 000 ,4800 , 19 000,11 000 ,4800 , 17 000,11 000 ,5100 , 17 000,11 000 ,5500 , 16 000,11 000 ,5900 , 16 000,11 000 ,6400 , 16 000,11 000 ,7300 , 16 000,12 000 ,7800 , 17 000,12 000 ,8500 , 17 000,13 000 ,9100 , 17 000,13 000 ,9400 , 17 000,14 000 ,9700 , 18 000,14 000 ,10 000 , 18 000,14 000 ,10 000 , 17 000,13 000 ,10 000 , 17 000,13 000 ,9800 , 16 000,12 000 ,9300 , 15 000,12 000 ,8900 , 15 000,11 000 ,8500 , 14 000,11 000 ,8000 , 13 000
Cabo Verde,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Cambodia,<500 ,<500 , <500,<1000 ,<1000 , 1100,2500 ,1900 , 3000,5200 ,4000 , 6200,8500 ,6500 , 10 000,12 000 ,8800 , 14 000,14 000 ,10 000 , 17 000,15 000 ,11 000 , 18 000,15 000 ,10 000 , 18 000,14 000 ,9800 , 18 000,13 000 ,8900 , 17 000,12 000 ,7900 , 16 000,10 000 ,6900 , 14 000,9000 ,6000 , 12 000,7600 ,5100 , 10 000,6300 ,4300 , 8500,5200 ,3600 , 6900,4300 ,3000 , 5700,3800 ,2700 , 4900,3500 ,2600 , 4500,3400 ,2600 , 4400,3500 ,2700 , 4400,3600 ,2900 , 4500,3800 ,3100 , 4600,4000 ,3300 , 4700,4100 ,3500 , 4800,4300 ,3600 , 4900,4300 ,3700 , 5000,4400 ,3800 , 5000,4300 ,3700 , 5000
Cameroon,11 000 ,5500 , 18 000,16 000 ,7700 , 24 000,22 000 ,11 000 , 32 000,29 000 ,14 000 , 43 000,39 000 ,18 000 , 55 000,49 000 ,23 000 , 71 000,60 000 ,28 000 , 87 000,71 000 ,35 000 , 100 000,81 000 ,40 000 , 120 000,88 000 ,44 000 , 130 000,93 000 ,45 000 , 140 000,95 000 ,46 000 , 140 000,95 000 ,43 000 , 140 000,92 000 ,40 000 , 140 000,88 000 ,38 000 , 130 000,83 000 ,35 000 , 130 000,79 000 ,32 000 , 120 000,74 000 ,31 000 , 120 000,71 000 ,30 000 , 110 000,68 000 ,30 000 , 110 000,66 000 ,29 000 , 100 000,64 000 ,29 000 , 100 000,62 000 ,29 000 , 97 000,60 000 ,30 000 , 94 000,59 000 ,30 000 , 90 000,58 000 ,31 000 , 87 000,56 000 ,31 000 , 83 000,55 000 ,30 000 , 79 000,53 000 ,30 000 , 77 000,51 000 ,30 000 , 74 000
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
