Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1 ,15.5 , 27.2,52.8 ,41.1 , 70.3,53.9 ,42.0 , 71.8,40.0 ,28.0 , 61.8,79.9 ,55.9 , 123.5
Bolivia (Plurinational State of),,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,0.2 ,0.2 , 0.4,0.7 ,0.5 , 1.1,6.6 ,4.5 , 10.4,26.0 ,17.9 , 41.1,28.0 ,19.3 , 44.3,39.6 ,27.3 , 62.6,14.4 ,9.9 , 22.6,33.7 ,23.4 , 53.0,33.1 ,23.0 , 52.0,38.8 ,27.0 , 60.3,47.8 ,33.4 , 74.2
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,,,,43.9 ,30.7 , 67.8,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,12.4 ,8.6 , 19.6,16.7 ,12.5 , 23.4,22.1 ,17.3 , 29.2,25.5 ,17.7 , 40.0,35.8 ,24.9 , 55.7,50.6 ,38.9 , 68.4,59.1 ,47.0 , 76.3,51.3 ,38.9 , 70.8,44.9 ,31.2 , 70.2,48.7 ,38.3 , 63.8,74.5 ,52.1 , 115.1
Brazil,,,,,,,,,,48.7 ,40.7 , 59.3,27.7 ,23.2 , 33.7,42.8 ,36.3 , 51.3,50.1 ,41.1 , 62.4,48.6 ,40.2 , 59.9,45.6 ,38.1 , 55.5,48.3 ,40.7 , 58.4,56.8 ,48.1 , 68.3,61.1 ,51.8 , 73.1,64.9 ,55.2 , 77.5,,,,,,,23.0 ,19.6 , 27.3,28.8 ,24.5 , 34.4,34.7 ,29.5 , 41.4
Brunei Darussalam,,,,,,,,,,78.6 ,68.0 , 92.1,<0.1 ,<0.1 , Nil,<0.1 ,<0.1 , <0.1,,,,,,,,,,87.0 ,75.1 , 101.9,87.0 ,75.1 , Nil,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,,,,,,,87.0 ,60.9 , Nil,87.0 ,60.9 , 134.4,87.0 ,60.9 , 134.4
Bulgaria,,,,,,,,,,217.4 ,169.4 , 289.2,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,58.8 ,45.8 , 78.2,62.6 ,48.8 , 83.1,58.2 ,45.3 , 77.4,,,,,,,,,,<0.1 ,<0.1 , <0.1,100.0 ,70.0 , 154.5
Burkina Faso,,,,,,,,,,,,,,,,6.5 ,4.5 , 10.4,10.2 ,7.1 , 16.2,14.9 ,9.9 , 24.6,22.9 ,15.8 , 35.9,26.9 ,18.6 , 42.2,31.5 ,21.8 , 49.5,39.3 ,27.2 , 61.7,39.8 ,27.6 , 62.2,48.0 ,33.3 , 75.0,52.5 ,36.5 , 82.2,44.6 ,31.0 , 69.6,46.3 ,32.1 , 72.7,45.3 ,31.4 , 71.1
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,1.1 ,0.8 , 1.7,14.4 ,9.9 , 22.7,17.6 ,12.2 , 27.7,18.6 ,12.8 , 29.5,25.3 ,17.5 , 39.8,34.3 ,23.8 , 53.7,36.2 ,25.1 , 56.8,51.1 ,35.4 , 80.3,53.1 ,36.9 , 82.9,59.9 ,41.9 , 92.6
Cabo Verde,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,41.0 ,28.3 , 64.8,,,,21.9 ,15.2 , 34.2,,,,,,,,,,,,,56.2 ,38.9 , 88.5,39.1 ,26.9 , 61.8,36.9 ,25.4 , 58.4,28.0 ,19.3 , 44.4,35.0 ,24.1 , 55.6,31.9 ,21.9 , 50.7
