Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Bangladesh,18.6,"Source: HIV surveillance"
Pakistan,0.8,"Source: IBBS Round V conducted in 2016"
Panama,96.8,"Source: Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Philippines,50.1,"Source: Behavioral surveillance survey (IHBSS)"
Samoa,100,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Thailand,74.3,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018 among venue sex worker and Integrated Biological Behavior Surveillance (IBBS) 2018 among venue MSM(including MSW)."
The former Yugoslav Republic of Macedonia,78.3,"Source: Report from the biobehavioral survey and assessment of population size of sex workers in Macedonia, 2018"
