Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central African Republic,12 ,10 , 14,12 ,10 , 14,14 ,12 , 17,14 ,12 , 18,22 ,18 , 27,26 ,22 , 33,30 ,25 , 37,35 ,29 , 44,38 ,31 , 49,46 ,37 , 59
Chad,31 ,25 , 37,31 ,25 , 37,33 ,27 , 40,35 ,28 , 42,42 ,34 , 49,50 ,40 , 59,38 ,31 , 46,44 ,35 , 53,52 ,41 , 62,58 ,46 , 70
Chile,39 ,34 , 44,39 ,34 , 44,44 ,39 , 50,49 ,42 , 55,50 ,43 , 56,51 ,45 , 58,55 ,48 , 62,61 ,53 , 68,64 ,56 , 73,68 ,58 , 77
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,17 ,14 , 21,23 ,19 , 28,26 ,22 , 32,31 ,25 , 37,35 ,29 , 42,41 ,33 , 49,44 ,36 , 53,43 ,35 , 53,44 ,36 , 54,45 ,36 , 56
Comoros,18 ,9 , 34,19 ,9 , 37,23 ,12 , 44,25 ,13 , 47,26 ,14 , 50,34 ,18 , 65,36 ,19 , 68,40 ,21 , 75,48 ,26 , 86,60 ,32 , >95
Congo,18 ,15 , 21,20 ,17 , 23,20 ,16 , 23,22 ,18 , 26,21 ,18 , 26,27 ,22 , 34,29 ,23 , 36,30 ,23 , 38,31 ,24 , 41,25 ,19 , 35
Costa Rica,41 ,32 , 53,42 ,32 , 53,42 ,32 , 53,43 ,33 , 54,43 ,34 , 55,49 ,38 , 62,51 ,40 , 64,53 ,41 , 66,60 ,47 , 74,66 ,51 , 82
Croatia,50 ,42 , 56,52 ,44 , 59,55 ,47 , 63,59 ,49 , 67,62 ,51 , 72,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,35 ,21 , 52,39 ,23 , 58,41 ,25 , 61,44 ,27 , 65,50 ,31 , 74,57 ,35 , 84,61 ,37 , 89,65 ,41 , 95,71 ,44 , >95,76 ,48 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,16 ,14 , 19,20 ,18 , 23,23 ,20 , 26,26 ,23 , 30,30 ,27 , 36,35 ,31 , 41,42 ,37 , 50,52 ,46 , 61,58 ,51 , 68,63 ,54 , 74
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,8 ,7 , 10,10 ,8 , 12,13 ,11 , 15,15 ,13 , 18,20 ,16 , 24,24 ,20 , 29,31 ,25 , 37,42 ,34 , 50,49 ,40 , 60,53 ,43 , 65
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,9 ,6 , 13,10 ,7 , 15,14 ,10 , 20,15 ,11 , 22,19 ,13 , 27,24 ,17 , 36,29 ,21 , 43,33 ,24 , 50,38 ,27 , 57,43 ,31 , 64
Dominican Republic,19 ,15 , 24,22 ,18 , 28,25 ,20 , 32,28 ,22 , 35,31 ,25 , 40,34 ,28 , 43,38 ,30 , 46,41 ,33 , 51,45 ,36 , 55,48 ,39 , 59
Ecuador,21 ,15 , 39,26 ,19 , 46,26 ,19 , 46,27 ,20 , 48,32 ,24 , 57,38 ,28 , 67,43 ,32 , 75,49 ,36 , 83,55 ,40 , 93,65 ,48 , >95
Egypt,10 ,8 , 17,11 ,9 , 18,12 ,9 , 18,14 ,10 , 20,17 ,12 , 23,17 ,13 , 23,21 ,15 , 27,26 ,19 , 34,31 ,23 , 40,32 ,24 , 42
El Salvador,32 ,28 , 37,32 ,28 , 38,33 ,29 , 39,36 ,32 , 42,37 ,33 , 44,38 ,34 , 45,41 ,36 , 49,43 ,37 , 50,43 ,38 , 51,50 ,43 , 59
Equatorial Guinea,7 ,6 , 8,10 ,9 , 12,15 ,13 , 17,25 ,21 , 29,24 ,20 , 29,21 ,18 , 26,27 ,22 , 34,36 ,28 , 46,35 ,27 , 46,35 ,27 , 48
Eritrea,27 ,21 , 36,33 ,25 , 43,39 ,30 , 51,44 ,34 , 58,50 ,38 , 66,55 ,42 , 73,58 ,44 , 77,60 ,45 , 80,62 ,46 , 83,62 ,45 , 84
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,34 ,32 , 37,38 ,35 , 41,43 ,40 , 46,48 ,45 , 52,58 ,54 , 62,68 ,63 , 72,77 ,72 , 83,86 ,80 , 92,88 ,82 , 94,>95 ,88 , >95
Ethiopia,33 ,25 , 43,40 ,30 , 51,43 ,33 , 55,47 ,36 , 61,54 ,41 , 69,57 ,44 , 74,63 ,48 , 81,65 ,50 , 84,67 ,51 , 86,74 ,57 , 95
Fiji,18 ,13 , 33,20 ,14 , 34,29 ,22 , 50,27 ,20 , 47,29 ,21 , 52,28 ,19 , 52,28 ,19 , 53,31 ,21 , 62,37 ,24 , 75,41 ,27 , 85
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,81 ,67 , >95,80 ,66 , 94,78 ,65 , 93,77 ,64 , 91,77 ,64 , 91,78 ,65 , 92,78 ,65 , 92,80 ,67 , 94,81 ,68 , 95,82 ,69 , >95
Gabon,25 ,21 , 31,28 ,23 , 34,32 ,25 , 40,42 ,32 , 51,45 ,34 , 55,54 ,42 , 68,60 ,46 , 76,66 ,50 , 83,70 ,53 , 89,51 ,38 , 66
Gambia,10 ,8 , 13,15 ,12 , 19,18 ,14 , 23,18 ,14 , 22,19 ,16 , 25,20 ,16 , 26,24 ,19 , 30,26 ,20 , 32,28 ,22 , 35,29 ,23 , 37
Georgia,29 ,22 , 40,33 ,25 , 46,42 ,31 , 60,45 ,33 , 65,48 ,35 , 71,50 ,36 , 78,54 ,38 , 85,55 ,38 , 90,56 ,37 , 92,56 ,35 , 93
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,14 ,11 , 16,20 ,16 , 24,23 ,18 , 27,24 ,19 , 29,26 ,20 , 32,25 ,19 , 32,28 ,21 , 36,31 ,23 , 40,33 ,25 , 45,45 ,32 , 61
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,35 ,28 , 44,38 ,31 , 48,42 ,34 , 53,44 ,37 , 56,45 ,38 , 57,44 ,37 , 54,45 ,38 , 55,49 ,42 , 59,54 ,47 , 66,58 ,50 , 70
Guinea,21 ,18 , 24,24 ,21 , 27,28 ,24 , 32,28 ,25 , 33,32 ,28 , 36,33 ,29 , 38,35 ,31 , 40,39 ,34 , 44,45 ,39 , 52,57 ,49 , 66
Guinea-Bissau,11 ,10 , 12,14 ,13 , 16,18 ,16 , 19,18 ,16 , 20,21 ,19 , 24,24 ,22 , 27,30 ,27 , 34,30 ,26 , 34,36 ,32 , 41,41 ,36 , 46
Guyana,44 ,39 , 48,47 ,43 , 52,50 ,45 , 55,53 ,47 , 58,54 ,49 , 60,56 ,51 , 62,59 ,53 , 66,62 ,56 , 69,65 ,58 , 72,69 ,62 , 77
Haiti,21 ,18 , 23,24 ,21 , 27,30 ,26 , 34,37 ,32 , 42,42 ,36 , 48,46 ,40 , 52,55 ,48 , 62,62 ,53 , 70,59 ,51 , 68,71 ,61 , 81
Honduras,31 ,26 , 37,34 ,29 , 41,37 ,31 , 44,40 ,34 , 47,41 ,35 , 49,44 ,37 , 51,45 ,38 , 53,47 ,40 , 56,48 ,40 , 55,48 ,40 , 56
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),4 ,3 , 5,5 ,4 , 8,7 ,5 , 11,9 ,6 , 14,11 ,7 , 19,14 ,9 , 24,17 ,10 , 30,19 ,11 , 38,21 ,12 , 43,25 ,14 , 52
Ireland,60 ,49 , 70,63 ,51 , 73,66 ,54 , 77,69 ,56 , 80,71 ,58 , 83,73 ,60 , 86,75 ,62 , 88,76 ,62 , 89,80 ,65 , 93,84 ,69 , >95
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,64 ,41 , 94,67 ,42 , >95,69 ,42 , >95,72 ,43 , >95,74 ,43 , >95,76 ,44 , >95,78 ,44 , >95,84 ,47 , >95,90 ,49 , >95,90 ,48 , >95
Jamaica,21 ,17 , 30,23 ,19 , 33,26 ,21 , 36,30 ,24 , 41,31 ,25 , 43,33 ,26 , 45,35 ,28 , 48,38 ,30 , 52,40 ,32 , 55,44 ,35 , 61
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,10 ,9 , 11,13 ,11 , 14,16 ,15 , 18,20 ,18 , 22,23 ,21 , 25,28 ,25 , 31,32 ,29 , 35,41 ,37 , 45,49 ,45 , 55,52 ,48 , 59
Kenya,31 ,27 , 36,38 ,33 , 44,42 ,37 , 49,45 ,40 , 53,52 ,45 , 60,61 ,54 , 71,69 ,60 , 80,75 ,66 , 87,71 ,63 , 83,74 ,65 , 86
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,9 ,8 , 9,10 ,10 , 10,12 ,12 , 12,18 ,18 , 19,25 ,24 , 25,28 ,26 , 28,32 ,31 , 33,36 ,34 , 37,39 ,37 , 40,40 ,38 , 41
