Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,34 ,17 , 65
Algeria,36 ,22 , 50,40 ,23 , 56,42 ,22 , 60,44 ,22 , 64,50 ,24 , 75
Angola,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,21 ,18 , 26,24 ,21 , 29,38 ,32 , 47,46 ,39 , 58,55 ,45 , 70
Australia,70 ,53 , 89,73 ,55 , 93,76 ,56 , >95,79 ,58 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,42 ,32 , 55
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,41 ,21 , 69,44 ,22 , 75,46 ,22 , 80
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,42 ,34 , 53,48 ,38 , 62
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,... ,... , ...,... ,... , ...,... ,... , ...,47 ,31 , 72,48 ,32 , 74
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,26 ,21 , 31,29 ,24 , 35,39 ,32 , 47,46 ,38 , 54
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,... ,... , ...,... ,... , ...,... ,... , ...,79 ,71 , 85,79 ,71 , 86
Brazil,57 ,26 , 83,60 ,27 , 86,61 ,28 , 89,63 ,29 , 92,65 ,30 , 94
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,29 ,27 , 32,30 ,28 , 33,33 ,30 , 37,38 ,34 , 42,43 ,38 , 48
Burkina Faso,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,... ,... , ...,... ,... , ...,26 ,22 , 31,41 ,34 , 49,50 ,42 , 60
Cambodia,... ,... , ...,... ,... , ...,73 ,63 , 84,77 ,66 , 89,81 ,70 , 94
Cameroon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,43 ,37 , 48,50 ,44 , 56,55 ,48 , 62,58 ,51 , 66,62 ,53 , 70
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,31 ,25 , 38,... ,... , ...,... ,... , ...
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,45 ,24 , 82,51 ,28 , 92
Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,... ,... , ...,... ,... , ...,43 ,27 , 62,48 ,30 , 69,... ,... , ...
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
