Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Chile,82 ,72 , 92,74 ,66 , 83,72 ,63 , 80,>95 ,95 , >95,90 ,80 , >95,79 ,70 , 88,95 ,84 , >95,89 ,80 , >95,>95 ,>95 , >95,>95 ,85 , >95
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Congo,13 ,10 , 17,30 ,23 , 38,24 ,19 , 30,31 ,23 , 39,25 ,18 , 32,24 ,17 , 32,14 ,10 , 19,15 ,10 , 20,10 ,7 , 14,10 ,7 , 16
Costa Rica,40 ,32 , 50,40 ,31 , 52,40 ,31 , 50,40 ,30 , 49,48 ,38 , 60,41 ,32 , 52,41 ,31 , 51,49 ,38 , 60,58 ,45 , 73,>95 ,81 , >95
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,64 ,37 , 89,>95 ,61 , >95,>95 ,64 , >95,74 ,45 , >95,63 ,38 , 86,>95 ,60 , >95,85 ,52 , >95,89 ,54 , >95,>95 ,63 , >95,>95 ,63 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
