Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,42,81,118,148,185,233,300,553,617,690
Albania,84,119,158,216,246,293,352,401,392,415
Algeria,1072,1260,1630,2060,2655,3569,4502,5281,6154,7006
Angola,7852,9506,10 998,13 282,16 137,19 455,21 590,25 364,27 775,25 389
Antigua and Barbuda,,,,,,139,176,191,,
Argentina,29 503,32 431,35 359,38 287,41 216,44 144,47 072,50 000,52 928,56 191
Armenia,189,239,285,367,466,585,730,937,1165,1380
Australia,11 291,11 564,13 176,14 793,15 917,16 948,18 009,18 943,19 982,20 873
Austria,...,...,...,...,...,3933,4504,...,...,...
Azerbaijan,437,715,979,1317,1253,1596,1911,2434,2885,3336
Bahamas,...,...,...,...,...,1074,1123,1458,1586,...
Bahrain,...,...,...,...,...,81,86,95,...,...
Bangladesh,...,...,...,...,...,834,1021,1539,1930,...
Barbados,491,525,580,615,635,644,690,738,776,815
Belarus,1387,1689,2236,3035,3050,3677,4092,5873,8440,9439
Belgium,...,...,...,...,...,...,...,...,...,...
Belize,...,...,...,...,...,535,616,619,671,...
Benin,5511,7011,7618,6865,7980,9304,10 587,10 656,10 121,13 190
Bhutan,...,...,...,...,...,126,146,190,234,...
Bolivia (Plurinational State of),828,791,1440,1837,2349,3266,4014,4750,6587,7723
Bosnia and Herzegovina,...,...,...,...,...,90,...,...,...,...
Botswana,59 456,67 523,73 081,83 241,84 459,91 740,97 577,102 855,107 953,112 330
Brazil,...,...,...,...,...,...,...,...,...,...
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...
Bulgaria,259,310,379,445,513,597,648,962,1185,1366
Burkina Faso,12 543,10 454,11 209,11 877,12 641,12 459,13 161,14 155,15 459,18 005
Burundi,8266,9671,8853,10 030,11 177,13 020,15 897,18 477,20 944,23 227
Cabo Verde,259,269,333,396,509,565,671,704,889,953
Cambodia,18 094,19 480,20 458,21 456,22 291,22 935,24 207,25 122,26 242,27 643
Cameroon,36 921,43 722,36 891,38 258,40 659,47 097,57 099,69 809,78 063,88 094
Canada,...,...,...,...,...,...,...,...,...,...
Central African Republic,6115,5794,6680,7394,9811,11 254,8656,10 432,11 347,13 094
Chad,11 716,12 020,13 305,13 713,16 749,20 478,12 811,15 495,18 965,21 945
Chile,11 603,12 643,15 760,18 420,21 012,23 275,27 877,33 452,38 534,42 836
China,...,...,...,...,...,...,...,...,...,...
Colombia,16 118,22 552,26 911,32 954,39 930,49 093,56 347,58 982,63 209,67 436
Comoros,6,7,9,11,12,19,15,19,25,31
Congo,6167,4661,5242,5862,5703,7587,7908,8515,9503,7140
Costa Rica,2677,2903,3136,3400,3814,4553,4839,5474,6690,7838
Croatia,...,...,...,...,...,...,...,...,...,...
Cuba,4836,5971,6944,8091,10 026,12 127,13 664,15 469,17 474,19 437
Cyprus,...,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,...,...
Côte d'Ivoire,23 147,28 013,31 304,34 854,38 082,42 036,47 845,55 184,64 271,72 686
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,16 598,16 205,20 616,22 558,27 409,32 617,48 752,60 849,78 031,88 962
Denmark,...,...,...,...,...,3600,3800,4000,...,...
Djibouti,407,441,549,587,616,842,968,928,1023,1108
Dominica,,,,,,35,42,43,51,54
Dominican Republic,6129,7031,7947,8901,10 102,11 113,12 226,13 450,14 796,16 252
Ecuador,4972,6375,6356,5829,7219,9122,11 865,13 983,16 520,20 420
Egypt,410,527,673,878,1286,1610,2305,3447,4886,6357
El Salvador,5374,5509,5252,5759,5959,6401,6768,6803,6929,8370
Equatorial Guinea,913,1528,2298,3067,3508,2350,3626,4898,4830,5500
Eritrea,1966,2214,2649,2951,3203,3435,3600,3237,3187,3186
Estonia,...,...,...,...,...,2096,2318,2465,2590,...
Eswatini,19 290,21 939,25 471,30 388,37 159,42 747,49 587,54 922,57 124,62 803
Ethiopia,79 927,94 147,109 858,115 375,131 209,134 405,151 805,156 418,159 888,179 397
Fiji,36,46,75,80,95,101,94,111,143,182
Finland,...,...,...,...,...,1773,1876,...,...,...
France,...,...,...,...,...,...,...,...,...,...
Gabon,4775,5492,5079,6728,7235,8723,8997,10 550,11 428,8153
Gambia,744,878,1039,1073,1176,1182,1420,1415,1570,1700
Georgia,563,773,1140,1430,1675,2041,2446,2811,3133,3504
Germany,...,...,...,...,...,49 120,52 000,55 040,57 000,...
Ghana,16 549,21 215,23 648,24 771,26 369,17 894,20 449,23 005,25 560,35 779
Greece,...,...,...,...,...,...,...,...,...,...
