Country,2019
Benin,458
Botswana,412 000
Brazil,10 685 875
Burkina Faso,423 155
Cameroon,2 674 392
Chile,1 146 000
Colombia,4000
Congo,114 600
Côte d'Ivoire,24 678 789
Dominica,6508
Ecuador,64 920
El Salvador,60 064
Eswatini,286 225
Gambia,1200
Iran (Islamic Republic of),97 152
Kazakhstan,701 375
Kenya,1 312 000
Kyrgyzstan,66 707
Lesotho,171 000
Madagascar,5793
Malawi,1 172 753
Mali,365 609
Mauritania,1000
Mauritius,42 903
Mozambique,4 650 300
Nigeria,273 996
Peru,715
Rwanda,1882
Senegal,54 994
Seychelles,460
South Africa,14 919 372
South Sudan,50 000
Togo,137 419
Uganda,474 991
Venezuela (Bolivarian Republic of),57 298
Zambia,318 490
Zimbabwe,4 539 743
