Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Ethiopia,48 000 ,18 000 , 92 000,45 000 ,17 000 , 88 000,27 000 ,8700 , 55 000,26 000 ,8600 , 54 000,24 000 ,7700 , 49 000,22 000 ,7100 , 45 000,20 000 ,6400 , 42 000,21 000 ,6700 , 42 000,17 000 ,5400 , 34 000,15 000 ,4800 , 31 000,13 000 ,4400 , 28 000,12 000 ,7900 , 17 000,7200 ,4700 , 10 000,8200 ,5400 , 12 000,7300 ,4700 , 10 000,4600 ,3300 , 6000,4100 ,2800 , 5600,3800 ,2600 , 5200,2200 ,1500 , 3000
Fiji,0 ,0 , 2,1 ,0 , 2,0 ,0 , 1,2 ,0 , 3,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,1 ,0 , 2,1 ,0 , 3,1 ,0 , 3,1 ,0 , 3,4 ,2 , 7,2 ,1 , 4,3 ,1 , 5,3 ,1 , 5,5 ,3 , 9
Finland,3 ,1 , 5,2 ,1 , 4,2 ,1 , 4,2 ,1 , 4,1 ,0 , 2,1 ,1 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,1 , 2,1 ,1 , 2,1 ,1 , 2,1 ,1 , 2,1 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 2,1 ,0 , 2,1 ,0 , 1
France,220 ,73 , 430,190 ,65 , 390,190 ,66 , 390,220 ,77 , 450,100 ,32 , 210,120 ,38 , 240,100 ,32 , 210,89 ,27 , 190,91 ,28 , 190,83 ,25 , 170,88 ,58 , 120,77 ,51 , 110,77 ,51 , 110,77 ,51 , 110,59 ,39 , 83,61 ,40 , 86,71 ,47 , 99,61 ,41 , 87,67 ,44 , 94
Gabon,1500 ,650 , 2600,1700 ,750 , 3000,1500 ,580 , 2900,1700 ,690 , 3200,1500 ,860 , 2200,860 ,72 , 2600,730 ,47 , 2300,1300 ,750 , 1900,1400 ,860 , 2200,820 ,43 , 2700,800 ,56 , 2500,830 ,76 , 2500,630 ,400 , 910,450 ,290 , 660,630 ,25 , 2200,600 ,15 , 2200,570 ,7 , 2300,550 ,3 , 2400,580 ,6 , 2400
Gambia,190 ,69 , 380,200 ,76 , 400,140 ,48 , 280,160 ,58 , 320,160 ,56 , 300,190 ,67 , 370,230 ,77 , 460,250 ,88 , 500,210 ,78 , 410,160 ,110 , 210,260 ,91 , 510,240 ,94 , 460,160 ,110 , 210,140 ,100 , 190,190 ,140 , 250,180 ,130 , 240,210 ,160 , 280,240 ,170 , 310,280 ,200 , 370
Georgia,12 ,0 , 90,16 ,0 , 110,39 ,10 , 87,40 ,11 , 89,52 ,14 , 120,48 ,13 , 110,45 ,12 , 99,36 ,22 , 53,19 ,13 , 26,18 ,4 , 42,10 ,7 , 14,36 ,11 , 78,55 ,17 , 120,25 ,16 , 35,23 ,16 , 33,25 ,17 , 34,16 ,11 , 23,14 ,9 , 21,17 ,11 , 25
Germany,110 ,52 , 190,77 ,36 , 130,77 ,37 , 130,85 ,40 , 150,38 ,18 , 65,42 ,20 , 73,33 ,15 , 57,24 ,11 , 41,22 ,10 , 38,22 ,10 , 39,26 ,12 , 45,25 ,11 , 43,28 ,13 , 48,20 ,9 , 35,22 ,10 , 37,26 ,12 , 45,40 ,19 , 68,34 ,16 , 59,23 ,11 , 39
Ghana,8800 ,2800 , 18 000,8800 ,2800 , 18 000,6200 ,1800 , 13 000,6700 ,2000 , 14 000,6800 ,2000 , 15 000,6800 ,2000 , 15 000,6600 ,1900 , 14 000,7300 ,2200 , 15 000,6600 ,1900 , 14 000,5600 ,2800 , 9400,6600 ,3300 , 11 000,5700 ,2800 , 9600,5900 ,2900 , 10 000,5800 ,2800 , 10 000,6000 ,2900 , 10 000,5500 ,2600 , 9300,5700 ,2800 , 9700,5300 ,2500 , 9000,4800 ,2300 , 8100
Greece,7 ,3 , 11,5 ,2 , 8,5 ,3 , 9,6 ,3 , 11,4 ,2 , 7,5 ,2 , 8,4 ,2 , 6,3 ,1 , 5,3 ,1 , 5,3 ,1 , 5,3 ,2 , 6,3 ,2 , 6,4 ,2 , 7,3 ,1 , 5,3 ,1 , 5,3 ,1 , 5,4 ,2 , 6,4 ,2 , 7,3 ,1 , 4
Grenada,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0
Guatemala,99 ,33 , 200,83 ,28 , 170,62 ,20 , 130,62 ,20 , 130,87 ,28 , 180,90 ,29 , 190,83 ,26 , 170,150 ,98 , 220,170 ,120 , 240,100 ,71 , 140,100 ,73 , 140,100 ,74 , 140,83 ,57 , 110,87 ,62 , 120,73 ,51 , 99,55 ,38 , 75,69 ,49 , 94,67 ,48 , 91,64 ,43 , 88
Guinea,3100 ,1100 , 6100,1800 ,1100 , 2700,2100 ,680 , 4200,2200 ,750 , 4400,2100 ,730 , 4300,2200 ,760 , 4500,1900 ,650 , 3800,2000 ,710 , 4000,1800 ,620 , 3500,2100 ,1300 , 3000,1200 ,730 , 1800,1700 ,630 , 3400,1700 ,1100 , 2400,1600 ,1100 , 2300,1700 ,1100 , 2500,1700 ,1100 , 2500,1800 ,1100 , 2500,1700 ,1100 , 2400,1700 ,1100 , 2400
Guinea-Bissau,830 ,360 , 1500,890 ,390 , 1600,710 ,280 , 1300,840 ,340 , 1500,880 ,370 , 1600,980 ,410 , 1800,920 ,380 , 1700,1100 ,470 , 1900,1100 ,460 , 1900,1100 ,480 , 2000,1200 ,510 , 2100,1300 ,590 , 2300,1200 ,780 , 1800,1300 ,820 , 1900,1200 ,740 , 1700,880 ,550 , 1300,1100 ,690 , 1600,1100 ,700 , 1600,1400 ,850 , 2000
Guyana,12 ,4 , 26,15 ,5 , 30,15 ,5 , 32,20 ,7 , 42,22 ,7 , 44,29 ,19 , 41,24 ,15 , 34,54 ,39 , 72,39 ,28 , 52,57 ,41 , 76,55 ,39 , 73,43 ,30 , 59,62 ,45 , 83,47 ,33 , 63,37 ,26 , 49,37 ,26 , 50,37 ,26 , 51,39 ,28 , 53,25 ,17 , 35
Haiti,4300 ,1900 , 7800,4500 ,1900 , 8200,2900 ,1100 , 5700,2800 ,1100 , 5400,2700 ,1000 , 5200,2800 ,1000 , 5300,2700 ,1000 , 5200,2100 ,1300 , 3200,2000 ,1200 , 2900,1800 ,1200 , 2600,1600 ,1000 , 2200,1400 ,990 , 1900,1100 ,810 , 1400,920 ,700 , 1200,990 ,730 , 1300,760 ,560 , 980,750 ,550 , 990,780 ,570 , 1000,860 ,630 , 1100
Honduras,360 ,130 , 710,270 ,94 , 530,140 ,45 , 290,53 ,36 , 72,110 ,35 , 230,98 ,31 , 200,87 ,27 , 180,82 ,26 , 170,75 ,23 , 160,70 ,22 , 150,66 ,21 , 140,93 ,67 , 120,91 ,65 , 120,80 ,56 , 110,76 ,54 , 100,80 ,57 , 110,62 ,43 , 83,50 ,34 , 69,47 ,32 , 65
Hungary,6 ,3 , 10,5 ,2 , 9,5 ,2 , 9,6 ,3 , 10,2 ,1 , 4,2 ,1 , 4,2 ,1 , 3,2 ,1 , 3,2 ,1 , 3,2 ,1 , 3,2 ,1 , 4,2 ,1 , 4,2 ,1 , 4,1 ,1 , 3,1 ,1 , 2,1 ,1 , 2,2 ,1 , 3,1 ,1 , 3,1 ,0 , 1
Iceland,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,1 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
India,55 000 ,770 , 220 000,125 000 ,31 000 , 282 000,81 000 ,19 000 , 185 000,91 000 ,22 000 , 208 000,88 000 ,21 000 , 201 000,86 000 ,20 000 , 199 000,77 000 ,18 000 , 179 000,84 000 ,43 000 , 137 000,69 000 ,16 000 , 163 000,66 000 ,15 000 , 154 000,63 000 ,14 000 , 148 000,66 000 ,15 000 , 156 000,64 000 ,14 000 , 151 000,51 000 ,28 000 , 81 000,27 000 ,17 000 , 39 000,21 000 ,14 000 , 30 000,12 000 ,7700 , 18 000,11 000 ,6700 , 16 000,9700 ,5700 , 15 000
Indonesia,940 ,2 , 4500,1400 ,8 , 6100,2900 ,1200 , 5500,4000 ,1600 , 7500,4500 ,1800 , 8300,4500 ,1800 , 8300,4500 ,1800 , 8400,6000 ,2500 , 11 000,5500 ,2200 , 10 000,6100 ,2500 , 11 000,6200 ,2500 , 11 000,6600 ,2700 , 12 000,6400 ,2600 , 12 000,6400 ,2500 , 12 000,6000 ,2400 , 11 000,5300 ,2100 , 10 000,4100 ,1600 , 7800,5300 ,2200 , 9600,5300 ,2100 , 9800
Iran (Islamic Republic of),31 ,5 , 81,38 ,7 , 95,26 ,5 , 62,32 ,7 , 75,34 ,8 , 79,35 ,8 , 79,41 ,11 , 90,50 ,14 , 110,50 ,13 , 110,55 ,15 , 120,59 ,16 , 130,70 ,19 , 150,70 ,19 , 150,66 ,17 , 150,56 ,13 , 130,52 ,12 , 120,150 ,110 , 190,95 ,68 , 130,80 ,56 , 110
Iraq,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 2,0 ,0 , 1,1 ,0 , 3,1 ,0 , 3,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 2
Ireland,4 ,2 , 7,4 ,2 , 7,4 ,2 , 7,5 ,3 , 9,3 ,1 , 5,4 ,2 , 6,3 ,2 , 6,3 ,1 , 4,3 ,1 , 5,3 ,1 , 5,3 ,1 , 5,3 ,1 , 5,3 ,1 , 5,2 ,1 , 4,2 ,1 , 3,2 ,1 , 3,3 ,2 , 5,3 ,2 , 5,2 ,1 , 3
Israel,6 ,3 , 9,6 ,3 , 9,5 ,3 , 8,8 ,4 , 12,3 ,1 , 4,4 ,2 , 6,2 ,1 , 4,3 ,1 , 5,2 ,1 , 4,5 ,3 , 8,2 ,1 , 3,5 ,2 , 7,3 ,1 , 5,3 ,1 , 5,4 ,2 , 7,2 ,1 , 4,3 ,2 , 5,2 ,1 , 4,2 ,1 , 4
Italy,86 ,43 , 140,98 ,49 , 160,92 ,45 , 150,110 ,55 , 180,52 ,25 , 89,60 ,29 , 100,56 ,27 , 95,29 ,14 , 50,45 ,22 , 77,45 ,21 , 76,59 ,29 , 100,42 ,20 , 72,43 ,21 , 73,29 ,14 , 50,35 ,17 , 59,32 ,15 , 55,51 ,25 , 86,47 ,23 , 81,31 ,15 , 54
Jamaica,12 ,5 , 22,12 ,5 , 21,7 ,3 , 13,12 ,8 , 18,8 ,5 , 12,9 ,5 , 12,8 ,5 , 12,6 ,4 , 9,5 ,3 , 8,11 ,7 , 16,8 ,5 , 12,5 ,3 , 8,5 ,3 , 9,4 ,2 , 7,5 ,3 , 8,6 ,4 , 10,7 ,3 , 13,7 ,4 , 10,4 ,2 , 7
Japan,46 ,12 , 100,42 ,11 , 93,43 ,12 , 95,50 ,13 , 110,25 ,7 , 54,29 ,8 , 64,25 ,7 , 54,16 ,9 , 23,21 ,13 , 31,22 ,6 , 49,27 ,7 , 60,26 ,7 , 58,29 ,8 , 64,21 ,6 , 45,21 ,6 , 46,19 ,5 , 41,28 ,8 , 61,25 ,7 , 54,16 ,4 , 34
Jordan,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,1 ,0 , 2
Kazakhstan,5 ,0 , 14,11 ,2 , 26,9 ,2 , 21,9 ,1 , 27,17 ,4 , 41,11 ,3 , 24,14 ,6 , 24,20 ,8 , 39,29 ,16 , 44,22 ,8 , 42,31 ,13 , 57,34 ,14 , 64,68 ,43 , 98,36 ,15 , 66,57 ,28 , 97,30 ,13 , 54,77 ,43 , 120,34 ,12 , 68,48 ,14 , 100
Kenya,46 000 ,24 000 , 73 000,51 000 ,27 000 , 83 000,45 000 ,21 000 , 77 000,54 000 ,26 000 , 93 000,57 000 ,27 000 , 98 000,57 000 ,27 000 , 99 000,60 000 ,36 000 , 89 000,54 000 ,33 000 , 80 000,47 000 ,29 000 , 71 000,48 000 ,29 000 , 71 000,43 000 ,26 000 , 64 000,40 000 ,24 000 , 60 000,37 000 ,22 000 , 55 000,35 000 ,21 000 , 52 000,32 000 ,19 000 , 48 000,28 000 ,17 000 , 42 000,25 000 ,15 000 , 37 000,19 000 ,11 000 , 28 000,13 000 ,8100 , 20 000
Kiribati,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,1 ,1 , 1,1 ,0 , 1,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
Kuwait,1 ,0 , 2,0 ,0 , 1,1 ,0 , 2,1 ,0 , 2,0 ,0 , 1,1 ,0 , 2,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,2 ,1 , 4,2 ,1 , 4,4 ,3 , 5,4 ,3 , 5,1 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 2,1 ,0 , 2,1 ,0 , 1
Kyrgyzstan,8 ,2 , 17,10 ,3 , 21,6 ,2 , 14,8 ,2 , 17,9 ,3 , 20,11 ,3 , 24,12 ,3 , 27,17 ,5 , 36,25 ,17 , 35,17 ,11 , 23,25 ,7 , 54,28 ,19 , 40,25 ,17 , 34,48 ,14 , 100,39 ,28 , 51,39 ,27 , 54,45 ,32 , 60,47 ,34 , 62,35 ,25 , 47
Lao People's Democratic Republic,210 ,55 , 460,270 ,74 , 600,200 ,53 , 440,260 ,70 , 570,280 ,77 , 630,300 ,83 , 660,310 ,84 , 670,370 ,100 , 810,350 ,96 , 760,370 ,100 , 810,370 ,100 , 810,400 ,110 , 860,390 ,110 , 850,360 ,100 , 780,510 ,310 , 750,490 ,300 , 720,350 ,220 , 510,300 ,190 , 440,270 ,170 , 390
Latvia,41 ,13 , 86,40 ,13 , 83,38 ,12 , 79,39 ,13 , 81,8 ,4 , 12,11 ,6 , 16,10 ,6 , 14,12 ,8 , 17,16 ,11 , 22,16 ,11 , 22,16 ,11 , 22,16 ,11 , 21,25 ,18 , 33,10 ,3 , 21,28 ,20 , 38,22 ,16 , 30,14 ,9 , 19,11 ,7 , 16,5 ,2 , 11
Lebanon,1 ,0 , 2,1 ,0 , 2,0 ,0 , 1,0 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 3,3 ,2 , 4,2 ,1 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 3
Lesotho,6100 ,3500 , 9500,8500 ,4800 , 13 000,7900 ,4500 , 12 000,7200 ,4100 , 11 000,8300 ,4700 , 13 000,8800 ,5000 , 14 000,8000 ,4600 , 12 000,7300 ,4200 , 11 000,8100 ,5200 , 12 000,7500 ,4800 , 11 000,7100 ,4600 , 10 000,6300 ,4000 , 9000,5900 ,3800 , 8400,5700 ,3600 , 8200,5300 ,3400 , 7600,5200 ,3300 , 7600,4700 ,3000 , 6800,4100 ,2600 , 5900,3300 ,2100 , 4700
Liberia,1600 ,650 , 3000,1600 ,660 , 3000,890 ,320 , 1700,1200 ,430 , 2300,900 ,330 , 1700,1100 ,410 , 2200,990 ,350 , 1900,1100 ,420 , 2200,1100 ,400 , 2200,1000 ,380 , 2100,1000 ,370 , 2000,970 ,360 , 1900,1000 ,370 , 2000,1100 ,400 , 2200,1400 ,490 , 2900,870 ,550 , 1300,950 ,610 , 1400,910 ,580 , 1300,1000 ,670 , 1500
Libya,5 ,1 , 11,5 ,1 , 11,3 ,1 , 6,3 ,1 , 7,7 ,2 , 15,4 ,1 , 9,6 ,2 , 13,7 ,2 , 16,10 ,3 , 22,10 ,3 , 23,18 ,5 , 38,73 ,44 , 110,60 ,37 , 90,39 ,22 , 61,54 ,31 , 85,28 ,14 , 49,27 ,13 , 45,27 ,14 , 45,9 ,5 , 16
Lithuania,15 ,4 , 32,18 ,5 , 38,18 ,5 , 38,21 ,6 , 46,1 ,0 , 2,11 ,3 , 24,11 ,3 , 24,8 ,2 , 18,9 ,2 , 18,43 ,0 , 210,9 ,3 , 20,9 ,3 , 19,7 ,4 , 11,9 ,6 , 14,8 ,5 , 13,9 ,5 , 14,8 ,4 , 12,8 ,4 , 12,6 ,3 , 9
Luxembourg,1 ,0 , 1,0 ,0 , 1,1 ,0 , 1,1 ,0 , 2,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,1 ,0 , 1,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1
Madagascar,220 ,0 , 1500,270 ,0 , 1600,560 ,140 , 1300,620 ,160 , 1400,630 ,170 , 1400,670 ,180 , 1500,610 ,170 , 1300,720 ,200 , 1600,670 ,180 , 1500,680 ,190 , 1500,54 ,31 , 83,380 ,230 , 560,780 ,210 , 1700,550 ,330 , 820,540 ,330 , 810,720 ,190 , 1600,800 ,220 , 1800,770 ,200 , 1700,380 ,240 , 540
Malawi,13 000 ,7000 , 20 000,13 000 ,7200 , 21 000,12 000 ,6300 , 20 000,12 000 ,6200 , 19 000,13 000 ,6700 , 20 000,14 000 ,7200 , 22 000,15 000 ,9500 , 23 000,15 000 ,9300 , 22 000,14 000 ,7900 , 21 000,14 000 ,8400 , 20 000,16 000 ,8700 , 25 000,12 000 ,7100 , 17 000,9700 ,6000 , 14 000,9300 ,5700 , 14 000,8700 ,5300 , 13 000,8200 ,5000 , 12 000,7800 ,4700 , 12 000,6800 ,4100 , 10 000,7000 ,4300 , 10 000
Malaysia,240 ,72 , 500,240 ,72 , 500,140 ,41 , 310,230 ,150 , 330,170 ,51 , 370,340 ,230 , 490,310 ,210 , 440,260 ,79 , 540,400 ,300 , 510,380 ,270 , 510,340 ,250 , 450,340 ,250 , 440,260 ,190 , 340,340 ,250 , 450,320 ,240 , 420,230 ,170 , 290,320 ,230 , 410,300 ,220 , 390,320 ,240 , 420
Maldives,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1
Mali,1000 ,390 , 2000,1000 ,370 , 1900,670 ,220 , 1400,720 ,240 , 1500,720 ,240 , 1500,700 ,230 , 1400,650 ,210 , 1300,560 ,220 , 1000,570 ,190 , 1200,430 ,170 , 800,590 ,360 , 890,760 ,260 , 1500,260 ,160 , 390,700 ,240 , 1400,630 ,210 , 1300,510 ,170 , 1000,520 ,170 , 1100,360 ,230 , 510,310 ,200 , 440
Malta,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,1 ,1 , 1,1 ,1 , 1,0 ,0 , 1,1 ,0 , 2,1 ,0 , 2,0 ,0 , 0,1 ,0 , 3,1 ,0 , 2,2 ,1 , 3,0 ,0 , 0,1 ,1 , 3
Marshall Islands,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,1 ,0 , 2,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
Mauritania,110 ,3 , 420,250 ,74 , 540,150 ,43 , 330,140 ,83 , 210,140 ,40 , 290,180 ,51 , 390,140 ,40 , 300,130 ,39 , 290,100 ,63 , 160,120 ,34 , 260,120 ,33 , 250,140 ,40 , 310,98 ,28 , 210,97 ,27 , 210,77 ,21 , 170,73 ,20 , 160,61 ,17 , 130,48 ,13 , 110,46 ,13 , 100
Mauritius,4 ,1 , 10,4 ,1 , 9,3 ,1 , 7,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,2 ,0 , 3,2 ,1 , 4,3 ,2 , 4,2 ,1 , 3,2 ,1 , 3,2 ,1 , 3,3 ,2 , 4,6 ,4 , 8,4 ,2 , 5,4 ,2 , 5,4 ,2 , 7,6 ,3 , 9,8 ,5 , 12
Mexico,240 ,63 , 530,250 ,67 , 550,140 ,39 , 320,190 ,53 , 410,140 ,40 , 310,180 ,51 , 390,180 ,50 , 380,210 ,62 , 460,220 ,67 , 470,260 ,170 , 370,270 ,180 , 390,280 ,85 , 580,470 ,340 , 610,430 ,310 , 560,400 ,290 , 520,640 ,460 , 860,730 ,520 , 980,760 ,560 , 990,590 ,430 , 780
Micronesia (Federated States of),0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,0 ,0 , 0
Monaco,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
Mongolia,1 ,0 , 6,1 ,0 , 5,1 ,0 , 9,1 ,0 , 11,2 ,0 , 16,2 ,0 , 23,3 ,0 , 25,4 ,1 , 10,9 ,4 , 14,0 ,0 , 2,3 ,0 , 10,5 ,1 , 15,8 ,1 , 19,9 ,2 , 21,15 ,5 , 32,11 ,3 , 24,17 ,5 , 35,14 ,4 , 30,9 ,1 , 22
Montenegro,,,,,,,,,,,,,,,,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1
Morocco,82 ,23 , 180,86 ,24 , 190,56 ,15 , 120,60 ,16 , 130,62 ,17 , 140,67 ,18 , 150,68 ,18 , 150,26 ,17 , 37,22 ,14 , 31,22 ,14 , 31,100 ,52 , 160,100 ,29 , 230,32 ,20 , 48,100 ,28 , 230,87 ,24 , 190,85 ,24 , 180,93 ,26 , 200,83 ,23 , 180,82 ,23 , 180
Mozambique,36 000 ,19 000 , 58 000,38 000 ,21 000 , 61 000,32 000 ,16 000 , 54 000,35 000 ,18 000 , 57 000,36 000 ,18 000 , 59 000,37 000 ,19 000 , 61 000,38 000 ,20 000 , 62 000,30 000 ,19 000 , 44 000,39 000 ,25 000 , 57 000,44 000 ,28 000 , 64 000,42 000 ,27 000 , 61 000,45 000 ,28 000 , 65 000,43 000 ,27 000 , 62 000,39 000 ,24 000 , 56 000,38 000 ,24 000 , 55 000,38 000 ,24 000 , 56 000,30 000 ,19 000 , 44 000,25 000 ,16 000 , 36 000,22 000 ,14 000 , 31 000
Myanmar,2900 ,0 , 30 000,3400 ,0 , 33 000,3900 ,0 , 24 000,4400 ,0 , 26 000,4900 ,3 , 25 000,5300 ,12 , 25 000,5600 ,940 , 14 000,5600 ,1100 , 14 000,5500 ,900 , 14 000,5400 ,930 , 14 000,11 000 ,6200 , 17 000,9400 ,5600 , 14 000,8100 ,4700 , 12 000,7400 ,4300 , 11 000,7900 ,2400 , 17 000,5700 ,3700 , 8100,5400 ,3500 , 7700,4800 ,3200 , 6800,3700 ,2500 , 5200
Namibia,4500 ,2900 , 6600,4800 ,3000 , 6900,5000 ,2900 , 7600,5300 ,3200 , 7900,5400 ,3200 , 8100,5600 ,3300 , 8300,5500 ,3300 , 8200,2700 ,870 , 5700,2200 ,820 , 4200,1900 ,640 , 3800,1700 ,730 , 3200,3000 ,2100 , 4100,2700 ,1900 , 3700,2500 ,1700 , 3400,2400 ,1700 , 3300,1900 ,1300 , 2500,1800 ,1200 , 2500,1600 ,1100 , 2200,1500 ,1100 , 2100
Nauru,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
Nepal,270 ,83 , 560,330 ,100 , 690,220 ,69 , 470,240 ,73 , 500,290 ,91 , 610,290 ,91 , 620,330 ,100 , 680,260 ,190 , 350,380 ,120 , 780,340 ,110 , 720,170 ,120 , 230,370 ,110 , 770,350 ,110 , 740,350 ,110 , 740,270 ,83 , 570,290 ,89 , 610,120 ,84 , 150,120 ,87 , 160,93 ,71 , 120
Netherlands,20 ,6 , 41,21 ,6 , 44,21 ,6 , 44,22 ,7 , 46,8 ,5 , 12,12 ,3 , 25,9 ,3 , 19,7 ,2 , 14,7 ,2 , 15,8 ,5 , 12,9 ,3 , 20,8 ,2 , 18,9 ,3 , 19,6 ,2 , 12,6 ,2 , 12,5 ,2 , 12,6 ,3 , 9,6 ,4 , 10,6 ,4 , 9
New Zealand,3 ,1 , 6,3 ,1 , 6,2 ,1 , 5,3 ,1 , 7,2 ,0 , 3,2 ,0 , 4,1 ,0 , 3,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 2,1 ,0 , 3,1 ,0 , 3,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,1 ,0 , 2
