Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Botswana,1400 ,<1000 , 2400,2200 ,<1000 , 3700,3100 ,1300 , 5400,4100 ,1800 , 7300,5300 ,2400 , 9500,6600 ,3000 , 12 000,7700 ,3500 , 14 000,8800 ,4000 , 16 000,9600 ,4400 , 17 000,10 000 ,4800 , 19 000,11 000 ,5100 , 19 000,11 000 ,5400 , 20 000,12 000 ,5700 , 21 000,13 000 ,6100 , 21 000,13 000 ,6600 , 22 000,14 000 ,7200 , 23 000,16 000 ,8100 , 25 000,17 000 ,8900 , 27 000,19 000 ,9600 , 29 000,20 000 ,10 000 , 31 000,22 000 ,11 000 , 33 000,24 000 ,12 000 , 35 000,26 000 ,13 000 , 38 000,28 000 ,14 000 , 41 000,30 000 ,16 000 , 45 000,33 000 ,17 000 , 48 000,35 000 ,19 000 , 52 000,38 000 ,21 000 , 56 000,41 000 ,23 000 , 59 000,45 000 ,26 000 , 63 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500
Burkina Faso,4600 ,1600 , 9700,5200 ,1900 , 10 000,5600 ,2100 , 11 000,6000 ,2300 , 12 000,6200 ,2500 , 12 000,6300 ,2700 , 12 000,6300 ,2800 , 12 000,6200 ,2700 , 12 000,6100 ,2700 , 11 000,5900 ,2700 , 11 000,5700 ,2600 , 11 000,5500 ,2500 , 10 000,5300 ,2300 , 10 000,5100 ,2200 , 9700,5000 ,2200 , 9600,5000 ,2200 , 9600,5200 ,2300 , 9900,5400 ,2400 , 10 000,5700 ,2600 , 11 000,6000 ,2700 , 11 000,6400 ,2900 , 12 000,6900 ,3200 , 13 000,7400 ,3400 , 14 000,8100 ,3700 , 15 000,8700 ,4000 , 16 000,9500 ,4600 , 17 000,10 000 ,5100 , 18 000,11 000 ,5800 , 20 000,12 000 ,6600 , 21 000,13 000 ,7400 , 22 000
Burundi,3000 ,<1000 , 6500,3500 ,1100 , 7000,3900 ,1300 , 7800,4200 ,1500 , 8400,4400 ,1600 , 8800,4500 ,1700 , 8900,4500 ,1700 , 8800,4400 ,1600 , 8800,4200 ,1600 , 8300,4000 ,1500 , 8000,3900 ,1500 , 7700,3800 ,1400 , 7500,3700 ,1400 , 7300,3600 ,1400 , 7200,3600 ,1500 , 7100,3700 ,1500 , 7100,3900 ,1600 , 7200,4100 ,1600 , 7600,4400 ,1700 , 8200,4700 ,1800 , 8800,5100 ,2100 , 9300,5500 ,2400 , 10 000,6000 ,2800 , 11 000,6500 ,3200 , 12 000,7100 ,3500 , 13 000,7700 ,3800 , 14 000,8500 ,4100 , 15 000,9200 ,4600 , 16 000,10 000 ,5200 , 18 000,11 000 ,5900 , 19 000
Cabo Verde,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Cambodia,<100 ,<100 , <100,<100 ,<100 , <200,<500 ,<100 , <500,<500 ,<200 , <1000,<1000 ,<500 , 1400,1300 ,<1000 , 2100,1700 ,<1000 , 2800,2200 ,<1000 , 3400,2600 ,1200 , 4000,2900 ,1500 , 4500,3200 ,1600 , 4900,3400 ,1800 , 5200,3500 ,1900 , 5500,3600 ,2100 , 5600,3800 ,2200 , 5800,4000 ,2300 , 6100,4400 ,2600 , 6400,4700 ,3000 , 6800,5200 ,3300 , 7200,5700 ,3700 , 7600,6200 ,4100 , 8200,6800 ,4900 , 8900,7400 ,5300 , 9800,8100 ,5800 , 11 000,8800 ,6400 , 12 000,9600 ,7000 , 13 000,10 000 ,7700 , 14 000,11 000 ,8200 , 15 000,12 000 ,9000 , 16 000,13 000 ,9800 , 17 000
Cameroon,2500 ,1100 , 4700,3500 ,1500 , 6400,4800 ,2200 , 9000,6500 ,3000 , 13 000,8600 ,4000 , 17 000,11 000 ,5300 , 21 000,14 000 ,6700 , 27 000,17 000 ,8100 , 32 000,19 000 ,9500 , 37 000,22 000 ,11 000 , 41 000,24 000 ,12 000 , 46 000,26 000 ,12 000 , 49 000,27 000 ,13 000 , 52 000,28 000 ,14 000 , 53 000,29 000 ,14 000 , 53 000,30 000 ,14 000 , 55 000,31 000 ,15 000 , 57 000,32 000 ,16 000 , 59 000,33 000 ,17 000 , 60 000,35 000 ,18 000 , 63 000,36 000 ,19 000 , 65 000,38 000 ,20 000 , 68 000,40 000 ,20 000 , 70 000,42 000 ,21 000 , 73 000,43 000 ,22 000 , 76 000,45 000 ,23 000 , 79 000,47 000 ,24 000 , 82 000,49 000 ,26 000 , 86 000,52 000 ,28 000 , 90 000,55 000 ,30 000 , 94 000
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,2200 ,<1000 , 4200,3000 ,1200 , 5800,3800 ,1500 , 7600,4600 ,1800 , 8900,5300 ,2000 , 10 000,5900 ,2200 , 11 000,6400 ,2500 , 12 000,6700 ,2600 , 13 000,7000 ,2800 , 13 000,7200 ,2900 , 14 000,7300 ,2900 , 14 000,7300 ,3000 , 14 000,7300 ,3000 , 14 000,7300 ,3100 , 14 000,7300 ,3100 , 14 000,7200 ,3100 , 14 000,7200 ,3200 , 14 000,7300 ,3200 , 14 000,7500 ,3200 , 14 000,7800 ,3400 , 15 000,8200 ,3600 , 15 000,8400 ,3800 , 16 000,8600 ,3900 , 16 000,8800 ,4000 , 16 000,9000 ,4000 , 16 000,9300 ,4200 , 17 000,9700 ,4500 , 17 000,10 000 ,4800 , 18 000,11 000 ,5100 , 19 000,12 000 ,5500 , 20 000
Chad,1300 ,<1000 , 3200,1600 ,<1000 , 3800,2000 ,<1000 , 4200,2300 ,<1000 , 4600,2600 ,1100 , 5000,2900 ,1200 , 5500,3100 ,1300 , 6000,3300 ,1300 , 6500,3500 ,1400 , 6800,3600 ,1500 , 7000,3700 ,1600 , 7400,3800 ,1700 , 7500,3900 ,1700 , 7600,4000 ,1700 , 7700,4000 ,1700 , 7800,4100 ,1700 , 7900,4200 ,1800 , 8100,4400 ,2000 , 8400,4600 ,2200 , 8700,5000 ,2400 , 9300,5400 ,2600 , 10 000,5900 ,2800 , 11 000,6400 ,3100 , 12 000,7000 ,3300 , 13 000,7500 ,3600 , 14 000,8100 ,3900 , 15 000,8800 ,4300 , 16 000,9500 ,4700 , 17 000,10 000 ,5300 , 18 000,11 000 ,5800 , 19 000
Chile,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,1100 ,<1000 , 1600,1300 ,<1000 , 1800,1500 ,<1000 , 2000,1700 ,1100 , 2300,1900 ,1200 , 2600,2100 ,1400 , 2900,2400 ,1600 , 3300,2700 ,1800 , 3600,3000 ,2000 , 4000,3300 ,2300 , 4500,3700 ,2600 , 4900
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,<500 ,<100 , 1100,<500 ,<100 , 1000,<1000 ,<200 , 1200,<1000 ,<200 , 1500,<1000 ,<500 , 1700,1100 ,<500 , 1900,1300 ,<500 , 2200,1500 ,<1000 , 2500,1600 ,<1000 , 2700,1800 ,<1000 , 2900,1900 ,<1000 , 3100,2100 ,1100 , 3300,2200 ,1100 , 3600,2400 ,1200 , 3900,2600 ,1300 , 4100,2800 ,1400 , 4500,3000 ,1600 , 4800,3400 ,1800 , 5300,3800 ,2100 , 5900,4200 ,2400 , 6400,4600 ,2600 , 6900,5100 ,2900 , 7400,5700 ,3400 , 8400,6400 ,3900 , 9300,7200 ,4400 , 10 000,8200 ,5000 , 12 000,9200 ,5800 , 13 000,10 000 ,6500 , 15 000,11 000 ,7300 , 16 000,12 000 ,8100 , 18 000
