Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,3,2,1,5,8,7,8,18,18,24
Albania,...,...,...,...,...,...,...,...,...,...
Algeria,120,128,121,200,112,112,206,264,324,360
Angola,3652,2584,3175,5668,8848,8398,7613,7088,9633,15 030
Antigua and Barbuda,,,,,,,,,,6
Argentina,1580,1612,1642,1667,1684,1698,1727,1753,1759,1794
Armenia,...,...,...,...,...,...,...,...,46,...
Australia,44,46,48,50,53,56,60,63,65,66
Austria,...,...,...,...,...,...,...,...,...,...
Azerbaijan,11,17,23,35,45,46,56,70,67,59
Bahamas,47,40.5,87,81,73,52,66,51,53,53
Bahrain,...,...,...,...,...,...,...,...,...,...
Bangladesh,...,...,...,...,...,21,22,25,36,...
Barbados,...,...,...,...,...,...,...,...,16,...
Belarus,189,181,203,237,257,269,284,267,234,225
Belgium,123,130,136,150,166,169,171,178,186,189
Belize,53,87,66,51,56,58,43,46,43,32.6
Benin,846,1115,1281,1187,2099,3333,4217,3936,4812,5548
Bhutan,...,...,...,...,...,...,...,...,...,...
Bolivia (Plurinational State of),133,168,249,212,229,284,345,337,352,327
Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...
Botswana,10 999,9940,12 304,12 290,11 047,11 096,10 811,11 934,12 497,12 728
Brazil,...,...,...,...,...,...,...,...,...,...
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...
Bulgaria,...,...,...,...,...,...,...,...,...,...
Burkina Faso,2792,3098,3228,3369,4285,4731,4826,5314,4741,4741
Burundi,2617,2670,2737,3084,3499,3885,4518,4187,3986,3623
Cabo Verde,...,...,...,...,...,92,94,95,...,...
Cambodia,551.62,663.5,667.38,695.25,722.12,768,720,755,661,586
Cameroon,13 818,15 379,17 755,23 173,22 297,26 678,23 005,23 098,21 716,17 068
Canada,217,222,220,218,223,230,231,229,228,227
Central African Republic,2013,2552,2742,1541,2562,2721,3901,2897,3186,4029
Chad,1601,1930,2 643.49,4 338.48,6086,4671,4377,4776,5619,6247
Chile,156,151,157,251,228,217,274,272,366,372
China,...,...,...,...,...,...,...,...,...,...
Colombia,...,...,...,...,...,712,682,643,493,...
Comoros,...,...,...,...,...,...,...,...,7,...
Congo,622,1 415.53,1 134.42,1 465.77,1 186.75,1 129.71,672,698,480,504
Costa Rica,35,36,37,38,47,41,42,52,64.4,118
Croatia,...,...,...,...,...,...,...,...,...,...
Cuba,67,120,139,108,97,157,143,151,184,184
Cyprus,...,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,...,...
Côte d'Ivoire,11 561,10 626,13 294,16 032,17 763,17 711,16 894,17 291,16 499,14 941
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,2166,3186,3315,7802,12 294,14 466,15 413,13 939,11 376,13 878
Denmark,...,...,...,...,...,...,...,...,...,...
Djibouti,38,47,42,32,62,76,83,50,61,42
Dominica,,,,,,,,,,1
Dominican Republic,768,1074,1308,972,1072,894,913,811,765,650
