Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Canada,87.5,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
Germany,100,"Source: BBS"
Mauritius,71.4,"Source:  IBBS among PWID in 2017"
