Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bangladesh,<100 ,<100 , <200,<200 ,<100 , <500,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1200
Barbados,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Belarus,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Belgium,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100
Belize,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Benin,1300 ,<500 , 2600,1300 ,<500 , 2700,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,1000 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<1000 , 1400,1100 ,<1000 , 1600,1000 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<500 , 2100,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400
Bhutan,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Bolivia (Plurinational State of),1500 ,<500 , 3100,1500 ,<1000 , 3200,<1000 ,<500 , 2000,1100 ,<500 , 2300,1100 ,<500 , 2300,1100 ,<500 , 2200,1000 ,<500 , 2100,1100 ,<500 , 2300,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Bosnia and Herzegovina,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Botswana,11 000 ,6800 , 17 000,11 000 ,6700 , 17 000,11 000 ,7100 , 16 000,11 000 ,6800 , 15 000,10 000 ,6900 , 14 000,9800 ,6800 , 13 000,9400 ,5600 , 14 000,8100 ,5200 , 12 000,7700 ,5500 , 10 000,7100 ,5400 , 8900,6700 ,4300 , 9600,6100 ,3900 , 8700,5400 ,4000 , 7000,5200 ,4000 , 6400,4800 ,3500 , 6300,4500 ,2900 , 6400,4200 ,3300 , 5300,3200 ,2500 , 4000,3300 ,2600 , 4200
Brazil,7900 ,2600 , 16 000,8000 ,2700 , 16 000,5600 ,1800 , 12 000,6800 ,2200 , 14 000,7300 ,2400 , 15 000,7100 ,2300 , 14 000,6700 ,2200 , 14 000,7900 ,2700 , 16 000,7800 ,2600 , 16 000,8000 ,2700 , 16 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,15 000 ,12 000 , 17 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,11 000 ,9700 , 13 000,11 000 ,9300 , 13 000,12 000 ,9900 , 13 000,11 000 ,9300 , 13 000
Brunei Darussalam,,,,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Burkina Faso,2600 ,1000 , 5000,2600 ,<1000 , 4800,1700 ,<1000 , 3400,1800 ,<1000 , 3500,1700 ,<1000 , 3400,1700 ,<1000 , 3400,2500 ,1600 , 3500,2600 ,1600 , 3900,2000 ,1300 , 2800,1800 ,1100 , 2500,1600 ,1000 , 2300,1500 ,<1000 , 2200,1300 ,<1000 , 1900,1200 ,<1000 , 1700,1100 ,<1000 , 1600,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300
Burundi,8000 ,3600 , 14 000,7400 ,3300 , 13 000,4800 ,1800 , 9300,4700 ,1800 , 9100,4300 ,1600 , 8300,4000 ,1500 , 7700,3600 ,1300 , 7000,3700 ,1400 , 7200,3300 ,1200 , 6500,3200 ,1100 , 6200,2900 ,1800 , 4100,2700 ,1700 , 3800,2300 ,1500 , 3300,1800 ,1200 , 2600,1700 ,1100 , 2400,1700 ,1100 , 2500,1500 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 1900
Cabo Verde,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Cambodia,8000 ,4900 , 12 000,7700 ,4700 , 11 000,7300 ,4500 , 11 000,6800 ,4200 , 10 000,6400 ,3900 , 9500,5900 ,3600 , 8800,5600 ,3400 , 8300,5400 ,3300 , 8000,5400 ,3200 , 8100,4800 ,3000 , 7100,3900 ,2400 , 5900,3100 ,2000 , 4500,2700 ,1700 , 3800,2300 ,1500 , 3300,1600 ,1000 , 2300,1400 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 2000,1100 ,<1000 , 1700
Cameroon,23 000 ,11 000 , 40 000,25 000 ,12 000 , 43 000,20 000 ,8300 , 36 000,22 000 ,9500 , 39 000,22 000 ,9800 , 40 000,23 000 ,10 000 , 41 000,22 000 ,9800 , 40 000,24 000 ,11 000 , 43 000,22 000 ,14 000 , 31 000,22 000 ,14 000 , 31 000,19 000 ,11 000 , 28 000,20 000 ,13 000 , 29 000,19 000 ,13 000 , 28 000,20 000 ,13 000 , 28 000,19 000 ,12 000 , 27 000,18 000 ,11 000 , 25 000,17 000 ,11 000 , 24 000,15 000 ,9500 , 21 000,13 000 ,8700 , 19 000
Canada,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<500 ,<100 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <100,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200
Central African Republic,12 000 ,6600 , 20 000,12 000 ,6700 , 20 000,9900 ,4700 , 17 000,11 000 ,5100 , 18 000,11 000 ,5100 , 18 000,11 000 ,5100 , 18 000,11 000 ,5000 , 18 000,11 000 ,5500 , 19 000,11 000 ,5200 , 19 000,11 000 ,5200 , 19 000,11 000 ,5200 , 19 000,12 000 ,5500 , 20 000,11 000 ,5400 , 20 000,11 000 ,4900 , 19 000,10 000 ,4400 , 18 000,9600 ,4100 , 17 000,7400 ,4800 , 11 000,6900 ,4500 , 9900,6600 ,4200 , 9400
Chad,3500 ,1300 , 6800,3600 ,1300 , 7000,2500 ,<1000 , 5100,2800 ,<1000 , 5600,2900 ,<1000 , 5800,2900 ,<1000 , 6000,2900 ,<1000 , 6000,3400 ,1200 , 6800,3300 ,1100 , 6600,3400 ,1100 , 6800,3500 ,1200 , 7100,3900 ,1300 , 7800,4000 ,1400 , 8000,3900 ,1300 , 7800,3600 ,1200 , 7400,4500 ,2900 , 6400,4600 ,3000 , 6600,4300 ,2700 , 6100,3700 ,2400 , 5300
Chile,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
