Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Equatorial Guinea,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<100 ,<100 , <100,<1000 ,<500 , <1000,<500 ,<500 , <500,<1000 ,<500 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , <1000,1000 ,<1000 , 1100,1200 ,<1000 , 1800,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100
Eritrea,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1200,1200 ,<500 , 2700,1000 ,<500 , 2400,<1000 ,<200 , 1900,<1000 ,<200 , 1600,<1000 ,<500 , 2100,1600 ,<1000 , 2900,<1000 ,<200 , 1500,<1000 ,<200 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<500 ,<200 , <1000,<500 ,<200 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Estonia,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Eswatini,4700 ,2900 , 6800,5000 ,3100 , 7200,5500 ,3500 , 8000,6400 ,4100 , 9200,6800 ,4400 , 9700,7400 ,4800 , 10 000,7700 ,5100 , 11 000,9000 ,6900 , 11 000,9100 ,7000 , 12 000,10 000 ,8000 , 13 000,10 000 ,7900 , 13 000,8000 ,6100 , 10 000,6700 ,5100 , 8500,6100 ,4700 , 7800,5100 ,3900 , 6500,3800 ,2900 , 4900,3100 ,2400 , 4000,2900 ,2200 , 3700,2500 ,1900 , 3100
Ethiopia,86 000 ,32 000 , 170 000,83 000 ,31 000 , 160 000,53 000 ,17 000 , 110 000,55 000 ,18 000 , 110 000,52 000 ,17 000 , 100 000,49 000 ,16 000 , 100 000,45 000 ,14 000 , 93 000,49 000 ,16 000 , 99 000,44 000 ,14 000 , 90 000,43 000 ,14 000 , 88 000,42 000 ,13 000 , 86 000,40 000 ,26 000 , 55 000,23 000 ,15 000 , 32 000,24 000 ,15 000 , 34 000,20 000 ,13 000 , 28 000,16 000 ,12 000 , 21 000,14 000 ,9800 , 19 000,12 000 ,8800 , 17 000,7600 ,5300 , 10 000
Fiji,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Finland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
France,1200 ,<500 , 2200,1000 ,<500 , 2000,1000 ,<500 , 2000,1200 ,<500 , 2300,<1000 ,<200 , 1100,<1000 ,<500 , 1300,<1000 ,<200 , 1100,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Gabon,2900 ,1300 , 5200,3200 ,1500 , 5700,2600 ,1000 , 4900,3000 ,1200 , 5500,2700 ,1600 , 4000,3300 ,1400 , 5900,3300 ,1400 , 5900,2800 ,1700 , 4100,3600 ,2200 , 5400,3800 ,1700 , 6700,3900 ,1800 , 7000,4300 ,2000 , 7500,1500 ,<1000 , 2200,1100 ,<1000 , 1600,4200 ,1800 , 7600,4200 ,1800 , 7500,4200 ,1800 , 7700,4000 ,1600 , 7400,4100 ,1700 , 7600
Gambia,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , <1000,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000
Georgia,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<100 ,<100 , <100,<500 ,<100 , <1000,<500 ,<100 , <1000,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100
Germany,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500
Ghana,15 000 ,4700 , 30 000,15 000 ,4800 , 31 000,10 000 ,3000 , 23 000,11 000 ,3400 , 24 000,11 000 ,3400 , 24 000,12 000 ,3400 , 24 000,11 000 ,3300 , 24 000,12 000 ,3800 , 26 000,12 000 ,3500 , 25 000,10 000 ,5000 , 17 000,12 000 ,5900 , 20 000,10 000 ,5100 , 18 000,11 000 ,5200 , 18 000,11 000 ,5200 , 18 000,11 000 ,5200 , 19 000,9900 ,4800 , 17 000,10 000 ,5000 , 17 000,9500 ,4600 , 16 000,8600 ,4100 , 15 000
Greece,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Grenada,,,,,,,,,,,,,,,,,,,<100 ,<100 , <100,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,,,
Guatemala,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Guinea,5400 ,2000 , 10 000,3200 ,1900 , 4700,3700 ,1300 , 7500,4100 ,1400 , 8200,4200 ,1400 , 8300,4200 ,1500 , 8300,4100 ,1400 , 8200,4600 ,1600 , 9000,4300 ,1500 , 8500,4400 ,2900 , 6300,3200 ,2000 , 4800,4800 ,1700 , 9400,4700 ,3000 , 6700,4500 ,2900 , 6400,4800 ,3100 , 6900,4900 ,3200 , 7000,5100 ,3300 , 7300,5300 ,3500 , 7600,5400 ,3500 , 7700
Guinea-Bissau,1500 ,<1000 , 2700,1700 ,<1000 , 3000,1400 ,<1000 , 2600,1600 ,<1000 , 2900,1700 ,<1000 , 3200,1900 ,<1000 , 3400,1900 ,<1000 , 3500,2100 ,<1000 , 3800,2100 ,<1000 , 3800,2200 ,<1000 , 4000,2300 ,1000 , 4100,2500 ,1100 , 4400,2300 ,1500 , 3200,2400 ,1600 , 3500,2300 ,1500 , 3300,1600 ,1000 , 2300,2100 ,1300 , 3000,2100 ,1300 , 2900,2400 ,1500 , 3400
Guyana,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <200,<200 ,<100 , <200,<500 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <200
Haiti,9300 ,4100 , 17 000,9500 ,4100 , 17 000,6800 ,2500 , 13 000,7300 ,2800 , 14 000,7200 ,2800 , 14 000,7100 ,2700 , 14 000,6800 ,2600 , 13 000,5600 ,3400 , 8400,5500 ,3300 , 8200,5300 ,3400 , 7500,4500 ,2900 , 6500,4600 ,3300 , 6200,4400 ,3400 , 5500,4200 ,3400 , 5100,3900 ,3000 , 4900,3400 ,2700 , 4200,3100 ,2400 , 3900,3200 ,2400 , 4100,2900 ,2300 , 3700
Honduras,1600 ,<1000 , 3100,1200 ,<500 , 2300,<1000 ,<500 , 1300,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Hungary,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Iceland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
India,270 000 ,67 000 , 620 000,290 000 ,70 000 , 660 000,180 000 ,42 000 , 420 000,200 000 ,48 000 , 470 000,200 000 ,48 000 , 470 000,200 000 ,47 000 , 470 000,190 000 ,43 000 , 450 000,220 000 ,110 000 , 370 000,190 000 ,41 000 , 460 000,190 000 ,40 000 , 450 000,180 000 ,38 000 , 440 000,200 000 ,41 000 , 460 000,190 000 ,40 000 , 440 000,140 000 ,75 000 , 240 000,120 000 ,75 000 , 180 000,110 000 ,71 000 , 160 000,87 000 ,58 000 , 120 000,87 000 ,59 000 , 120 000,92 000 ,63 000 , 130 000
Indonesia,5400 ,2300 , 9800,7200 ,3100 , 13 000,5700 ,2400 , 10 000,8400 ,3500 , 15 000,11 000 ,4500 , 19 000,13 000 ,5400 , 23 000,14 000 ,6100 , 26 000,19 000 ,8100 , 35 000,19 000 ,8200 , 35 000,21 000 ,9000 , 39 000,23 000 ,9700 , 42 000,27 000 ,11 000 , 48 000,27 000 ,12 000 , 50 000,26 000 ,11 000 , 48 000,24 000 ,10 000 , 44 000,23 000 ,9600 , 42 000,23 000 ,9600 , 42 000,20 000 ,8900 , 36 000,21 000 ,8900 , 38 000
Iran (Islamic Republic of),<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<1000 ,<1000 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,,,,,,,,,,,,,,,,<100 ,<100 , <100
Ireland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Israel,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Italy,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500
Jamaica,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Japan,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Jordan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Kazakhstan,<100 ,<100 , <200,<200 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000
Kenya,97 000 ,52 000 , 150 000,110 000 ,58 000 , 180 000,95 000 ,45 000 , 160 000,110 000 ,55 000 , 200 000,120 000 ,57 000 , 210 000,120 000 ,57 000 , 210 000,130 000 ,78 000 , 190 000,110 000 ,70 000 , 170 000,100 000 ,61 000 , 150 000,100 000 ,62 000 , 150 000,91 000 ,55 000 , 140 000,86 000 ,53 000 , 130 000,79 000 ,49 000 , 120 000,76 000 ,46 000 , 110 000,70 000 ,43 000 , 100 000,61 000 ,37 000 , 90 000,54 000 ,33 000 , 79 000,46 000 ,28 000 , 68 000,40 000 ,25 000 , 60 000
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,,,,<100 ,<100 , <100,,,,,,,,,,,,,,,
Kuwait,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Kyrgyzstan,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<200 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<500 ,<100 , <1000,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500
Lao People's Democratic Republic,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1400,<1000 ,<200 , 1300,<1000 ,<200 , 1400,<1000 ,<200 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<200 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000
Latvia,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<500 ,<100 , <1000,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<200 ,<200 , <200,<100 ,<100 , <200,<200 ,<200 , <500,<200 ,<200 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100
Lebanon,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Lesotho,14 000 ,7800 , 21 000,15 000 ,8700 , 23 000,16 000 ,9400 , 25 000,17 000 ,9900 , 26 000,18 000 ,10 000 , 27 000,18 000 ,10 000 , 28 000,18 000 ,10 000 , 27 000,18 000 ,10 000 , 27 000,18 000 ,12 000 , 26 000,18 000 ,12 000 , 26 000,17 000 ,11 000 , 25 000,16 000 ,10 000 , 23 000,15 000 ,9600 , 21 000,14 000 ,8900 , 20 000,13 000 ,8100 , 18 000,12 000 ,7600 , 17 000,11 000 ,7000 , 16 000,9800 ,6300 , 14 000,8400 ,5400 , 12 000
Liberia,2500 ,1100 , 4600,2600 ,1100 , 4800,1900 ,<1000 , 3700,2100 ,<1000 , 4100,2200 ,<1000 , 4200,2200 ,<1000 , 4300,2200 ,<1000 , 4400,2600 ,<1000 , 5000,2500 ,<1000 , 4900,2600 ,<1000 , 5100,2700 ,<1000 , 5300,3000 ,1100 , 5900,3100 ,1100 , 6000,3000 ,1100 , 5900,2800 ,<1000 , 5500,1800 ,1100 , 2600,2200 ,1400 , 3200,2200 ,1400 , 3200,2600 ,1700 , 3700
Libya,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<500 ,<200 , <500,<200 ,<200 , <500,<100 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100
Lithuania,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,1700 ,1300 , 2200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Luxembourg,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Madagascar,1500 ,<500 , 3500,1700 ,<500 , 3800,1100 ,<500 , 2400,1200 ,<500 , 2800,1300 ,<500 , 2800,1300 ,<500 , 2900,1300 ,<500 , 2900,1500 ,<500 , 3300,1400 ,<500 , 3100,1500 ,<500 , 3200,<200 ,<100 , <200,<1000 ,<1000 , 1300,1800 ,<500 , 3800,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1700 ,<500 , 3700,1900 ,<1000 , 4100,1900 ,<500 , 4100,<1000 ,<1000 , 1400
Malawi,32 000 ,17 000 , 51 000,35 000 ,19 000 , 56 000,29 000 ,15 000 , 48 000,31 000 ,16 000 , 50 000,31 000 ,17 000 , 51 000,32 000 ,17 000 , 51 000,35 000 ,22 000 , 52 000,34 000 ,21 000 , 50 000,31 000 ,18 000 , 47 000,31 000 ,19 000 , 45 000,35 000 ,19 000 , 54 000,25 000 ,16 000 , 37 000,24 000 ,15 000 , 34 000,21 000 ,13 000 , 31 000,19 000 ,12 000 , 28 000,18 000 ,11 000 , 27 000,17 000 ,11 000 , 26 000,16 000 ,10 000 , 24 000,16 000 ,9900 , 23 000
Malaysia,1500 ,<1000 , 3100,1500 ,<1000 , 3100,<1000 ,<500 , 1900,1500 ,1300 , 1700,1100 ,<500 , 2300,2200 ,1900 , 2600,2000 ,1700 , 2400,1400 ,<500 , 2900,2300 ,2000 , 2700,2200 ,1800 , 2500,2000 ,1700 , 2300,2000 ,1700 , 2300,1500 ,1300 , 1800,2000 ,1700 , 2300,1900 ,1600 , 2200,1400 ,1100 , 1600,1800 ,1500 , 2100,1800 ,1500 , 2100,1900 ,1600 , 2200
Maldives,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Mali,2400 ,<1000 , 4600,2400 ,<1000 , 4600,1600 ,<1000 , 3200,1700 ,<1000 , 3400,1700 ,<1000 , 3400,1700 ,<1000 , 3400,1600 ,<1000 , 3300,1400 ,<1000 , 2700,1700 ,<1000 , 3500,1500 ,<1000 , 2700,1500 ,<1000 , 2300,2000 ,<1000 , 4000,<1000 ,<500 , 1000,1900 ,<1000 , 3900,1700 ,<1000 , 3500,1700 ,<1000 , 3400,1700 ,<1000 , 3500,1100 ,<1000 , 1500,1000 ,<1000 , 1500
Malta,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Marshall Islands,,,,,,,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,,,,<100 ,<100 , <100,<100 ,<100 , <100,,,,<100 ,<100 , <100,<100 ,<100 , <100,,,
Mauritania,<1000 ,<200 , 1100,<1000 ,<200 , 1200,<500 ,<100 , <1000,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Mauritius,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Mexico,1200 ,<500 , 2500,1200 ,<500 , 2600,<1000 ,<500 , 1500,<1000 ,<500 , 1900,<1000 ,<500 , 1500,<1000 ,<500 , 1900,<1000 ,<500 , 1800,1000 ,<500 , 2200,1000 ,<500 , 2100,1200 ,<1000 , 1600,1300 ,<1000 , 1700,1300 ,<500 , 2700,2100 ,1600 , 2600,1900 ,1500 , 2500,1800 ,1400 , 2300,3100 ,2400 , 3900,3500 ,2700 , 4500,3500 ,2700 , 4400,2800 ,2100 , 3600
