Liberia,2433,3144,3430,4382,4686,4800,5719,8767,9817,11 000
Libya,412,476,560,611,720,876,979,1232,1233,1244
Lithuania,35,45,66,124,100,149,180,198,268,287
Luxembourg,...,...,...,...,...,198,221,244,257,...
Madagascar,122,188,193,284,419,670,923,1171,1828,2685
Malawi,149 650,196 873,252 412,296 740,339 462,374 506,425 914,464 023,502 157,517 944
Malaysia,3915,4341,4524,5305,6655,7121,9408,10 182,10 399,10 679
Maldives,...,...,...,...,...,...,...,...,...,...
Mali,13 763,18 609,18 331,18 788,20 331,22 542,24 049,26 906,30 052,33 674
Malta,...,...,...,...,...,...,...,...,...,...
Mauritania,910,852,964,1115,1165,1238,1264,1542,1534,1651
Mauritius,122,186,277,361,481,527,608,685,721,852
Mexico,11 205,12 446,18 527,18 836,20 087,23 725,25 541,26 740,29 387,30 957
Micronesia (Federated States of),,,,,,,,3,,
Monaco,,,,,,,,,16,
Mongolia,4,8,8,13,19,27,26,31,33,34
Montenegro,5,5,6,7,10,11,13,15,18,21
Morocco,1301,1694,2334,2884,3317,4563,5450,5601,6478,7043
Mozambique,130 737,163 230,189 280,280 323,377 504,479 248,599 327,689 257,791 397,873 927
Myanmar,12 035,16 196,22 308,28 503,36 309,45 617,54 719,62 633,70 457,77 007
Namibia,45 613,55 999,63 034,68 631,68 631,77 622,84 645,96 347,102 063,112 001
Nepal,1928,2687,3269,3871,4558,5265,5801,6847,7596,8275
Netherlands,2672,2802,2952,3077,3209,3325,3411,3478,3555,3530
New Zealand,276,297,309,329,350,370,387,405,425,443
Nicaragua,454,584,709,801,1060,1153,1279,1393,1699,1804
Niger,4031,5183,6125,7340,6660,7741,9301,10 862,12 017,12 574
Nigeria,210 452,243 094,347 598,417 376,471 298,522 521,593 202,634 560,666 808,750 595
North Macedonia,...,...,...,...,...,28,35,22,22,...
Norway,...,...,...,...,...,...,...,...,...,...
Oman,164,209,226,268,277,305,348,385,421,466
Pakistan,390,522,811,889,1164,1483,1903,2488,3291,4824
Panama,...,...,...,...,...,2942,3531,4031,...,...
Papua New Guinea,4046,5294,6617,8342,10 381,12 017,13 566,15 166,17 109,18 717
Paraguay,932,970,1254,1448,1699,1905,2271,2582,2789,3068
Peru,5662,6094,7832,8067,9361,13 181,12 712,12 801,14 051,15 597
Philippines,244,271,313,306,390,498,665,908,1239,1339
Poland,...,...,...,...,...,...,...,...,...,...
Portugal,...,...,...,...,...,8926,9392,10 369,...,...
Qatar,...,...,...,...,...,34,36,39,44,...
Republic of Korea,...,...,...,...,...,...,...,...,...,...
