Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,1 ,1 , 3,2 ,1 , 6,3 ,1 , 8,3 ,2 , 9,4 ,2 , 11,4 ,2 , 13,5 ,2 , 16,9 ,4 , 28,9 ,4 , 30,9 ,4 , 33
Albania,14 ,9 , 21,18 ,11 , 27,22 ,14 , 34,28 ,17 , 44,29 ,18 , 48,33 ,19 , 55,37 ,21 , 65,40 ,22 , 73,37 ,19 , 71,38 ,19 , 76
Algeria,25 ,17 , 35,26 ,17 , 36,30 ,19 , 41,33 ,21 , 46,38 ,24 , 53,46 ,28 , 65,53 ,31 , 74,56 ,32 , 81,60 ,32 , 88,62 ,31 , 93
Angola,13 ,12 , 16,15 ,13 , 18,16 ,14 , 19,19 ,16 , 22,21 ,19 , 25,25 ,21 , 29,26 ,22 , 31,29 ,25 , 34,31 ,26 , 36,27 ,23 , 32
Argentina,44 ,37 , 52,46 ,39 , 54,48 ,41 , 57,50 ,43 , 60,52 ,45 , 62,54 ,46 , 65,56 ,48 , 67,58 ,49 , 69,60 ,50 , 71,62 ,52 , 74
Armenia,9 ,7 , 11,11 ,9 , 13,13 ,11 , 16,17 ,14 , 20,21 ,18 , 25,27 ,23 , 32,33 ,28 , 40,42 ,35 , 51,51 ,43 , 66,60 ,50 , 78
Australia,61 ,47 , 78,60 ,46 , 77,66 ,50 , 84,71 ,53 , 91,73 ,54 , 94,75 ,56 , >95,77 ,58 , >95,79 ,58 , >95,81 ,58 , >95,83 ,59 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,7 ,5 , 10,12 ,9 , 16,16 ,12 , 21,22 ,17 , 29,20 ,16 , 27,26 ,20 , 34,31 ,24 , 40,39 ,30 , 51,46 ,35 , 60,53 ,40 , 69
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,29 ,16 , 43,31 ,17 , 47,35 ,19 , 55,37 ,20 , 61,39 ,20 , 64,40 ,20 , 67,43 ,21 , 74,47 ,23 , 82,50 ,24 , 87,53 ,24 , 94
Belarus,20 ,16 , 24,22 ,18 , 26,25 ,21 , 31,31 ,26 , 37,28 ,23 , 34,31 ,26 , 38,32 ,26 , 39,43 ,35 , 53,59 ,48 , 74,62 ,50 , 81
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,24 ,16 , 36,29 ,20 , 45,31 ,21 , 48,28 ,18 , 42,31 ,21 , 48,36 ,24 , 55,41 ,27 , 62,40 ,27 , 62,38 ,25 , 58,49 ,33 , 75
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),8 ,6 , 10,8 ,6 , 10,14 ,11 , 17,17 ,14 , 21,21 ,17 , 26,28 ,23 , 35,34 ,27 , 42,39 ,32 , 47,52 ,42 , 63,59 ,49 , 72
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,44 ,39 , 47,48 ,43 , 53,51 ,45 , 56,57 ,50 , 62,57 ,50 , 62,61 ,54 , 66,64 ,57 , 69,66 ,59 , 72,69 ,62 , 75,71 ,64 , 77
