Country,2019
Afghanistan,709 275
Albania,540 750
Angola,19 782 000
Argentina,35 227 728
Armenia,667 077
Azerbaijan,5 088 253
Benin,711 280
Bhutan,1 500 000
Botswana,41 148 720
Brazil,468 256 398
Burkina Faso,30 624 107
Cambodia,1 762 588
Cameroon,31 180 522
Central African Republic,10 814 026
Chile,15 569 856
Colombia,7 823 549
Comoros,930 007
Congo,1 096 416
Costa Rica,2 910 349
Côte d'Ivoire,24 440 185
Djibouti,264 184
Dominica,41 852
Ecuador,3 600 000
El Salvador,3 995 212
Eritrea,5 132 205
Eswatini,12 144 576
Ethiopia,164 166 847
Gambia,2 647 400
Georgia,1 230 964
Guatemala,6 402 846
Honduras,50 824 800
India,254 560 430
Indonesia,3 324 931
Iran (Islamic Republic of),2 410 302
Kazakhstan,14 062 872
Kenya,104 614 382
Kyrgyzstan,2 535 225
Lao People's Democratic Republic,1 166 400
Lebanon,80 400
Lesotho,4 018 032
Madagascar,17 682 860
Malawi,154 442 236
Malaysia,462 198
Mali,10 103 456
Mauritania,1 503 000
Mauritius,975 119
Mongolia,417 092
Montenegro,40 436
Morocco,13 114 174
Mozambique,95 715 852
Myanmar,41 920 322
Nepal,8 445 458
Nicaragua,8 648 924
Niger,26 860
Nigeria,9 464 662
Pakistan,1 087 468
Panama,2 602 500
Paraguay,1 198 164
Peru,53 055 810
Republic of Moldova,2 290 824
Rwanda,38 459 115
Samoa,181 872
Senegal,16 114 114
Seychelles,452 772
Sierra Leone,3 529 399
South Africa,635 981 213
South Sudan,10 800 000
Sri Lanka,763 488
Suriname,437 964
Tajikistan,8 475 566
Togo,13 633 076
Tunisia,1 200 000
Uganda,84 084 000
Ukraine,10 287 036
United Republic of Tanzania,32 664 445
Venezuela (Bolivarian Republic of),488 337
Viet Nam,22 369 955
Zambia,19 392 644
Zimbabwe,94 849 706
