Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,44 ,24 , 80
Algeria,39 ,21 , 54,43 ,23 , 62,45 ,22 , 65,47 ,22 , 69,51 ,23 , 77
Angola,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,23 ,20 , 27,27 ,23 , 33,43 ,36 , 52,50 ,43 , 62,59 ,49 , 74
Australia,69 ,52 , 85,73 ,55 , 91,75 ,57 , 93,79 ,60 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,45 ,34 , 59
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,39 ,21 , 65,41 ,22 , 70,45 ,23 , 77
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,42 ,34 , 54,49 ,39 , 62
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,... ,... , ...,... ,... , ...,... ,... , ...,61 ,41 , 92,58 ,38 , 87
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,30 ,25 , 36,34 ,28 , 41,37 ,31 , 45,44 ,36 , 53
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,... ,... , ...,... ,... , ...,... ,... , ...,90 ,82 , >95,90 ,82 , >95
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,31 ,28 , 34,32 ,29 , 36,30 ,27 , 33,8 ,7 , 9,36 ,32 , 41
Burkina Faso,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,... ,... , ...,... ,... , ...,32 ,27 , 37,52 ,44 , 61,54 ,45 , 64
Cambodia,... ,... , ...,... ,... , ...,77 ,66 , 88,80 ,69 , 91,83 ,72 , 95
Cameroon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,38 ,34 , 42,38 ,34 , 42,42 ,38 , 46,47 ,42 , 52,48 ,43 , 54
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,29 ,24 , 36,... ,... , ...,... ,... , ...
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,62 ,32 , >95,68 ,36 , >95
Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,... ,... , ...,... ,... , ...,51 ,30 , 70,55 ,32 , 75,... ,... , ...
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,... ,... , ...,... ,... , ...,... ,... , ...,52 ,46 , 61,57 ,49 , 66
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,20 ,14 , 30,25 ,18 , 37,35 ,25 , 52,... ,... , ...
Dominican Republic,... ,... , ...,... ,... , ...,33 ,27 , 40,40 ,34 , 49,45 ,38 , 54
Ecuador,... ,... , ...,... ,... , ...,... ,... , ...,56 ,41 , 90,54 ,39 , 87
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,... ,... , ...,37 ,33 , 43,41 ,36 , 47,41 ,36 , 48,... ,... , ...
Equatorial Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eritrea,... ,... , ...,... ,... , ...,... ,... , ...,53 ,40 , 71,58 ,43 , 79
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,... ,... , ...,74 ,68 , 79,83 ,77 , 89,86 ,80 , 93,>95 ,89 , >95
Ethiopia,... ,... , ...,... ,... , ...,... ,... , ...,62 ,48 , 80,68 ,52 , 86
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,43 ,29 , 84
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Georgia,43 ,31 , 66,51 ,36 , 79,49 ,34 , 79,48 ,32 , 79,49 ,31 , 82
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,37 ,26 , 49
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,... ,... , ...,35 ,30 , 43,37 ,32 , 45,44 ,38 , 52,48 ,41 , 57
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,... ,... , ...,57 ,51 , 63,58 ,52 , 64,63 ,56 , 69,68 ,61 , 76
