Country,2017,2018,2019,2019_Footnote
Afghanistan,33,,44,
Albania,40,46,50,"Denominator less than 50"
Algeria,16,,,
Antigua and Barbuda,42,19,,
Argentina,33,,,
Armenia,39,41,40,
Azerbaijan,28,,32,
Bahamas,52,,,
Bahrain,,17,,
Bangladesh,6,13,,
Barbados,38,43,,
Belarus,12,13,,
Brazil,26,27,27,
Cambodia,34,,15,
Chile,32,31,20,
China,31,31,,
Colombia,,35,,
Comoros,2,10,33,"Denominator less than 50"
Cuba,16,22,,
Dominican Republic,24,5,25,
Ecuador,,42,31,
El Salvador,15,8,36,
Eritrea,34,,,
Eswatini,,,43,
Gabon,54,,62,
Georgia,33,28,33,
Guatemala,46,47,46,
Haiti,38,,32,
Honduras,54,34,26,
India,46,42,,
Indonesia,51,57,58,
Iran (Islamic Republic of),39,38,37,
Israel,,22,,
Jamaica,39,,30,
Jordan,15,,,
Kazakhstan,19,22,21,
Kuwait,29,29,,
Kyrgyzstan,29,34,31,
Lao People's Democratic Republic,,,46,
Lebanon,23,26,,
Malaysia,37,33,40,
Mauritius,32,17,39,
Mexico,37,37,,
Mongolia,42,14,21,"Denominator less than 50"
Montenegro,36,65,38,"Denominator less than 50"
Morocco,,,48,
Mozambique,32,,32,
Myanmar,41,,,
Namibia,25,,,
Nepal,29,31,,
New Zealand,18,17,,
Nicaragua,19,32,36,
Niger,4,18,47,
Nigeria,,,37,
North Macedonia,17,33,,
Oman,56,50,40,
Panama,44,38,,
Papua New Guinea,,,51,
Paraguay,36,38,41,
Peru,,14,,
Philippines,50,49,50,
Qatar,,12,,
Republic of Moldova,34,29,32,
Saint Kitts and Nevis,50,67,40,"Denominator less than 50"
Saint Lucia,14,45,38,"Denominator less than 50"
Samoa,<1,<1,,
Sao Tome and Principe,20,11,,
Saudi Arabia,22,21,,
Senegal,47,,48,
Serbia,45,41,,
Seychelles,14,22,8,
Sierra Leone,,,<1,"Denominator less than 50"
Singapore,38,49,,
Sri Lanka,21,27,31,
Suriname,33,41,36,
Syrian Arab Republic,14,<1,22,
Tajikistan,42,,37,
Thailand,,53,,
Tunisia,46,37,25,
Turkey,,22,23,
United Arab Emirates,5,14,16,
Uzbekistan,19,25,,
Venezuela (Bolivarian Republic of),,,10,
