Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,58,109,155,203,265,338,517,791,863,984
Albania,117,161,222,314,354,423,497,551,562,596
Algeria,2115,2480,3134,4205,5509,7136,8908,10 346,11 986,13 498
Angola,20 573,24 779,29 432,45 691,59 756,67 319,66 669,74 884,83 888,88 197
Antigua and Barbuda,,,,,,250,323,348,198,
Argentina,46 567,51 221,55 876,60 530,65 185,69 839,74 494,79 148,83 802,88 969
Armenia,240,309,436,564,721,917,1163,1501,1842,2157
Australia,12 723,13 030,14 847,16 579,17 935,19 188,20 440,21 500,22 760,23 808
Austria,...,...,...,...,...,5500,6074,...,...,...
Azerbaijan,576,924,1272,1728,1770,2299,2803,3565,4269,4973
Bahamas,...,...,...,...,...,2270,2246,2932,3068,...
Bahrain,...,...,...,...,...,111,117,136,...,...
Bangladesh,...,...,...,...,...,1393,1705,2352,2916,...
Barbados,862,919,1004,1067,1095,1131,1185,1263,1316,1400
Belarus,2494,3084,4120,5008,5729,7174,8326,11 027,15 309,17 543
Belgium,...,...,...,...,...,...,...,...,...,...
Belize,...,...,...,...,...,1059,1205,1234,1324,...
Benin,18 814,23 929,26 017,23 437,27 241,31 757,36 101,36 575,42 210,46 706
Bhutan,...,...,...,...,...,252,294,378,453,...
Bolivia (Plurinational State of),1200,1207,2260,2861,3691,5101,6229,7336,9647,11 358
Bosnia and Herzegovina,...,...,...,...,...,115,...,...,...,...
Botswana,152 062,169 577,195 926,213 953,223 714,246 629,265 613,279 861,301 944,309 692
Brazil,...,...,...,...,...,...,...,...,...,...
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...
Bulgaria,383,452,539,626,714,824,888,1198,1445,1650
Burkina Faso,30 144,34 472,36 914,40 276,44 410,44 735,48 970,55 130,57 420,65 868
Burundi,20 909,24 475,27 098,30 612,34 448,39 515,48 867,56 770,62 118,68 121
Cabo Verde,568,661,798,933,1144,1290,1548,1738,2081,2281
Cambodia,38 697,42 034,44 318,46 607,48 920,50 766,53 128,55 108,56 543,58 645
Cameroon,85 461,101 213,117 791,125 963,138 939,161 153,196 896,243 961,270 804,301 564
Canada,...,...,...,...,...,...,...,...,...,...
Central African Republic,14 462,13 703,15 814,15 646,22 579,25 900,29 970,34 493,37 127,43 876
Chad,30 832,31 301,35 014,37 356,45 626,55 784,42 665,49 786,58 765,66 281
Chile,14 150,15 418,18 898,22 538,24 935,27 937,32 576,38 942,44 967,50 118
China,...,...,...,...,...,...,...,...,...,...
Colombia,21 791,30 518,36 681,44 914,54 392,65 952,75 094,77 577,82 922,88 268
Comoros,17,19,24,27,30,40,44,50,59,74
Congo,13 898,15 830,16 086,18 393,17 894,23 804,25 799,27 397,29 253,24 624
Costa Rica,3347,3629,3892,4250,4609,5558,6093,6677,8029,9374
Croatia,...,...,...,...,...,...,...,...,...,...
Cuba,5979,7440,8718,10 166,12 569,15 213,17 214,19 437,21 919,24 485
Cyprus,...,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,...,...
Côte d'Ivoire,77 157,93 378,104 347,116 180,133 778,150 313,180 810,215 526,239 778,257 805
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,41 597,47 316,61 333,74 605,92 801,111 370,142 739,196 530,240 516,258 610
Denmark,...,...,...,...,...,4940,5200,5440,...,...
Djibouti,926,1002,1247,1335,1541,1871,2151,2372,2598,2818
Dominica,,,,,,55,69,69,89,95
Dominican Republic,13 873,16 001,18 178,19 780,22 450,24 426,26 579,28 925,31 481,34 213
Ecuador,6765,8635,9080,9880,12 236,15 042,17 758,20 966,24 607,30 233
Egypt,547,703,897,1171,1715,2147,3073,4610,6515,8144
El Salvador,8144,8500,8936,9832,10 205,10 530,11 314,11 601,11 715,13 200
Equatorial Guinea,2250,3806,5767,10 717,11 160,10 585,14 506,19 999,20 596,22 000
Eritrea,4467,5270,6019,6708,7448,7987,8194,8348,8411,8393
Estonia,...,...,...,...,...,3494,3863,4109,4316,...
Eswatini,55 104,62 543,72 093,84 409,105 763,125 290,145 676,164 243,168 602,183 220
Ethiopia,209 309,249 110,270 389,298 436,339 040,364 454,398 777,415 578,428 472,473 261
Fiji,79,96,157,164,195,202,209,256,326,401
Finland,...,...,...,...,...,2461,2606,...,...,...
France,...,...,...,...,...,...,...,...,...,...
Gabon,10 642,12 280,14 512,19 223,20 668,25 662,28 934,31 801,33 781,25 467
Gambia,1869,2891,3571,3708,4206,4584,5537,6293,6991,7644
Georgia,796,1087,1640,2047,2493,2991,3592,4097,4551,5053
Germany,...,...,...,...,...,61 400,65 000,68 800,69 778,...
Ghana,38 188,56 050,66 366,71 855,79 131,78 323,87 980,97 636,107 293,147 270
Greece,...,...,...,...,...,...,...,...,...,...
Grenada,,,,,,138,120,140,390,
Guatemala,11 392,12 650,14 112,15 447,15 886,15 511,15 883,17 153,18 993,20 240
Guinea,19 026,22 191,26 571,26 459,30 847,31 993,35 842,39 657,46 443,56 952
Guinea-Bissau,3632,4844,6101,6485,7732,9010,11 255,11 308,14 221,16 000
Guyana,2882,3231,3516,3870,4121,4379,4747,5108,5450,5852
Haiti,27 623,32 961,40 966,52 119,59 485,65 949,79 746,90 608,88 077,106 257
Honduras,6896,7619,8187,8844,9226,9884,10 309,10 973,11 307,11 515
Hungary,...,...,...,...,...,1400,1519,1749,2024,...
Iceland,...,...,...,...,...,189,...,...,...,...
India,...,...,...,...,...,...,...,1 154 196,...,...
Indonesia,...,...,...,...,...,60 491,74 718,87 882,104 584,...
