Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,1500 ,1200 , 1800,1500 ,1200 , 1900,1500 ,1200 , 1900,1500 ,1200 , 1900,1500 ,1200 , 1900,1500 ,1100 , 1900,1500 ,1100 , 1800,1400 ,1000 , 1800,1400 ,1000 , 1800,1300 ,<1000 , 1800,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1200 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<500 ,<200 , <1000
Belarus,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1200,1300 ,1000 , 1600,1700 ,1400 , 2000,2100 ,1700 , 2600,2600 ,2100 , 3100,3100 ,2500 , 3600,3600 ,2900 , 4200,4100 ,3300 , 4800,4600 ,3800 , 5400,5200 ,4200 , 6100,5800 ,4700 , 6900,6400 ,5200 , 7600,7000 ,5600 , 8300,7600 ,6100 , 9000,8200 ,6500 , 9800,8700 ,7000 , 11 000,9100 ,7400 , 11 000,9600 ,7700 , 12 000
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,1700 ,1100 , 2600,2800 ,1900 , 4400,4500 ,3000 , 6900,6700 ,4400 , 10 000,9200 ,6100 , 14 000,12 000 ,7900 , 18 000,15 000 ,9600 , 22 000,17 000 ,11 000 , 26 000,19 000 ,13 000 , 30 000,21 000 ,14 000 , 32 000,23 000 ,15 000 , 35 000,24 000 ,16 000 , 37 000,25 000 ,17 000 , 39 000,26 000 ,17 000 , 40 000,27 000 ,18 000 , 41 000,27 000 ,18 000 , 42 000,27 000 ,18 000 , 42 000,28 000 ,18 000 , 42 000,28 000 ,18 000 , 43 000,29 000 ,19 000 , 44 000,30 000 ,20 000 , 46 000,31 000 ,20 000 , 48 000,32 000 ,21 000 , 49 000,33 000 ,21 000 , 50 000,33 000 ,22 000 , 51 000,34 000 ,22 000 , 52 000,34 000 ,22 000 , 52 000,34 000 ,23 000 , 53 000,35 000 ,23 000 , 53 000,35 000 ,23 000 , 54 000
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),3500 ,1700 , 6300,4200 ,2100 , 7100,5000 ,2500 , 8200,5700 ,2900 , 9100,6300 ,3400 , 9900,6700 ,3800 , 10 000,7100 ,3900 , 10 000,7300 ,4200 , 10 000,7300 ,4400 , 10 000,7200 ,4600 , 9800,7000 ,4700 , 9100,6700 ,4700 , 8600,6300 ,4700 , 8000,5900 ,4500 , 7400,5500 ,4300 , 6800,5100 ,4000 , 6300,4700 ,3700 , 5800,4400 ,3300 , 5400,4100 ,3100 , 5100,3800 ,3000 , 4800,3700 ,2900 , 4500,3600 ,2900 , 4400,3600 ,3000 , 4300,3700 ,3100 , 4400,3800 ,3200 , 4400,3900 ,3300 , 4600,4100 ,3400 , 4700,4200 ,3500 , 4900,4300 ,3600 , 5100,4400 ,3600 , 5200
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
