Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Gambia,43 ,35 , 54,45 ,36 , 56,47 ,38 , 59,49 ,39 , 62,51 ,40 , 64
Georgia,64 ,46 , >95,62 ,44 , >95,58 ,40 , 93,57 ,37 , 94,60 ,38 , >95
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,58 ,44 , 73,61 ,46 , 78,64 ,47 , 83,67 ,49 , 89,70 ,51 , 94
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,56 ,46 , 70,57 ,49 , 71,60 ,51 , 73,62 ,54 , 75,65 ,57 , 78
Guinea,37 ,32 , 42,40 ,34 , 45,42 ,37 , 48,51 ,44 , 59,62 ,53 , 71
Guinea-Bissau,47 ,42 , 53,51 ,45 , 58,55 ,48 , 62,59 ,52 , 67,63 ,56 , 72
Guyana,78 ,70 , 86,84 ,76 , 93,85 ,77 , 94,90 ,81 , >95,>95 ,86 , >95
Haiti,70 ,61 , 79,73 ,64 , 82,76 ,66 , 86,77 ,67 , 87,79 ,68 , 90
Honduras,... ,... , ...,68 ,58 , 79,69 ,59 , 80,68 ,58 , 79,67 ,57 , 78
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),28 ,18 , 47,30 ,19 , 53,33 ,20 , 62,34 ,20 , 68,36 ,20 , 74
Ireland,... ,... , ...,... ,... , ...,85 ,72 , >95,90 ,76 , >95,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,85 ,52 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,91 ,83 , >95,92 ,84 , >95,92 ,84 , >95,94 ,86 , >95,93 ,85 , >95
Kenya,91 ,79 , >95,93 ,81 , >95,94 ,82 , >95,94 ,83 , >95,94 ,82 , >95
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,65 ,<1 , <1,67 ,<1 , <1,70 ,<1 , <1,70 ,<1 , <1,73 ,73 , 74
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,66 ,42 , >95,68 ,43 , >95,74 ,46 , >95,77 ,47 , >95,79 ,48 , >95
Lesotho,89 ,83 , 95,92 ,87 , >95,94 ,88 , >95,95 ,88 , >95,95 ,88 , >95
Liberia,58 ,47 , 72,61 ,49 , 76,65 ,52 , 81,68 ,54 , 85,71 ,56 , 89
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,63 ,53 , 75,66 ,56 , 79,68 ,58 , 81,70 ,60 , 83,72 ,61 , 85
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,18 ,14 , 22
Malawi,86 ,77 , 93,89 ,80 , 95,91 ,82 , >95,93 ,84 , >95,94 ,85 , >95
Malaysia,69 ,62 , 78,71 ,63 , 79,72 ,65 , 81,73 ,66 , 82,74 ,66 , 83
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,38 ,31 , 44,40 ,33 , 47,42 ,34 , 50,44 ,36 , 54,47 ,37 , 58
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
