Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Angola,19 000 ,16 000 , 24 000,20 000 ,16 000 , 25 000,21 000 ,17 000 , 26 000,22 000 ,17 000 , 27 000,22 000 ,17 000 , 27 000,23 000 ,18 000 , 29 000,24 000 ,18 000 , 29 000,24 000 ,17 000 , 29 000,24 000 ,17 000 , 31 000,24 000 ,18 000 , 30 000
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Australia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belarus,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,4000 ,2500 , 6500,4100 ,2500 , 6500,4000 ,2400 , 6500,4000 ,2400 , 6400,3900 ,2300 , 6200,3800 ,2300 , 6100,3700 ,2200 , 5900,3600 ,2200 , 5800,3500 ,2100 , 5600,3400 ,2100 , 5500
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,15 000 ,12 000 , 17 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,11 000 , 16 000,14 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,10 000 , 15 000,12 000 ,9800 , 14 000,12 000 ,9500 , 14 000,12 000 ,9000 , 13 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burkina Faso,7600 ,5600 , 9500,7400 ,5400 , 9200,7200 ,5500 , 8900,7000 ,5300 , 8700,6800 ,5100 , 8500,6600 ,5000 , 8300,6400 ,4800 , 8000,6200 ,4600 , 7600,6000 ,4400 , 7600,5800 ,4200 , 7500
Burundi,6000 ,4700 , 7500,5800 ,4500 , 7200,5700 ,4500 , 7000,5600 ,4300 , 6800,5500 ,4300 , 6700,5400 ,4200 , 6500,5400 ,4200 , 6500,5400 ,4200 , 6500,5400 ,4200 , 6500,5200 ,4000 , 6400
Cabo Verde,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cambodia,1700 ,1400 , 2000,1500 ,1300 , 1800,1400 ,1100 , 1600,1200 ,1000 , 1400,1100 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Cameroon,31 000 ,24 000 , 38 000,30 000 ,22 000 , 36 000,29 000 ,22 000 , 35 000,28 000 ,22 000 , 35 000,27 000 ,20 000 , 34 000,26 000 ,19 000 , 32 000,25 000 ,19 000 , 31 000,25 000 ,18 000 , 29 000,24 000 ,18 000 , 29 000,23 000 ,17 000 , 28 000
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,6400 ,4700 , 8200,6000 ,4500 , 7700,5700 ,4200 , 7300,5300 ,4000 , 6900,5000 ,3700 , 6400,4800 ,3600 , 6200,4600 ,3400 , 6100,4500 ,3400 , 5900,4400 ,3300 , 5700,4300 ,3200 , 5900
Chad,10 000 ,7700 , 13 000,10 000 ,7500 , 13 000,10 000 ,7700 , 13 000,10 000 ,7500 , 13 000,10 000 ,7200 , 13 000,9900 ,7300 , 13 000,9900 ,7100 , 12 000,9800 ,7000 , 12 000,9500 ,6700 , 12 000,9300 ,6600 , 12 000
Chile,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Congo,4600 ,3500 , 5800,4700 ,3600 , 5800,4700 ,3600 , 5900,4700 ,3500 , 5900,4700 ,3400 , 5900,4700 ,3400 , 6300,4700 ,3400 , 6400,4800 ,3300 , 6600,4800 ,3300 , 7000,4900 ,3300 , 7600
Costa Rica,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,25 000 ,19 000 , 31 000,24 000 ,19 000 , 29 000,23 000 ,18 000 , 28 000,23 000 ,17 000 , 27 000,22 000 ,17 000 , 25 000,21 000 ,16 000 , 25 000,20 000 ,16 000 , 24 000,20 000 ,15 000 , 23 000,19 000 ,15 000 , 23 000,19 000 ,15 000 , 22 000
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,37 000 ,28 000 , 47 000,37 000 ,27 000 , 47 000,36 000 ,27 000 , 46 000,35 000 ,26 000 , 43 000,34 000 ,25 000 , 43 000,33 000 ,24 000 , 43 000,32 000 ,24 000 , 41 000,32 000 ,23 000 , 40 000,31 000 ,23 000 , 40 000,31 000 ,23 000 , 40 000
