Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Dominican Republic,65.1,"Source: Tercera Encuesta de Vigilancia de Comportamiento con Vinculación Serologica en Poblaciones Clave."
Paraguay,6.3,"Source: PREVALENCIA DEL VIH/SIFILIS/HEPATITIS B Y COMPORTAMIENTOS, PRÁCTICAS Y ACTITUDES DE LA POBLACION TRANS EN EL PARAGUAY, 2017"
Sri Lanka,5.5,"Source: Behavioral surveillance, 2018"
Thailand,6.2,"Source: IBBS among MSM MSW TG 2018."
United Kingdom,7,"Source: ECDC"
