Country,2017,2018,2019,2019_Footnote
Afghanistan,56,,56,"Denominator less than 50"
Albania,38,78,56,"Denominator less than 50"
Algeria,7,,,
Antigua and Barbuda,50,28,,
Argentina,54,,,
Armenia,44,48,66,
Azerbaijan,36,,47,
Bahamas,54,,,
Bahrain,,40,,
Bangladesh,60,24,,
Barbados,68,52,,
Belarus,35,11,,
Brazil,43,44,46,
Cambodia,46,,25,
Chile,57,46,39,
China,59,61,,
Colombia,,58,,
Comoros,8,30,71,"Denominator less than 50"
Cuba,23,23,,
Dominican Republic,33,6,31,
Ecuador,,50,52,
El Salvador,,10,54,
Eritrea,60,,,
Eswatini,,,50,
Georgia,58,63,54,
Guatemala,69,72,72,
Haiti,35,,40,
Honduras,,51,44,
India,60,58,,
Indonesia,28,78,78,
Iran (Islamic Republic of),53,49,49,
Israel,,60,,
Jamaica,42,,38,
Jordan,<1,,,
Kazakhstan,43,45,47,
Kuwait,48,49,,
Kyrgyzstan,60,58,51,
Lebanon,67,50,,
Malaysia,51,49,60,
Mauritius,37,14,50,
Mexico,61,56,,
Mongolia,33,<1,75,"Denominator less than 50"
Montenegro,>95,<1,<1,"Denominator less than 50"
Morocco,,,64,
Mozambique,43,,42,
Myanmar,50,,,
Namibia,47,,,
Nepal,33,26,,
New Zealand,60,33,,
Nicaragua,,42,52,
Niger,,23,,
Nigeria,,,55,
North Macedonia,,<1,,
Oman,65,50,68,"Denominator less than 50"
Panama,60,46,,
Papua New Guinea,,,68,
Paraguay,56,56,54,
Peru,,33,,
Philippines,70,64,66,
Qatar,,<1,,
Republic of Moldova,50,49,46,
Saint Kitts and Nevis,>95,>95,50,"Denominator less than 50"
Saint Lucia,25,13,33,"Denominator less than 50"
Samoa,33,<1,,
Sao Tome and Principe,58,13,,
Saudi Arabia,49,63,,
Senegal,75,,70,
Serbia,75,80,,
Seychelles,,15,,
Sierra Leone,,,56,
Singapore,88,76,,
Sri Lanka,47,55,59,
Suriname,37,39,41,
Syrian Arab Republic,30,<1,32,"Denominator less than 50"
Tajikistan,53,,48,
Thailand,,73,,
Tunisia,78,78,,
Turkey,,50,45,
United Arab Emirates,7,>95,46,"Denominator less than 50"
Uzbekistan,10,41,,
Venezuela (Bolivarian Republic of),,,94,"Denominator less than 50"
