States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,19 592,20 144,26 691,26 771,35 049,46 551,50 222,59 387,66 131,74 229
Copperbelt,43 781,50 776,58 341,65 502,80 016,90 039,96 709,103 121,107 651,124 011
Eastern,17 753,22 635,23 285,30 641,35 855,40 498,40 807,46 420,51 740,56 895
Luapula,7817,9041,10 270,13 531,14 340,17 523,20 880,21 620,28 212,30 025
Lusaka,57 601,68 055,66 080,74 743,100 810,125 319,131 040,136 865,158 715,169 309
Muchinga,4046,5299,6120,7160,9323,11 891,9242,11 422,13 709,16 603
North-Western,5030,6539,7064,9718,9856,12 089,13 915,13 970,15 488,17 688
Northern,6468,12 082,8702,12 299,13 688,16 271,17 142,17 568,20 732,25 534
Southern,24 388,32 163,37 241,43 001,49 036,45 153,50 254,59 756,70 258,77 454
Western,11 075,12 797,14 688,21 718,24 974,29 304,30 721,36 041,42 817,47 750
National,197 551,239 531,258 482,305 084,372 947,434 638,460 932,506 170,575 453,639 498
