States,2019,2019_lower, 2019_upper
Nsimbo DC,<100 ,<100 , <200
Nyamagana MC,<500 ,<200 , <1000
Nyang'hwale DC,<1000 ,<500 , <1000
Nyasa DC,<1000 ,<500 , <1000
Nzega DC,<1000 ,<1000 , 1100
Nzega TC,<500 ,<500 , <1000
Pangani DC,1200 ,1000 , 1400
Rombo DC,<1000 ,<1000 , <1000
Rorya DC,<500 ,<200 , <1000
Ruangwa DC,<1000 ,<500 , 1200
Rufiji DC,1000 ,<1000 , 1700
Rungwe DC,1100 ,<1000 , 1700
Same DC,<1000 ,<500 , 1200
Sengerema DC,<500 ,<200 , <1000
Serengeti DC,<500 ,<500 , <1000
Shinyanga DC,<100 ,<100 , <100
Shinyanga MC,<500 ,<500 , <1000
Siha DC,<1000 ,<500 , 1500
Sikonge DC,<500 ,<200 , <500
Simanjiro DC,<1000 ,<500 , <1000
Singida DC,<500 ,<500 , <1000
Singida MC,<1000 ,<1000 , <1000
Songea DC,1100 ,1000 , 1300
Songea MC,<1000 ,<1000 , 1000
Songwe DC,<500 ,<500 , <1000
Sumbawanga DC,<500 ,<500 , <1000
Sumbawanga MC,<500 ,<200 , <500
Tabora MC,<1000 ,<1000 , <1000
Tandahimba DC,<1000 ,<1000 , 1500
Tanga CC,<1000 ,<1000 , 1400
Tarime DC,<100 ,<100 , <500
Tarime TC,<200 ,<100 , <500
Temeke MC,1400 ,<1000 , 2600
Tunduma TC,<200 ,<100 , <500
Tunduru DC,<1000 ,<500 , <1000
Ubungo MC,1200 ,<1000 , 2500
Ukerewe DC,<500 ,<200 , 1000
Ulanga DC,<1000 ,<500 , 1100
Urambo DC,<500 ,<100 , <1000
Ushetu DC,<1000 ,<500 , <1000
Uvinza DC,<500 ,<200 , <1000
Uyui DC,<500 ,<200 , <1000
Wanging'ombe DC,<1000 ,<1000 , 1200
Wete,<500 ,<500 , <500
National,150 000 ,90 000,330 000
