States,2019,2019_lower, 2019_upper
Rufiji DC,<100 ,<100 , <100
Rungwe DC,<200 ,<100 , <500
Same DC,<100 ,<100 , <100
Sengerema DC,<100 ,<100 , <100
Serengeti DC,<100 ,<100 , <100
Shinyanga DC,<100 ,<100 , <100
Shinyanga MC,<100 ,<100 , <100
Siha DC,<100 ,<100 , <100
Sikonge DC,<100 ,<100 , <100
Simanjiro DC,<100 ,<100 , <100
Singida DC,<100 ,<100 , <100
Singida MC,<100 ,<100 , <100
Songea DC,<100 ,<100 , <100
Songea MC,<100 ,<100 , <100
Songwe DC,<100 ,<100 , <100
Sumbawanga DC,<100 ,<100 , <100
Sumbawanga MC,<100 ,<100 , <100
Tabora MC,<100 ,<100 , <100
Tandahimba DC,<100 ,<100 , <100
Tanga CC,<100 ,<100 , <100
Tarime DC,<100 ,<100 , <100
Tarime TC,<100 ,<100 , <100
Temeke MC,<100 ,<100 , <100
Tunduma TC,<100 ,<100 , <100
Tunduru DC,<100 ,<100 , <100
Ubungo MC,<100 ,<100 , <100
Ukerewe DC,<100 ,<100 , <100
Ulanga DC,<100 ,<100 , <100
Urambo DC,<100 ,<100 , <100
Ushetu DC,<100 ,<100 , <100
Uvinza DC,<100 ,<100 , <100
Uyui DC,<100 ,<100 , <100
Wanging'ombe DC,<100 ,<100 , <100
Wete,<100 ,<100 , <100
National,2800 ,1300,4600
