States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,87 ,75 , 97,88 ,76 , 98,88 ,77 , 99,89 ,78 , 100,90 ,78 , 100
Harare,88 ,75 , 100,89 ,77 , 100,91 ,79 , 100,91 ,79 , 100,92 ,80 , 100
Manicaland,87 ,75 , 98,89 ,77 , 100,91 ,79 , 100,91 ,79 , 100,92 ,80 , 100
Mashonaland Central,90 ,78 , 100,100 ,87 , 100,100 ,90 , 100,100 ,91 , 100,100 ,100 , 100
Mashonaland East,83 ,73 , 93,85 ,74 , 95,87 ,75 , 97,87 ,76 , 98,88 ,77 , 100
Mashonaland West,88 ,78 , 100,92 ,81 , 100,99 ,87 , 100,97 ,86 , 100,100 ,91 , 100
Masvingo,89 ,78 , 98,91 ,81 , 100,93 ,81 , 100,94 ,82 , 100,99 ,86 , 100
Matabeleland North,89 ,78 , 100,91 ,80 , 100,93 ,81 , 100,93 ,82 , 100,94 ,83 , 100
Matabeleland South,85 ,76 , 93,88 ,79 , 96,91 ,82 , 100,94 ,84 , 100,96 ,87 , 100
Midlands,86 ,76 , 96,88 ,77 , 98,88 ,77 , 99,88 ,77 , 98,88 ,76 , 98
National,87 ,76,99,90 ,78,100,92 ,80,100,92 ,81,100,95 ,83,100
