States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,46 ,41 , 54,63 ,55 , 74,58 ,50 , 67,62 ,54 , 74,71 ,61 , 85
Coast,,,,,,,,,,,,,62 ,54 , 73
Eastern,,,,,,,,,,,,,63 ,55 , 74
Nairobi,,,,,,,,,,,,,77 ,65 , 89
North Eastern,,,,,,,,,,,,,... ,... , ...
Nyanza,,,,,,,,,,,,,76 ,67 , 87
Rift Valley,,,,,,,,,,,,,50 ,44 , 57
Western,,,,,,,,,,,,,77 ,67 , 89
National,... ,...,...,... ,...,...,... ,...,...,... ,...,...,68 ,60,79
