States,2019,2019_lower, 2019_upper
Nkasi DC,1700 ,1100 , 2700
Nsimbo DC,<500 ,<200 , <500
Nyamagana MC,1700 ,<1000 , 2800
Nyang'hwale DC,1300 ,<1000 , 1700
Nyasa DC,1100 ,<1000 , 1500
Nzega DC,1500 ,<1000 , 2400
Nzega TC,1200 ,<1000 , 2000
Pangani DC,1400 ,1000 , 1800
Rombo DC,<1000 ,<1000 , 1000
Rorya DC,1100 ,<500 , 2300
Ruangwa DC,1000 ,<1000 , 1700
Rufiji DC,2200 ,<1000 , 5400
Rungwe DC,3400 ,2000 , 5500
Same DC,1100 ,<500 , 2100
Sengerema DC,<1000 ,<200 , 1200
Serengeti DC,<1000 ,<500 , 1300
Shinyanga DC,<500 ,<500 , <1000
Shinyanga MC,1300 ,<1000 , 2100
Siha DC,1500 ,<1000 , 3100
Sikonge DC,<1000 ,<500 , 1500
Simanjiro DC,<1000 ,<1000 , 1100
Singida DC,1200 ,<1000 , 1900
Singida MC,2300 ,1500 , 3400
Songea DC,1200 ,<1000 , 1500
Songea MC,2600 ,2000 , 3300
Songwe DC,<1000 ,<500 , 2200
Sumbawanga DC,1200 ,<1000 , 1600
Sumbawanga MC,1000 ,<500 , 2300
Tabora MC,1400 ,<1000 , 2700
Tandahimba DC,<1000 ,<500 , 2300
Tanga CC,2600 ,1600 , 4000
Tarime DC,<500 ,<100 , <1000
Tarime TC,<200 ,<200 , <500
Temeke MC,2400 ,1100 , 5300
Tunduma TC,<500 ,<200 , 1300
Tunduru DC,1000 ,<1000 , 2000
Ubungo MC,2000 ,1100 , 3500
Ukerewe DC,<1000 ,<500 , 2300
Ulanga DC,1300 ,<1000 , 2400
Urambo DC,1200 ,<1000 , 2100
Ushetu DC,2700 ,1900 , 3800
Uvinza DC,<1000 ,<500 , 2100
Uyui DC,<1000 ,<500 , 1800
Wanging'ombe DC,2400 ,1700 , 3200
Wete,<500 ,<500 , <1000
National,190 000 ,110 000,270 000
