States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<200 ,<200 , <500,<500 ,<200 , <500
Adamawa,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Akwa Ibom,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<1000 , 1400,1100 ,<1000 , 1700,1000 ,<500 , 1500,<1000 ,<500 , 1100,<500 ,<500 , <1000,<1000 ,<500 , <1000
Anambra,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Bauchi,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Bayelsa,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100
Benue,<1000 ,<500 , <1000,<1000 ,<1000 , 1400,1600 ,1200 , 2000,1300 ,<1000 , 2000,1400 ,1000 , 2000,1500 ,<1000 , 2800,1600 ,1100 , 3000,1400 ,<1000 , 2400,1100 ,<1000 , 1900,1200 ,<1000 , 2000
Borno,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Cross River,<200 ,<100 , <200,<200 ,<200 , <500,<100 ,<100 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Delta,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<1000 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500
Ebonyi,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<200 ,<100 , <200,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Edo,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500
Ekiti,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Enugu,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
FCT Abuja,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , 1100,<500 ,<500 , 1200,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000
Gombe,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <1000,<200 ,<100 , <500,<100 ,<100 , <200,<200 ,<100 , <500
Imo,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <200,<500 ,<200 , <500,<200 ,<100 , <500
Jigawa,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <500,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200
Kaduna,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<1000 ,<500 , 1100,<500 ,<200 , <1000,<500 ,<500 , 1200,<1000 ,<500 , 1400,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Kano,<200 ,<100 , <500,<500 ,<200 , <1000,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<500 ,<200 , 1400,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
