States,2019,2019_lower, 2019_upper
Nkasi DC,4300 ,2900 , 6200
Nsimbo DC,1100 ,<1000 , 1700
Nyamagana MC,8900 ,5500 , 13 000
Nyang'hwale DC,4800 ,3400 , 6500
Nyasa DC,2600 ,1800 , 3800
Nzega DC,4100 ,2800 , 6000
Nzega TC,3200 ,1600 , 5200
Pangani DC,2500 ,2300 , 2700
Rombo DC,3600 ,2900 , 4500
Rorya DC,4000 ,1900 , 7400
Ruangwa DC,3200 ,1800 , 5200
Rufiji DC,6100 ,1600 , 13 000
Rungwe DC,8400 ,5200 , 13 000
Same DC,2700 ,1100 , 5300
Sengerema DC,1200 ,<500 , 2700
Serengeti DC,1900 ,<1000 , 3700
Shinyanga DC,3100 ,2300 , 4100
Shinyanga MC,4100 ,2700 , 6100
Siha DC,4700 ,2300 , 8300
Sikonge DC,1800 ,<1000 , 4000
Simanjiro DC,2900 ,1800 , 4700
Singida DC,3200 ,1900 , 4900
Singida MC,5100 ,3400 , 7200
Songea DC,2500 ,1700 , 3600
Songea MC,6300 ,4900 , 7800
Songwe DC,3200 ,1900 , 5200
Sumbawanga DC,3200 ,2300 , 4300
Sumbawanga MC,3300 ,2100 , 5200
Tabora MC,3700 ,2100 , 6300
Tandahimba DC,2200 ,<1000 , 6500
Tanga CC,7100 ,4400 , 10 000
Tarime DC,<1000 ,<200 , 1800
Tarime TC,<500 ,<200 , <1000
Temeke MC,14 000 ,7900 , 23 000
Tunduma TC,1600 ,<1000 , 3700
Tunduru DC,3000 ,1700 , 5100
Ubungo MC,12 000 ,6500 , 22 000
Ukerewe DC,2600 ,<1000 , 6300
Ulanga DC,4400 ,2400 , 7500
Urambo DC,5900 ,4600 , 7500
Ushetu DC,8700 ,7300 , 10 000
Uvinza DC,3100 ,1300 , 6300
Uyui DC,3500 ,2000 , 5900
Wanging'ombe DC,7600 ,6200 , 9300
Wete,<1000 ,<500 , 1100
National,800 000 ,700 000,880 000
