States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,2900 ,2000 , 3700,2900 ,2000 , 3700,3000 ,2100 , 3700,3000 ,2000 , 3800,2900 ,2000 , 3800,2900 ,2000 , 3700,2900 ,2000 , 3800,2700 ,1900 , 3500,2500 ,1700 , 3300,2400 ,1600 , 3100
Afar,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Amhara,8000 ,5700 , 10 000,7800 ,5600 , 10 000,7600 ,5400 , 9700,7400 ,5300 , 9700,7100 ,5100 , 9000,6800 ,4900 , 8800,6500 ,4700 , 8500,6300 ,4400 , 8000,6000 ,4300 , 7800,5700 ,4100 , 7400
Beneshangul Gumuz,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Dire Dawa,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500
Gambella,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Harari,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
Oromiya,7700 ,5200 , 11 000,7400 ,5100 , 10 000,7400 ,5100 , 10 000,7200 ,4900 , 9900,6900 ,4800 , 9500,6700 ,4500 , 9400,6600 ,4500 , 9200,6100 ,4200 , 8400,5700 ,3900 , 7800,5300 ,3700 , 7300
SNNPR,3100 ,2100 , 4100,3000 ,2000 , 3900,2900 ,1900 , 3700,2700 ,1900 , 3500,2600 ,1800 , 3400,2500 ,1700 , 3300,2400 ,1700 , 3100,2300 ,1600 , 2900,2100 ,1400 , 2800,2000 ,1400 , 2600
Somali,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Tigray,2500 ,1900 , 3500,2500 ,1800 , 3200,2400 ,1700 , 3100,2400 ,1700 , 3100,2400 ,1700 , 3100,2300 ,1700 , 3100,2300 ,1600 , 3000,2200 ,1500 , 2900,2100 ,1400 , 2800,1900 ,1300 , 2600
National,27 000 ,19 000,36 000,26 000 ,18 000,35 000,26 000 ,18 000,34 000,25 000 ,17 000,33 000,24 000 ,17 000,32 000,23 000 ,16 000,31 000,23 000 ,16 000,31 000,22 000 ,15 000,29 000,20 000 ,14 000,27 000,19 000 ,13 000,26 000
