States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,74 ,71 , 77,76 ,73 , 80,80 ,77 , 84,83 ,79 , 87,90 ,85 , 95
Copperbelt,77 ,74 , 80,80 ,77 , 83,82 ,79 , 86,84 ,81 , 88,86 ,83 , 91
Eastern,84 ,80 , 88,87 ,83 , 92,88 ,84 , 94,91 ,87 , 97,96 ,91 , 100
Luapula,78 ,75 , 81,81 ,78 , 85,84 ,81 , 88,88 ,84 , 92,90 ,86 , 95
Lusaka,79 ,76 , 83,81 ,77 , 85,85 ,81 , 89,88 ,84 , 93,91 ,87 , 96
Muchinga,82 ,79 , 87,84 ,80 , 89,86 ,82 , 92,90 ,86 , 97,94 ,89 , 100
North-Western,83 ,75 , 94,87 ,78 , 98,88 ,78 , 100,91 ,79 , 100,93 ,80 , 100
Northern,82 ,79 , 87,85 ,82 , 90,88 ,85 , 93,90 ,87 , 96,92 ,88 , 98
Southern,75 ,69 , 81,77 ,71 , 84,80 ,73 , 88,83 ,75 , 93,85 ,77 , 96
Western,80 ,72 , 89,83 ,74 , 94,88 ,77 , 100,92 ,81 , 100,99 ,87 , 100
National,78 ,74,84,81 ,76,87,84 ,79,90,87 ,82,93,90 ,85,97
