States,2019,2019_lower, 2019_upper
Mágoè,1.55 ,0.93 , <0.01
Nacala,10.60 ,6.57 , 0.02
Nacala-a-Velha,6.98 ,3.87 , 0.01
Nacarôa,6.49 ,3.83 , <0.01
Namaacha,14.68 ,9.99 , 0.02
Namacurra,15.89 ,12.19 , 0.02
Namarói,3.90 ,2.33 , <0.01
Nampula,8.12 ,6.27 , 0.01
Namuno,9.20 ,5.94 , 0.01
Nangade,8.71 ,5.20 , 0.01
Ngaúma,3.31 ,1.85 , <0.01
Nhamatanda,8.92 ,5.95 , 0.01
Nhlamankulu,3.71 ,2.95 , <0.01
Nicoadala,15.42 ,10.66 , 0.02
Nipepe,3.52 ,1.99 , <0.01
Palma,6.68 ,3.55 , 0.01
Panda,6.28 ,4.29 , <0.01
Pebane,10.67 ,7.97 , 0.01
Pemba,7.42 ,5.26 , 0.01
Quelimane,14.40 ,11.94 , 0.02
Quissanga,7.88 ,4.49 , 0.01
Rapale,5.90 ,3.50 , <0.01
Ribáuè,8.24 ,4.96 , 0.01
Sanga,4.19 ,2.62 , <0.01
Sussendenga,4.06 ,2.72 , <0.01
Tambara,4.50 ,2.77 , <0.01
Tete,3.20 ,2.62 , <0.01
Tsangano,0.61 ,0.33 , <0.01
Vanduzi,5.67 ,4.00 , <0.01
Vilankulo,8.96 ,6.51 , 0.01
Xai-Xai,9.64 ,7.54 , 0.01
Zavala,8.15 ,5.53 , 0.01
Zumbu,0.78 ,0.41 , <0.01
National,7.39 ,4.48,12.04
