States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Delgado,5561,6738,7200,12 551,18 489,26 012,31 238,31 661,35 481,45 948
Cidade de Maputo,29 383,35 733,38 108,59 622,50 558,68 574,81 384,80 174,87 375,95 692
Gaza,19 287,24 291,37 549,33 816,54 616,66 971,83 564,95 493,106 828,115 000
Inhambane,7419,9580,6025,18 555,22 806,29 870,42 523,42 302,56 374,61 575
Manica,8990,10 883,13 443,16 257,33 190,37 501,45 387,59 117,60 069,68 047
Maputo,18 151,23 977,18 645,33 457,49 835,51 074,67 783,80 366,95 205,109 489
Nampula,6016,8466,10 039,18 599,26 014,36 974,46 259,56 769,65 747,70 976
Niassa,2751,3657,7120,7629,8148,9299,12 162,15 865,20 128,21 404
Sofala,13 119,16 113,22 284,28 401,38 207,54 311,62 155,70 892,77 526,75 947
Tete,7789,9178,7112,13 522,19 600,25 678,30 870,35 718,38 665,42 061
Zambezia,12 271,14 614,21 755,37 914,56 041,72 984,96 002,120 900,147 999,167 788
National,130 737,163 230,189 280,280 323,377 504,479 248,599 327,689 257,791 397,873 927
