States,2019,2019_lower, 2019_upper
Njombe DC,4000 ,2600 , 7500
Njombe TC,4200 ,2500 , 7200
Nkasi DC,7000 ,4800 , 9900
Nsimbo DC,1400 ,<1000 , 2200
Nyamagana MC,11 000 ,6900 , 17 000
Nyang'hwale DC,6800 ,5200 , 8600
Nyasa DC,5000 ,3800 , 6500
Nzega DC,7100 ,4900 , 10 000
Nzega TC,5100 ,2800 , 8000
Pangani DC,6300 ,5400 , 7300
Rombo DC,5000 ,4200 , 5900
Rorya DC,5700 ,2800 , 11 000
Ruangwa DC,5400 ,2900 , 8500
Rufiji DC,9800 ,4300 , 19 000
Rungwe DC,13 000 ,8400 , 20 000
Same DC,4800 ,2300 , 8600
Sengerema DC,2400 ,<1000 , 5000
Serengeti DC,3400 ,2300 , 5600
Shinyanga DC,3300 ,2400 , 4300
Shinyanga MC,6300 ,4400 , 9300
Siha DC,7100 ,3400 , 13 000
Sikonge DC,3000 ,1600 , 6000
Simanjiro DC,5000 ,4000 , 6600
Singida DC,5000 ,3000 , 7500
Singida MC,8600 ,6300 , 12 000
Songea DC,6100 ,5200 , 7400
Songea MC,10 000 ,8300 , 13 000
Songwe DC,4900 ,3200 , 8700
Sumbawanga DC,5600 ,4400 , 7100
Sumbawanga MC,4700 ,2800 , 8500
Tabora MC,6600 ,4400 , 11 000
Tandahimba DC,4600 ,2300 , 10 000
Tanga CC,11 000 ,7100 , 16 000
Tarime DC,1000 ,<500 , 2600
Tarime TC,1000 ,<1000 , 1700
Temeke MC,20 000 ,12 000 , 35 000
Tunduma TC,2500 ,<1000 , 5900
Tunduru DC,5200 ,3400 , 8600
Ubungo MC,18 000 ,10 000 , 29 000
Ukerewe DC,4600 ,1600 , 10 000
Ulanga DC,7100 ,4300 , 11 000
Urambo DC,6900 ,5200 , 10 000
Ushetu DC,12 000 ,9500 , 15 000
Uvinza DC,4400 ,2000 , 9100
Uyui DC,4900 ,2800 , 8400
Wanging'ombe DC,12 000 ,9300 , 14 000
Wete,1700 ,1300 , 2300
National,1 300 000 ,1 100 000,1 400 000
