States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,15.31 261 ,10.9 058 , 17.76 115,15.06 888 ,11.79 392 , 17.30 286,11.30 471 ,8.05 045 , 13.74 968,9.53 497 ,6.9 251 , 11.90 718,9.70 976 ,7.10 816 , 12.19 527,10.66 678 ,7.21 641 , 13.03 215,9.55 994 ,6.77 083 , 12.01 808,8.46 265 ,6.28 702 , 11.21 813,7.33 428 ,5.84 399 , 10.07 563,8.02 166 ,5.99 281 , 11.66 667
Harare,20.22 424 ,15.87 331 , 23.05 676,18.55 887 ,14.54 204 , 21.46 571,13.31 113 ,10.18 695 , 17.31 809,15.05 692 ,10.57 299 , 18.38 303,15.86 243 ,10.82 121 , 19.00 444,14.82 911 ,9.54 964 , 18.31 006,14.35 151 ,9.47 749 , 18.25 414,12.02 142 ,8.36 893 , 16.18 203,10.71 002 ,8.75 114 , 15.42 028,8.50 279 ,7.58 282 , 11.94 721
Manicaland,24.02 266 ,21.95 537 , 25.53 652,20.52 139 ,17.89 192 , 22.41 793,11.8 474 ,10.04 313 , 14.195,10.78 813 ,9.18 441 , 13.40 615,9.98 127 ,7.73 302 , 12.73 234,9.44 407 ,7.22 759 , 12.74 413,8.59 846 ,6.85 731 , 11.7 344,7.56 301 ,6.16 719 , 10.72 033,6.98 093 ,5.8 827 , 9.68 094,7.30 284 ,5.98 251 , 10.91 794
Mashonaland Central,23.16 794 ,21.13 306 , 25.06 415,14.16 269 ,11.54 256 , 17.6 084,9.5 016 ,8.31 824 , 12.10 829,8.27 139 ,7.12 206 , 10.80 697,7.82 951 ,6.7 943 , 10.81 881,6.71 456 ,5.94 933 , 9.11 781,5.97 099 ,5.44 172 , 7.71 026,5.44 127 ,5.04 324 , 5.95 927,5.38 424 ,5.014 , 5.86 294,5.85 533 ,5.421 , 7.06 514
Mashonaland East,23.62 594 ,22.20 867 , 25.31 966,19.12 375 ,17.20 366 , 21.11 225,15.09 137 ,12.19 445 , 17.29 937,14.16 083 ,11.3 185 , 16.44 525,13.49 283 ,10.45 689 , 15.76 254,13.14 169 ,9.58 409 , 15.56 694,12.62 434 ,8.99 924 , 15.26 693,11.63 087 ,7.98 691 , 14.20 018,12.61 761 ,8.84 983 , 15.12 956,10.21 645 ,6.72 372 , 13.27 259
Mashonaland West,23.02 435 ,21.00 837 , 24.79 903,16.126 ,12.48 475 , 18.72 856,9.67 982 ,8.48 982 , 13.01 266,8.57 283 ,7.64 189 , 11.48 873,8.91 367 ,7.63 505 , 12.34 436,7.7 054 ,6.8 634 , 10.86 491,6.41 704 ,5.91 717 , 7.85 631,5.45 876 ,5.08 324 , 6.05 875,7.64 759 ,6.76 833 , 11.04 092,5.86 279 ,5.45 138 , 7.31 099
Masvingo,21.97 385 ,20.43 015 , 23.79 118,19.32 148 ,17.2 972 , 21.48 018,10.204 ,8.84 187 , 12.58 944,9.35 423 ,8.16 585 , 11.24 817,8.99 072 ,7.61 085 , 11.74 892,8.28 398 ,6.64 839 , 11.17 129,7.78 397 ,6.63 009 , 10.29 255,7.14 814 ,5.97 149 , 9.64 115,7.11 026 ,5.98 775 , 9.76 899,7.91 644 ,6.17 936 , 10.79 715
Matabeleland North,22.43 787 ,20.7 795 , 24.08 518,15.23 152 ,12.15 956 , 17.40 227,10.76 509 ,9.50 544 , 13.07 185,10.24 394 ,8.99 454 , 12.6 641,8.56 766 ,7.54 261 , 10.82 697,11.20 351 ,7.95 001 , 13.87 381,10.16 239 ,7.44 133 , 13.44 195,9.7 334 ,7.10 936 , 13.24 121,6.38 852 ,5.52 902 , 8.93 178,9.46 107 ,6.9 847 , 14.12 533
Matabeleland South,22.21 686 ,20.48 514 , 23.61 085,14.68 205 ,12.02 196 , 16.78 716,9.74 518 ,8.65 497 , 11.70 262,9.62 403 ,8.32 712 , 11.65 295,9.62 076 ,8.1 018 , 12.06 708,8.56 504 ,7.26 722 , 11.03 377,7.5 092 ,6.51 397 , 9.63 466,6.68 475 ,5.79 137 , 8.48 503,7.11 533 ,6.12 643 , 9.47 949,7.06 135 ,5.97 971 , 9.60 693
Midlands,22.05 109 ,20.21 789 , 23.73 213,16.4 148 ,13.25 429 , 18.34 111,10.78 796 ,9.61 857 , 12.52 771,10.28 739 ,9.06 406 , 12.01 425,10.21 388 ,8.7 921 , 12.59 995,11.41 111 ,8.82 923 , 13.88 149,9.35 425 ,7.86 383 , 11.59 641,11.21 443 ,8.18 396 , 13.936,8.49 461 ,7.10 034 , 10.9 258,9.45 776 ,7.29 562 , 12.88 106
National,22.204 536 ,17.41 165,30.24 287,17.370 414 ,13.62 125,23.6 592,11.456 177 ,8.98 259,15.60 217,10.861 867 ,8.51 609,14.79 189,10.585 642 ,8.29 916,14.41 508,10.383 988 ,8.1 411,14.14 056,9.409 174 ,7.37 941,12.81 754,8.805 097 ,6.90 308,11.99 019,8.377 275 ,6.57 084,11.41 311,8.170 367 ,6.40 614,11.12 704
