States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,2 ,1 , 3,3 ,2 , 5,3 ,2 , 4,6 ,4 , 10,10 ,6 , 15,12 ,8 , 18,13 ,9 , 19,14 ,10 , 20,17 ,12 , 23,13 ,9 , 18
Adamawa,13 ,9 , 20,25 ,16 , 38,22 ,14 , 35,28 ,18 , 44,34 ,21 , 53,65 ,41 , 100,79 ,48 , 100,100 ,66 , 100,100 ,61 , 100,88 ,51 , 100
Akwa Ibom,21 ,15 , 30,38 ,26 , 54,32 ,22 , 46,12 ,9 , 17,9 ,7 , 13,17 ,12 , 24,29 ,20 , 40,19 ,13 , 27,20 ,13 , 27,29 ,19 , 39
Anambra,5 ,3 , 7,5 ,4 , 8,6 ,4 , 9,15 ,10 , 22,24 ,16 , 35,18 ,13 , 27,20 ,14 , 29,23 ,16 , 34,22 ,15 , 33,22 ,15 , 31
Bauchi,18 ,10 , 33,34 ,19 , 62,30 ,16 , 55,34 ,19 , 63,33 ,17 , 60,100 ,55 , 100,53 ,27 , 100,54 ,27 , 100,61 ,30 , 100,62 ,30 , 100
Bayelsa,4 ,2 , 6,7 ,4 , 11,9 ,6 , 15,7 ,4 , 11,8 ,5 , 12,12 ,8 , 18,14 ,9 , 20,15 ,9 , 21,18 ,11 , 25,17 ,11 , 23
Benue,32 ,21 , 46,37 ,25 , 53,45 ,30 , 61,50 ,34 , 69,57 ,40 , 78,65 ,46 , 89,73 ,52 , 100,81 ,57 , 100,87 ,62 , 100,99 ,68 , 100
Borno,6 ,3 , 12,11 ,6 , 22,9 ,5 , 20,12 ,6 , 26,13 ,7 , 27,9 ,5 , 18,8 ,4 , 16,13 ,7 , 27,12 ,6 , 25,12 ,6 , 26
Cross River,5 ,3 , 8,9 ,6 , 14,7 ,5 , 11,24 ,15 , 36,21 ,13 , 31,33 ,21 , 49,27 ,16 , 39,28 ,18 , 41,29 ,19 , 43,32 ,20 , 47
Delta,5 ,3 , 7,8 ,5 , 12,7 ,5 , 10,17 ,11 , 25,18 ,12 , 27,20 ,13 , 30,28 ,18 , 42,31 ,21 , 47,29 ,19 , 43,28 ,19 , 41
Ebonyi,3 ,2 , 5,7 ,4 , 9,8 ,5 , 11,12 ,8 , 17,16 ,11 , 22,22 ,16 , 30,15 ,11 , 21,19 ,13 , 26,21 ,15 , 29,21 ,16 , 30
Edo,16 ,10 , 24,17 ,11 , 25,18 ,11 , 26,19 ,12 , 28,20 ,13 , 30,22 ,14 , 32,22 ,14 , 32,23 ,15 , 33,24 ,16 , 34,28 ,19 , 40
Ekiti,8 ,4 , 14,14 ,8 , 25,16 ,9 , 29,19 ,11 , 34,21 ,12 , 39,23 ,14 , 43,25 ,15 , 45,27 ,15 , 46,28 ,16 , 48,32 ,18 , 54
Enugu,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,20 ,14 , 30,41 ,28 , 61,48 ,33 , 73,60 ,40 , 91,36 ,24 , 52,37 ,24 , 52,38 ,25 , 53
FCT Abuja,47 ,30 , 73,53 ,35 , 82,59 ,38 , 90,65 ,43 , 98,72 ,48 , 100,80 ,53 , 100,91 ,60 , 100,98 ,64 , 100,100 ,69 , 100,100 ,71 , 100
Gombe,1 ,0 , 1,1 ,1 , 2,1 ,1 , 2,36 ,22 , 57,65 ,39 , 100,72 ,42 , 100,87 ,50 , 100,66 ,37 , 100,66 ,37 , 100,78 ,44 , 100
Imo,2 ,2 , 4,4 ,3 , 7,4 ,2 , 6,17 ,11 , 25,29 ,20 , 45,25 ,17 , 38,29 ,20 , 43,44 ,31 , 62,21 ,14 , 29,30 ,21 , 42
Jigawa,23 ,13 , 47,42 ,25 , 85,37 ,22 , 72,12 ,7 , 23,23 ,14 , 45,22 ,12 , 42,24 ,13 , 47,32 ,17 , 64,35 ,18 , 69,36 ,18 , 70
Kaduna,14 ,9 , 22,13 ,8 , 20,23 ,15 , 35,20 ,13 , 31,19 ,12 , 30,31 ,20 , 49,33 ,21 , 53,34 ,22 , 56,28 ,18 , 45,34 ,22 , 55
Kano,11 ,6 , 22,21 ,11 , 41,18 ,9 , 35,26 ,13 , 50,37 ,19 , 72,29 ,15 , 57,30 ,16 , 59,29 ,15 , 59,31 ,16 , 65,39 ,20 , 80
Katsina,0 ,0 , 0,0 ,0 , 0,17 ,7 , 43,29 ,13 , 76,38 ,16 , 99,40 ,17 , 100,48 ,19 , 100,32 ,12 , 85,36 ,13 , 96,42 ,15 , 100
Kebbi,7 ,4 , 12,8 ,4 , 13,40 ,24 , 73,10 ,6 , 18,12 ,7 , 22,15 ,9 , 27,20 ,12 , 35,23 ,13 , 39,16 ,9 , 29,19 ,10 , 33
Kogi,5 ,3 , 9,7 ,4 , 13,10 ,6 , 17,12 ,7 , 21,15 ,9 , 26,18 ,10 , 31,21 ,12 , 37,25 ,14 , 44,29 ,17 , 52,35 ,20 , 66
Kwara,0 ,0 , 0,0 ,0 , 0,17 ,10 , 29,21 ,12 , 37,25 ,15 , 45,29 ,17 , 52,32 ,19 , 58,35 ,20 , 63,38 ,22 , 67,48 ,26 , 83
Lagos,17 ,11 , 26,20 ,13 , 30,23 ,16 , 35,26 ,18 , 40,30 ,20 , 45,33 ,22 , 49,36 ,25 , 52,40 ,27 , 57,43 ,29 , 62,42 ,27 , 59
Nassarawa,32 ,23 , 45,33 ,24 , 46,35 ,24 , 47,38 ,27 , 51,41 ,29 , 55,43 ,31 , 58,47 ,34 , 64,51 ,37 , 69,57 ,41 , 77,62 ,43 , 86
Niger,0 ,0 , 0,0 ,0 , 0,3 ,2 , 5,6 ,3 , 9,9 ,5 , 13,12 ,7 , 19,15 ,9 , 24,19 ,11 , 31,23 ,13 , 37,28 ,16 , 45
Ogun,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,31 ,19 , 48,37 ,23 , 59,38 ,23 , 62,42 ,25 , 67
Ondo,0 ,0 , 0,0 ,0 , 0,21 ,11 , 34,13 ,7 , 20,15 ,8 , 24,18 ,9 , 29,20 ,11 , 33,23 ,13 , 38,26 ,14 , 43,25 ,14 , 42
Osun,8 ,5 , 16,10 ,5 , 18,11 ,6 , 20,13 ,7 , 24,15 ,8 , 27,17 ,9 , 29,18 ,10 , 31,19 ,11 , 32,21 ,12 , 35,23 ,14 , 39
Oyo,14 ,9 , 24,17 ,10 , 28,19 ,12 , 31,22 ,14 , 36,26 ,16 , 42,30 ,18 , 48,34 ,20 , 54,38 ,23 , 61,43 ,25 , 68,42 ,24 , 69
Plateau,7 ,5 , 9,11 ,8 , 15,72 ,53 , 98,48 ,36 , 64,46 ,34 , 62,36 ,26 , 48,36 ,26 , 48,33 ,25 , 45,32 ,24 , 43,30 ,22 , 40
Rivers,2 ,1 , 3,3 ,2 , 5,3 ,2 , 4,4 ,2 , 5,5 ,3 , 8,7 ,5 , 10,11 ,7 , 15,9 ,6 , 13,11 ,7 , 14,13 ,9 , 17
Sokoto,5 ,2 , 12,9 ,4 , 21,7 ,3 , 18,36 ,15 , 84,40 ,17 , 94,50 ,22 , 100,19 ,8 , 48,20 ,8 , 52,20 ,8 , 54,21 ,8 , 57
Taraba,10 ,8 , 14,18 ,14 , 24,16 ,12 , 21,23 ,17 , 31,31 ,23 , 42,34 ,25 , 46,47 ,34 , 64,48 ,36 , 66,42 ,31 , 57,33 ,24 , 45
Yobe,9 ,4 , 22,17 ,8 , 40,15 ,7 , 33,78 ,36 , 100,14 ,6 , 30,31 ,14 , 66,41 ,18 , 86,27 ,12 , 58,26 ,11 , 55,25 ,11 , 54
Zamfara,1 ,1 , 3,2 ,1 , 4,2 ,1 , 5,4 ,2 , 8,9 ,4 , 20,5 ,2 , 10,6 ,3 , 14,7 ,3 , 15,11 ,5 , 23,14 ,6 , 29
National,11 ,7,17,15 ,10,23,19 ,12,29,21 ,14,32,24 ,16,37,28 ,18,43,32 ,21,49,33 ,21,50,34 ,22,51,36 ,23,55
