States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Kebbi,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1000 ,<1000 , 1700,1000 ,<1000 , 1600,1000 ,<1000 , 1600,<1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500
Kogi,3600 ,2300 , 6100,3500 ,2200 , 5700,3400 ,2200 , 5300,3300 ,2200 , 5200,3300 ,2200 , 5200,3300 ,2100 , 5200,3200 ,2100 , 5200,3100 ,2000 , 4900,3000 ,1900 , 5000,2800 ,1800 , 4900
Kwara,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200
Lagos,4900 ,3300 , 7300,5000 ,3300 , 7000,5000 ,3300 , 7000,5000 ,3400 , 6900,5100 ,3500 , 6900,5100 ,3500 , 7000,5100 ,3400 , 6900,5000 ,3400 , 6900,5000 ,3400 , 7000,5000 ,3300 , 7000
Nassarawa,3000 ,2000 , 4100,2900 ,2000 , 4000,2900 ,2000 , 4000,2900 ,2000 , 4000,3000 ,2100 , 4000,3000 ,2000 , 3900,3000 ,2100 , 4000,3000 ,2100 , 3900,2900 ,2000 , 3900,2800 ,1900 , 3800
Niger,3400 ,2000 , 5400,3300 ,2000 , 4900,3200 ,2000 , 4800,3100 ,1900 , 4800,3200 ,2000 , 4800,3200 ,1900 , 4800,3100 ,1900 , 4600,3000 ,1800 , 4500,2900 ,1700 , 4500,2900 ,1700 , 4500
Ogun,1500 ,<1000 , 2300,1500 ,<1000 , 2300,1600 ,1000 , 2300,1600 ,1100 , 2300,1700 ,1100 , 2400,1700 ,1200 , 2500,1800 ,1200 , 2600,1800 ,1200 , 2600,1800 ,1200 , 2700,1900 ,1200 , 2900
Ondo,1600 ,<1000 , 2400,1600 ,<1000 , 2400,1500 ,<1000 , 2300,1500 ,<1000 , 2200,1400 ,<1000 , 2100,1400 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 1900,1200 ,<1000 , 1900
Osun,1000 ,<1000 , 1800,1000 ,<1000 , 1700,1000 ,<1000 , 1600,1000 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1800,1200 ,<1000 , 1800
Oyo,2100 ,1400 , 3200,2100 ,1400 , 3100,2000 ,1300 , 3000,2000 ,1300 , 2900,2000 ,1300 , 2900,2000 ,1300 , 2900,2000 ,1300 , 2900,2000 ,1300 , 2900,1900 ,1300 , 2800,1900 ,1300 , 2900
Plateau,2900 ,2100 , 3900,3000 ,2200 , 4000,3100 ,2300 , 4200,3300 ,2400 , 4400,3300 ,2400 , 4400,3200 ,2300 , 4300,3100 ,2300 , 4200,3000 ,2200 , 4200,3000 ,2100 , 4100,3000 ,2100 , 4100
Rivers,6500 ,3900 , 9400,6600 ,4000 , 9200,6800 ,4300 , 9600,7100 ,4400 , 10 000,7300 ,4700 , 9900,7600 ,5000 , 11 000,7900 ,5000 , 11 000,8100 ,5200 , 11 000,8300 ,5400 , 11 000,8500 ,5600 , 12 000
Sokoto,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 1900,1000 ,<500 , 2000,1000 ,<500 , 2100,1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2200,1000 ,<500 , 2200,1100 ,<1000 , 2300
Taraba,4600 ,3600 , 5900,4700 ,3600 , 5800,4800 ,3700 , 6000,4900 ,3700 , 6100,4900 ,3700 , 6100,4800 ,3500 , 6100,4600 ,3400 , 6000,4500 ,3200 , 5900,4400 ,3100 , 5800,4300 ,3000 , 5700
Yobe,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100
Zamfara,1200 ,<1000 , 2400,1100 ,<1000 , 2300,1100 ,<1000 , 2200,1000 ,<1000 , 2000,1000 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1000 ,<1000 , 2000,1000 ,<1000 , 2000
National,92 000 ,60 000,130 000,92 000 ,60 000,140 000,93 000 ,61 000,140 000,94 000 ,61 000,140 000,96 000 ,63 000,140 000,98 000 ,64 000,140 000,98 000 ,64 000,140 000,98 000 ,64 000,140 000,99 000 ,64 000,140 000,99 000 ,64 000,140 000
