States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,2000 ,1300 , 3000,2100 ,1300 , 3100,2000 ,1300 , 2900,1800 ,1200 , 2600,2300 ,1500 , 3300,3000 ,1900 , 4300,3800 ,2400 , 5500,4300 ,2700 , 6500,4500 ,2700 , 6900,4800 ,2900 , 7500
Cidade de Maputo,3900 ,2900 , 5200,4400 ,3300 , 5900,4900 ,3700 , 6500,5300 ,4000 , 7500,5400 ,4000 , 7200,5700 ,4400 , 7200,5800 ,4600 , 6900,5900 ,4500 , 7200,6000 ,4700 , 7300,6000 ,4500 , 7700
Gaza,4700 ,3600 , 6000,5300 ,4100 , 6800,5800 ,4500 , 7200,6800 ,5300 , 8300,7300 ,5600 , 9100,7300 ,5700 , 8900,7600 ,6100 , 9300,8000 ,6500 , 9700,8300 ,6600 , 10 000,8500 ,6600 , 11 000
Inhambane,1700 ,1100 , 2400,2000 ,1300 , 2900,2300 ,1400 , 3200,2200 ,1400 , 3100,2500 ,1600 , 3400,3200 ,2100 , 4500,3600 ,2500 , 5200,4000 ,2800 , 5600,4600 ,3200 , 6900,4900 ,3400 , 7500
Manica,2800 ,2100 , 3700,2800 ,2100 , 3600,2900 ,2200 , 3700,2900 ,2200 , 3700,3400 ,2500 , 4400,4800 ,3500 , 6200,5600 ,3900 , 7600,5900 ,4200 , 8000,6100 ,4500 , 8400,6400 ,4300 , 9200
Maputo,5500 ,4300 , 6800,6500 ,5000 , 8000,7200 ,5500 , 8800,6600 ,5200 , 8100,6100 ,4900 , 7300,7700 ,6200 , 9100,8300 ,6600 , 9900,9100 ,7400 , 11 000,9900 ,8100 , 12 000,11 000 ,8800 , 13 000
Nampula,2100 ,1400 , 3100,2300 ,1600 , 3400,2700 ,1800 , 3800,2700 ,1800 , 3800,3500 ,2400 , 5000,4300 ,2700 , 6200,5200 ,3400 , 7600,6200 ,3900 , 9200,7100 ,4400 , 10 000,7900 ,4900 , 12 000
Niassa,<1000 ,<1000 , 1400,1000 ,<1000 , 1500,1200 ,<1000 , 1800,1600 ,1000 , 2500,1900 ,1100 , 2900,1800 ,<1000 , 2800,1700 ,<1000 , 2600,1600 ,<1000 , 2500,1800 ,1000 , 2900,2100 ,1200 , 3400
Sofala,3800 ,2800 , 5000,4000 ,2900 , 5100,4200 ,3100 , 5400,4900 ,3500 , 6300,5600 ,4100 , 7100,6300 ,4600 , 8100,7200 ,5300 , 9400,7700 ,5500 , 10 000,7900 ,5500 , 10 000,8100 ,5400 , 11 000
Tete,2400 ,1700 , 3100,2500 ,1700 , 3300,2500 ,1800 , 3500,2300 ,1600 , 3100,2800 ,2100 , 3800,3700 ,2700 , 5100,4100 ,2800 , 6200,4300 ,2900 , 6500,4200 ,2800 , 6300,4100 ,2700 , 6200
Zambezia,4200 ,2900 , 5400,4700 ,3200 , 6000,4600 ,3300 , 6000,5400 ,3800 , 6800,7200 ,5100 , 9100,9600 ,6800 , 12 000,12 000 ,8100 , 16 000,13 000 ,9000 , 17 000,14 000 ,9500 , 19 000,15 000 ,10 000 , 22 000
National,34 000 ,24 000,47 000,38 000 ,26 000,52 000,40 000 ,28 000,56 000,42 000 ,30 000,59 000,48 000 ,33 000,67 000,57 000 ,40 000,80 000,65 000 ,45 000,90 000,69 000 ,48 000,96 000,74 000 ,51 000,100 000,79 000 ,55 000,110 000
