States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,44 ,36 , 55,52 ,43 , 64,61 ,50 , 75,64 ,52 , 78,73 ,59 , 89,71 ,58 , 86,71 ,58 , 87,80 ,65 , 98,78 ,63 , 96,94 ,75 , 100
Afar,12 ,9 , 15,14 ,10 , 18,16 ,13 , 21,17 ,13 , 22,20 ,16 , 26,24 ,19 , 31,30 ,24 , 39,33 ,25 , 42,35 ,26 , 44,38 ,28 , 48
Amhara,36 ,28 , 46,42 ,33 , 52,48 ,38 , 60,50 ,39 , 62,55 ,44 , 69,57 ,45 , 70,61 ,47 , 74,62 ,48 , 76,64 ,50 , 79,72 ,56 , 88
Beneshangul Gumuz,25 ,18 , 33,28 ,21 , 38,32 ,24 , 43,33 ,25 , 44,37 ,28 , 49,38 ,29 , 50,62 ,48 , 81,64 ,49 , 84,66 ,49 , 86,67 ,49 , 88
Dire Dawa,25 ,19 , 31,29 ,23 , 36,34 ,26 , 42,35 ,28 , 43,40 ,31 , 49,41 ,32 , 51,50 ,39 , 62,48 ,37 , 61,49 ,39 , 64,58 ,46 , 76
Gambella,7 ,5 , 9,8 ,6 , 11,10 ,7 , 12,10 ,8 , 13,12 ,9 , 15,13 ,10 , 17,78 ,60 , 100,44 ,33 , 57,44 ,34 , 59,48 ,36 , 64
Harari,54 ,44 , 65,62 ,50 , 73,70 ,56 , 83,71 ,56 , 85,79 ,62 , 94,72 ,56 , 88,58 ,45 , 72,87 ,67 , 100,90 ,68 , 100,84 ,63 , 100
Oromiya,41 ,31 , 56,47 ,36 , 63,54 ,41 , 71,56 ,42 , 74,62 ,47 , 82,66 ,50 , 87,81 ,61 , 100,79 ,60 , 100,81 ,62 , 100,88 ,67 , 100
SNNPR,29 ,22 , 38,34 ,26 , 44,39 ,30 , 50,40 ,31 , 52,45 ,35 , 58,47 ,36 , 60,55 ,43 , 70,52 ,40 , 65,54 ,42 , 68,65 ,51 , 82
Somali,17 ,11 , 25,20 ,13 , 30,24 ,16 , 35,25 ,17 , 37,29 ,20 , 43,28 ,19 , 41,36 ,24 , 53,31 ,21 , 46,33 ,22 , 49,36 ,25 , 54
Tigray,43 ,34 , 56,49 ,39 , 64,56 ,45 , 73,58 ,46 , 74,64 ,51 , 83,60 ,47 , 77,62 ,48 , 79,71 ,55 , 91,73 ,57 , 95,73 ,57 , 96
National,37 ,29,47,43 ,33,54,49 ,38,63,51 ,40,65,58 ,45,73,59 ,45,74,66 ,51,83,67 ,52,85,69 ,53,87,77 ,60,97
