States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,6300 ,5100 , 7100,6700 ,5400 , 7600,7000 ,5600 , 7900,7200 ,5800 , 8100,7400 ,5800 , 8300,7500 ,5900 , 8500,7600 ,6000 , 8500,7700 ,6200 , 8700,7700 ,6200 , 8600,7700 ,6200 , 8600
Copperbelt,11 000 ,9400 , 12 000,11 000 ,9200 , 12 000,11 000 ,9200 , 12 000,11 000 ,9200 , 12 000,11 000 ,8900 , 12 000,11 000 ,9300 , 12 000,11 000 ,9400 , 12 000,11 000 ,9600 , 13 000,12 000 ,9700 , 13 000,12 000 ,9800 , 13 000
Eastern,4500 ,3500 , 5200,4600 ,3500 , 5300,4600 ,3500 , 5200,4600 ,3600 , 5300,4600 ,3500 , 5200,4500 ,3400 , 5100,4400 ,3400 , 5000,4400 ,3400 , 4900,4300 ,3300 , 4800,4100 ,3200 , 4600
Luapula,3300 ,2800 , 3600,3300 ,2800 , 3800,3400 ,2800 , 3800,3400 ,2800 , 3900,3400 ,2700 , 3800,3400 ,2700 , 3800,3400 ,2700 , 3800,3400 ,2800 , 3800,3400 ,2700 , 3800,3300 ,2700 , 3700
Lusaka,13 000 ,11 000 , 14 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 14 000,13 000 ,10 000 , 14 000,13 000 ,11 000 , 14 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000
Muchinga,1700 ,1400 , 1900,1600 ,1400 , 1800,1600 ,1300 , 1800,1600 ,1400 , 1800,1600 ,1300 , 1800,1600 ,1300 , 1800,1600 ,1300 , 1800,1600 ,1300 , 1800,1600 ,1300 , 1800,1600 ,1200 , 1700
North-Western,1300 ,1100 , 1600,1400 ,1100 , 1600,1400 ,1200 , 1700,1500 ,1200 , 1700,1500 ,1200 , 1800,1500 ,1200 , 1800,1500 ,1200 , 1800,1500 ,1200 , 1800,1500 ,1200 , 1800,1500 ,1200 , 1800
Northern,2100 ,1700 , 2300,2200 ,1800 , 2400,2200 ,1800 , 2500,2300 ,1800 , 2500,2300 ,1800 , 2500,2200 ,1700 , 2500,2200 ,1800 , 2500,2200 ,1700 , 2500,2200 ,1700 , 2500,2200 ,1700 , 2400
Southern,6200 ,5400 , 7200,6500 ,5500 , 7400,6700 ,5600 , 7600,6800 ,5700 , 7700,6900 ,5600 , 7800,6800 ,5600 , 7900,6800 ,5600 , 7800,6700 ,5500 , 7800,6700 ,5400 , 7900,6600 ,5400 , 8000
Western,3800 ,3200 , 4400,3900 ,3200 , 4500,4100 ,3300 , 4600,4100 ,3400 , 4800,4200 ,3500 , 4900,4300 ,3500 , 4900,4300 ,3500 , 4900,4300 ,3600 , 4900,4300 ,3500 , 5000,4300 ,3400 , 5000
National,53 000 ,43 000,60 000,54 000 ,44 000,61 000,55 000 ,44 000,62 000,55 000 ,45 000,62 000,56 000 ,45 000,62 000,56 000 ,45 000,63 000,56 000 ,45 000,63 000,57 000 ,46 000,63 000,57 000 ,46 000,63 000,56 000 ,45 000,63 000
