States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,87 ,76 , 100,90 ,78 , 100,91 ,79 , 100,92 ,80 , 100,93 ,80 , 100
Coast,90 ,79 , 100,91 ,79 , 100,91 ,80 , 100,92 ,80 , 100,93 ,81 , 100
Eastern,88 ,78 , 100,90 ,78 , 100,90 ,78 , 100,91 ,79 , 100,92 ,79 , 100
Nairobi,91 ,77 , 100,96 ,81 , 100,95 ,79 , 100,94 ,79 , 100,94 ,79 , 100
North Eastern,74 ,50 , 100,75 ,51 , 100,77 ,53 , 100,78 ,54 , 100,79 ,55 , 100
Nyanza,93 ,85 , 100,95 ,85 , 100,97 ,87 , 100,97 ,87 , 100,96 ,86 , 100
Rift Valley,89 ,80 , 100,91 ,82 , 100,92 ,82 , 100,91 ,81 , 100,91 ,81 , 100
Western,91 ,80 , 100,95 ,84 , 100,96 ,85 , 100,97 ,85 , 100,97 ,85 , 100
National,91 ,79,100,93 ,81,100,94 ,82,100,94 ,83,100,94 ,82,100
