States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,9 ,7 , 12,10 ,8 , 13,10 ,8 , 13,16 ,12 , 21,22 ,16 , 28,28 ,21 , 37,32 ,23 , 43,33 ,24 , 44,37 ,27 , 50,44 ,31 , 60
Cidade de Maputo,48 ,42 , 54,56 ,49 , 62,54 ,47 , 59,79 ,69 , 88,72 ,62 , 80,88 ,76 , 98,99 ,86 , 100,97 ,83 , 100,100 ,90 , 100,100 ,95 , 100
Gaza,16 ,14 , 18,20 ,18 , 22,30 ,27 , 34,27 ,24 , 30,39 ,35 , 44,47 ,41 , 53,58 ,50 , 66,66 ,56 , 75,74 ,62 , 84,78 ,66 , 90
Inhambane,15 ,13 , 18,18 ,15 , 22,10 ,9 , 12,29 ,24 , 35,33 ,28 , 40,40 ,33 , 49,53 ,43 , 66,56 ,45 , 70,63 ,50 , 80,67 ,53 , 87
Manica,12 ,10 , 15,14 ,12 , 18,17 ,14 , 20,21 ,18 , 25,38 ,32 , 46,43 ,36 , 53,50 ,42 , 62,64 ,53 , 78,62 ,51 , 77,69 ,56 , 87
Maputo,11 ,10 , 12,13 ,12 , 15,10 ,9 , 11,16 ,14 , 17,23 ,20 , 25,24 ,20 , 26,29 ,26 , 33,35 ,30 , 39,40 ,35 , 45,46 ,39 , 52
Nampula,9 ,7 , 12,11 ,9 , 14,12 ,9 , 14,20 ,16 , 25,23 ,18 , 28,30 ,25 , 37,35 ,28 , 43,40 ,32 , 51,44 ,35 , 56,44 ,34 , 57
Niassa,11 ,8 , 14,14 ,10 , 18,24 ,18 , 31,24 ,18 , 32,22 ,16 , 29,23 ,17 , 31,28 ,20 , 38,35 ,26 , 49,44 ,31 , 62,45 ,31 , 64
Sofala,14 ,12 , 16,16 ,14 , 19,21 ,18 , 25,26 ,22 , 30,33 ,28 , 38,43 ,36 , 50,46 ,38 , 54,51 ,42 , 61,54 ,44 , 64,51 ,42 , 62
Tete,16 ,13 , 20,19 ,15 , 23,14 ,11 , 17,33 ,27 , 40,36 ,30 , 45,46 ,38 , 57,54 ,44 , 67,62 ,50 , 77,66 ,53 , 84,72 ,57 , 93
Zambezia,7 ,6 , 8,8 ,7 , 9,11 ,10 , 14,18 ,15 , 21,26 ,22 , 31,30 ,25 , 37,37 ,31 , 46,45 ,38 , 57,55 ,45 , 70,60 ,49 , 78
National,14 ,11,17,16 ,13,20,18 ,14,22,25 ,20,31,31 ,25,39,37 ,30,46,44 ,36,55,50 ,40,62,56 ,45,69,60 ,48,74
