States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,88 ,70 , 100,89 ,71 , 100,91 ,72 , 100,92 ,72 , 100,95 ,74 , 100
Afar,63 ,48 , 80,66 ,50 , 84,69 ,51 , 86,70 ,52 , 87,71 ,53 , 88
Amhara,70 ,55 , 86,74 ,58 , 90,76 ,60 , 94,78 ,62 , 97,81 ,63 , 100
Beneshangul Gumuz,69 ,52 , 89,72 ,55 , 93,75 ,56 , 97,77 ,57 , 100,79 ,57 , 100
Dire Dawa,83 ,67 , 100,85 ,68 , 100,87 ,69 , 100,87 ,69 , 100,87 ,69 , 100
Gambella,66 ,51 , 84,70 ,54 , 89,73 ,57 , 94,75 ,58 , 97,77 ,59 , 99
Harari,100 ,80 , 100,98 ,78 , 100,98 ,77 , 100,98 ,76 , 100,97 ,75 , 100
Oromiya,68 ,51 , 90,72 ,55 , 96,76 ,58 , 100,79 ,60 , 100,81 ,62 , 100
SNNPR,63 ,49 , 79,67 ,52 , 84,70 ,54 , 88,73 ,57 , 92,76 ,59 , 96
Somali,45 ,30 , 67,49 ,33 , 74,53 ,36 , 79,54 ,37 , 82,55 ,37 , 85
Tigray,82 ,65 , 100,84 ,66 , 100,86 ,67 , 100,87 ,67 , 100,89 ,68 , 100
National,73 ,56,93,76 ,59,97,79 ,61,100,81 ,62,100,83 ,64,100
