States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,25 ,17 , 32,35 ,24 , 45,44 ,30 , 57,54 ,36 , 71,74 ,48 , 100,63 ,40 , 88,71 ,45 , 100,78 ,49 , 100,66 ,41 , 98,74 ,46 , 100
Afar,2 ,2 , 3,3 ,2 , 4,4 ,3 , 5,4 ,3 , 5,5 ,4 , 7,6 ,4 , 9,8 ,5 , 11,6 ,4 , 9,9 ,6 , 13,12 ,8 , 16
Amhara,15 ,11 , 20,19 ,14 , 26,23 ,17 , 32,27 ,19 , 37,35 ,25 , 50,38 ,27 , 54,38 ,26 , 54,40 ,27 , 57,45 ,30 , 65,46 ,30 , 67
Beneshangul Gumuz,9 ,6 , 13,11 ,8 , 16,13 ,9 , 19,15 ,10 , 22,20 ,13 , 29,18 ,12 , 27,31 ,20 , 47,27 ,17 , 41,30 ,18 , 45,34 ,20 , 52
Dire Dawa,19 ,14 , 26,25 ,19 , 35,30 ,23 , 41,35 ,27 , 48,46 ,35 , 64,54 ,41 , 75,48 ,36 , 67,49 ,36 , 68,54 ,39 , 76,46 ,31 , 65
Gambella,2 ,2 , 3,3 ,2 , 4,4 ,3 , 5,4 ,3 , 5,5 ,4 , 7,7 ,5 , 9,29 ,19 , 38,34 ,22 , 46,42 ,27 , 58,44 ,28 , 63
Harari,47 ,37 , 64,59 ,47 , 77,67 ,53 , 84,74 ,58 , 93,94 ,70 , 100,84 ,62 , 100,69 ,50 , 87,84 ,59 , 100,92 ,64 , 100,95 ,63 , 100
Oromiya,13 ,10 , 19,18 ,12 , 26,21 ,15 , 30,24 ,16 , 35,32 ,21 , 47,27 ,18 , 39,36 ,24 , 53,39 ,25 , 58,44 ,27 , 66,48 ,29 , 75
SNNPR,9 ,6 , 12,11 ,8 , 15,14 ,9 , 19,16 ,11 , 22,21 ,14 , 29,25 ,16 , 34,36 ,23 , 50,43 ,28 , 61,47 ,30 , 66,43 ,27 , 59
Somali,4 ,2 , 6,5 ,3 , 7,5 ,3 , 8,6 ,4 , 9,7 ,5 , 12,11 ,7 , 18,12 ,7 , 19,5 ,3 , 8,5 ,3 , 8,7 ,4 , 12
Tigray,19 ,14 , 27,25 ,19 , 36,30 ,23 , 43,34 ,26 , 50,38 ,28 , 54,41 ,31 , 59,44 ,32 , 64,47 ,33 , 69,46 ,33 , 69,57 ,39 , 88
National,15 ,9,22,19 ,12,29,23 ,15,35,27 ,17,40,35 ,22,52,34 ,21,50,40 ,25,59,43 ,27,64,45 ,29,68,48 ,30,72
