States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,... ,... , ...,... ,... , ...
Adamawa,55 ,41 , 76,61 ,45 , 84
Akwa Ibom,12 ,10 , 14,27 ,22 , 32
Anambra,24 ,19 , 33,26 ,20 , 35
Bauchi,55 ,32 , 92,59 ,35 , 100
Bayelsa,16 ,12 , 20,17 ,13 , 22
Benue,50 ,39 , 60,51 ,40 , 64
Borno,17 ,10 , 30,22 ,13 , 38
Cross River,45 ,35 , 55,70 ,54 , 90
Delta,23 ,18 , 31,27 ,21 , 36
Ebonyi,28 ,22 , 36,26 ,20 , 35
Edo,31 ,25 , 39,34 ,27 , 42
Ekiti,18 ,13 , 26,17 ,12 , 25
Enugu,24 ,18 , 31,33 ,24 , 42
FCT Abuja,92 ,63 , 100,82 ,56 , 100
Gombe,83 ,59 , 100,90 ,64 , 100
Imo,22 ,16 , 28,32 ,23 , 41
Jigawa,48 ,29 , 80,50 ,30 , 84
Kaduna,56 ,39 , 79,55 ,38 , 77
Kano,51 ,33 , 79,51 ,33 , 78
Katsina,30 ,15 , 59,27 ,14 , 53
Kebbi,9 ,6 , 14,22 ,15 , 35
Kogi,35 ,25 , 52,37 ,26 , 56
Kwara,24 ,16 , 33,32 ,21 , 44
Lagos,45 ,35 , 58,48 ,38 , 63
Nassarawa,54 ,42 , 71,47 ,36 , 62
Niger,43 ,28 , 61,58 ,39 , 83
Ogun,27 ,19 , 38,30 ,20 , 42
Ondo,19 ,13 , 27,26 ,18 , 37
Osun,14 ,10 , 21,13 ,9 , 19
Oyo,27 ,20 , 38,27 ,19 , 38
Plateau,100 ,100 , 100,100 ,100 , 100
Rivers,17 ,14 , 22,20 ,16 , 26
Sokoto,41 ,19 , 77,63 ,30 , 100
Taraba,... ,... , ...,... ,... , ...
Yobe,55 ,27 , 97,93 ,46 , 100
Zamfara,18 ,9 , 32,... ,... , ...
National,35 ,26,47,... ,...,...
