States,2019,2019_lower, 2019_upper
Nkasi DC,5000 ,3700 , 6800
Nsimbo DC,1400 ,<1000 , 2100
Nyamagana MC,11 000 ,6800 , 15 000
Nyang'hwale DC,6200 ,4700 , 7800
Nyasa DC,3300 ,2500 , 4400
Nzega DC,5200 ,3700 , 7000
Nzega TC,3800 ,2200 , 5900
Pangani DC,3400 ,3000 , 3900
Rombo DC,5500 ,4500 , 6600
Rorya DC,5200 ,2700 , 8900
Ruangwa DC,4300 ,2300 , 6800
Rufiji DC,7700 ,3500 , 14 000
Rungwe DC,10 000 ,6700 , 16 000
Same DC,3500 ,1600 , 6700
Sengerema DC,1600 ,<1000 , 3100
Serengeti DC,2500 ,1800 , 3600
Shinyanga DC,3900 ,2900 , 5200
Shinyanga MC,4900 ,3600 , 6900
Siha DC,6200 ,2900 , 11 000
Sikonge DC,2300 ,1400 , 4000
Simanjiro DC,3600 ,2600 , 5200
Singida DC,4100 ,2500 , 6200
Singida MC,6300 ,4700 , 8300
Songea DC,3500 ,2900 , 4300
Songea MC,7600 ,6000 , 9300
Songwe DC,4000 ,2800 , 5800
Sumbawanga DC,3900 ,3100 , 4900
Sumbawanga MC,3900 ,2600 , 5900
Tabora MC,4600 ,3200 , 6700
Tandahimba DC,3000 ,1600 , 6500
Tanga CC,8400 ,5400 , 12 000
Tarime DC,<1000 ,<500 , 2000
Tarime TC,<1000 ,<500 , <1000
Temeke MC,16 000 ,10 000 , 25 000
Tunduma TC,1800 ,<1000 , 3900
Tunduru DC,3800 ,2600 , 5700
Ubungo MC,15 000 ,8100 , 25 000
Ukerewe DC,3400 ,1300 , 7600
Ulanga DC,5600 ,3300 , 9100
Urambo DC,7200 ,5700 , 9100
Ushetu DC,10 000 ,8800 , 12 000
Uvinza DC,3900 ,2000 , 7100
Uyui DC,4400 ,2700 , 6700
Wanging'ombe DC,9900 ,8500 , 12 000
Wete,<1000 ,<1000 , 1200
National,1 000 000 ,940 000,1 100 000
