States,2019,2019_lower, 2019_upper
Ruangwa DC,<500 ,<100 , <1000
Rufiji DC,<200 ,<100 , <1000
Rungwe DC,<1000 ,<500 , 1700
Same DC,<200 ,<100 , <500
Sengerema DC,<100 ,<100 , <200
Serengeti DC,<100 ,<100 , <200
Shinyanga DC,<100 ,<100 , <100
Shinyanga MC,<200 ,<100 , <500
Siha DC,<200 ,<100 , <500
Sikonge DC,<100 ,<100 , <500
Simanjiro DC,<100 ,<100 , <100
Singida DC,<200 ,<100 , <500
Singida MC,<500 ,<100 , <500
Songea DC,<100 ,<100 , <200
Songea MC,<500 ,<200 , <500
Songwe DC,<100 ,<100 , <500
Sumbawanga DC,<200 ,<100 , <200
Sumbawanga MC,<100 ,<100 , <500
Tabora MC,<200 ,<100 , <500
Tandahimba DC,<100 ,<100 , <500
Tanga CC,<500 ,<200 , <1000
Tarime DC,<100 ,<100 , <100
Tarime TC,<100 ,<100 , <100
Temeke MC,<500 ,<100 , <1000
Tunduma TC,<100 ,<100 , <200
Tunduru DC,<200 ,<100 , <500
Ubungo MC,<200 ,<100 , <500
Ukerewe DC,<100 ,<100 , <500
Ulanga DC,<200 ,<100 , <500
Urambo DC,<100 ,<100 , <200
Ushetu DC,<500 ,<200 , <1000
Uvinza DC,<100 ,<100 , <500
Uyui DC,<100 ,<100 , <200
Wanging'ombe DC,<500 ,<200 , <500
Wete,<100 ,<100 , <100
National,33 000 ,28 000,38 000
