States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Harare,<1000 ,<1000 , 1300,1000 ,<1000 , 1400,1300 ,<1000 , 2100,1100 ,<1000 , 1600,1000 ,<1000 , 1400,1000 ,<500 , 1500,<1000 ,<500 , 1500,1000 ,<1000 , 1600,1100 ,<1000 , 1900,1200 ,<1000 , 2100
Manicaland,<1000 ,<500 , <1000,<1000 ,<500 , <1000,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1200 ,<1000 , 2000,1200 ,<1000 , 1900,1200 ,<1000 , 2000,1200 ,<1000 , 2100,1200 ,<1000 , 2300
Mashonaland Central,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1200,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100
Mashonaland East,<1000 ,<1000 , <1000,1000 ,<1000 , 1300,1400 ,<1000 , 1800,1400 ,<1000 , 1900,1500 ,<1000 , 2000,1500 ,<1000 , 2100,1600 ,<1000 , 2200,1600 ,<1000 , 2300,1500 ,<1000 , 2100,1700 ,<1000 , 2600
Mashonaland West,<1000 ,<500 , <1000,1100 ,<1000 , 1500,1600 ,1300 , 2600,1600 ,1300 , 2700,1600 ,1200 , 2600,1600 ,1300 , 2700,1500 ,1200 , 2300,1500 ,1200 , 1800,1300 ,<1000 , 2300,1700 ,1300 , 2600
Masvingo,<1000 ,<500 , <1000,<1000 ,<500 , <1000,1200 ,1000 , 1900,1300 ,1100 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 2100,1300 ,<1000 , 2000,1200 ,<1000 , 2100,1200 ,<1000 , 2100,1100 ,<1000 , 1800
Matabeleland North,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1000 ,<1000 , 1500,<1000 ,<500 , 1200,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,1100 ,<1000 , 1900,<1000 ,<1000 , 1600
Matabeleland South,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500
Midlands,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,1300 ,1100 , 1800,1300 ,1100 , 1900,1400 ,1100 , 2000,1300 ,<1000 , 1800,1500 ,1100 , 2300,1400 ,<1000 , 2000,1600 ,1200 , 2500,1600 ,1000 , 2500
National,5600 ,29 000,29 000,7800 ,41 000,41 000,11 000 ,100 000,100 000,11 000 ,92 000,92 000,11 000 ,120 000,120 000,11 000 ,120 000,120 000,11 000 ,120 000,120 000,11 000 ,110 000,110 000,11 000 ,110 000,110 000,11 000 ,110 000,110 000
