States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,9 ,7 , 12,10 ,8 , 13,9 ,7 , 12,13 ,10 , 17,17 ,12 , 22,21 ,15 , 27,23 ,16 , 30,26 ,19 , 35,32 ,22 , 43,35 ,24 , 48
Cidade de Maputo,49 ,43 , 57,57 ,49 , 65,51 ,44 , 58,73 ,63 , 84,80 ,68 , 91,84 ,72 , 97,89 ,76 , 100,87 ,74 , 100,96 ,81 , 100,94 ,80 , 100
Gaza,12 ,11 , 14,15 ,13 , 17,23 ,20 , 26,20 ,17 , 23,24 ,20 , 27,29 ,24 , 33,37 ,31 , 43,44 ,36 , 51,50 ,41 , 58,52 ,43 , 62
Inhambane,12 ,10 , 14,14 ,11 , 16,7 ,6 , 9,18 ,15 , 22,16 ,13 , 20,22 ,18 , 28,30 ,24 , 37,43 ,34 , 55,34 ,26 , 44,37 ,28 , 49
Manica,12 ,10 , 15,14 ,12 , 17,16 ,13 , 19,21 ,17 , 25,30 ,24 , 37,36 ,29 , 44,41 ,33 , 50,53 ,42 , 65,50 ,40 , 63,58 ,45 , 72
Maputo,10 ,9 , 11,12 ,11 , 14,8 ,7 , 9,12 ,10 , 13,17 ,14 , 19,19 ,17 , 22,24 ,20 , 27,28 ,24 , 32,33 ,28 , 39,39 ,32 , 45
Nampula,9 ,7 , 11,11 ,8 , 13,10 ,8 , 13,18 ,14 , 22,16 ,13 , 20,21 ,17 , 27,26 ,20 , 32,31 ,24 , 39,35 ,27 , 44,33 ,26 , 43
Niassa,12 ,9 , 16,15 ,11 , 20,24 ,18 , 32,21 ,16 , 28,16 ,12 , 21,17 ,12 , 23,19 ,14 , 26,26 ,19 , 36,35 ,24 , 48,36 ,25 , 52
Sofala,13 ,10 , 15,15 ,12 , 18,18 ,15 , 22,23 ,19 , 28,25 ,21 , 29,32 ,26 , 37,32 ,27 , 38,38 ,31 , 46,40 ,32 , 48,39 ,31 , 47
Tete,18 ,15 , 22,21 ,17 , 26,14 ,11 , 17,46 ,38 , 56,34 ,27 , 41,42 ,34 , 52,48 ,38 , 59,54 ,43 , 67,58 ,46 , 73,64 ,51 , 82
Zambezia,7 ,6 , 8,8 ,6 , 9,10 ,9 , 13,14 ,12 , 18,18 ,16 , 23,22 ,19 , 28,28 ,23 , 35,35 ,28 , 44,43 ,35 , 56,50 ,39 , 65
National,13 ,10,16,15 ,12,19,15 ,12,19,21 ,17,27,24 ,19,30,28 ,22,36,33 ,26,42,39 ,31,49,43 ,34,55,46 ,36,58
