States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,12 832,15 055,19 328,19 043,24 430,31 089,35 360,41 444,42 572,50 150
Copperbelt,33 143,36 721,40 017,44 799,51 956,58 546,60 639,63 246,65 635,72 129
Eastern,9656,14 950,15 524,19 646,23 187,24 839,25 101,25 594,29 381,32 613
Luapula,4984,5764,6566,8627,8928,10 545,12 583,12 531,15 994,18 007
Lusaka,36 970,40 891,60 996,65 589,63 305,78 223,82 149,80 266,91 397,99 898
Muchinga,2474,3520,3809,5618,5682,7157,5332,4036,8042,9272
North-Western,3066,3550,3719,5132,5080,6507,7247,8174,9101,8587
Northern,4135,7905,5801,8070,9035,11 809,12 399,11 105,14 601,14 564
Southern,12 388,19 307,22 550,26 942,30 563,27 704,29 396,33 598,40 898,44 425
Western,7697,8309,9391,12 077,14 367,15 686,15 751,19 900,21 932,24 896
National,127 345,155 972,187 701,215 543,236 533,272 105,285 957,299 894,339 553,374 541
