States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,32 424,35 199,46 019,45 814,59 479,77 640,85 582,100 831,108 703,124 379
Copperbelt,76 924,87 497,98 358,110 301,131 972,148 585,157 348,166 367,173 286,196 140
Eastern,27 409,37 585,38 809,50 287,59 042,65 337,65 908,72 014,81 121,89 508
Luapula,12 801,14 805,16 836,22 158,23 268,28 068,33 463,34 151,44 206,48 032
Lusaka,94 571,108 946,127 076,140 332,164 115,203 542,213 189,217 131,250 112,269 207
Muchinga,6520,8819,9929,12 778,15 005,19 048,14 574,15 458,21 751,25 875
North-Western,8096,10 089,10 783,14 850,14 936,18 596,21 162,22 144,24 590,26 275
Northern,10 603,19 987,14 503,20 369,22 723,28 080,29 541,28 673,35 334,40 098
Southern,36 776,51 470,59 791,69 943,79 599,72 857,79 650,93 354,111 156,121 879
Western,18 772,21 106,24 079,33 795,39 341,44 990,46 472,55 941,64 749,72 646
National,324 896,395 503,446 183,520 627,609 480,706 743,746 889,806 064,915 008,1 014 039
