States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,13 ,9 , 19,15 ,10 , 21,16 ,12 , 22,17 ,13 , 22,31 ,25 , 40,32 ,25 , 39,33 ,27 , 40,34 ,27 , 41,35 ,28 , 43,32 ,25 , 40
Adamawa,42 ,32 , 59,49 ,37 , 68,52 ,39 , 73,53 ,40 , 74,57 ,43 , 79,67 ,51 , 93,76 ,56 , 100,86 ,63 , 100,94 ,69 , 100,100 ,73 , 100
Akwa Ibom,24 ,19 , 30,28 ,22 , 34,29 ,23 , 35,13 ,11 , 16,16 ,13 , 20,22 ,19 , 27,29 ,25 , 35,24 ,20 , 28,25 ,20 , 29,42 ,35 , 49
Anambra,10 ,7 , 14,10 ,8 , 14,12 ,9 , 16,25 ,19 , 32,35 ,28 , 47,35 ,27 , 46,37 ,29 , 49,38 ,30 , 50,38 ,30 , 51,39 ,30 , 53
Bauchi,33 ,19 , 56,39 ,23 , 66,44 ,26 , 73,62 ,36 , 100,60 ,35 , 99,67 ,39 , 100,68 ,39 , 100,78 ,45 , 100,91 ,52 , 100,93 ,53 , 100
Bayelsa,10 ,7 , 14,11 ,8 , 16,13 ,9 , 17,15 ,11 , 19,15 ,12 , 19,20 ,16 , 26,22 ,17 , 27,26 ,20 , 32,28 ,22 , 34,28 ,22 , 35
Benue,69 ,55 , 88,76 ,60 , 94,81 ,66 , 99,80 ,65 , 97,84 ,69 , 100,88 ,71 , 100,89 ,71 , 100,90 ,72 , 100,91 ,72 , 100,100 ,86 , 100
Borno,23 ,13 , 43,26 ,15 , 49,28 ,17 , 52,56 ,33 , 99,28 ,16 , 50,24 ,14 , 43,27 ,16 , 49,30 ,17 , 55,30 ,17 , 55,32 ,18 , 58
Cross River,22 ,17 , 29,24 ,20 , 32,26 ,21 , 34,53 ,44 , 68,49 ,40 , 63,63 ,50 , 81,62 ,48 , 79,66 ,51 , 84,72 ,56 , 93,95 ,73 , 100
Delta,11 ,8 , 16,13 ,10 , 19,15 ,11 , 20,30 ,23 , 41,36 ,28 , 49,40 ,32 , 54,42 ,33 , 55,44 ,34 , 57,45 ,35 , 58,48 ,37 , 63
Ebonyi,10 ,8 , 14,13 ,10 , 18,20 ,15 , 28,47 ,35 , 63,47 ,36 , 63,42 ,33 , 56,50 ,39 , 65,61 ,48 , 80,58 ,45 , 76,56 ,43 , 72
Edo,36 ,26 , 51,40 ,28 , 55,42 ,31 , 59,45 ,33 , 62,48 ,35 , 64,50 ,37 , 66,52 ,39 , 69,54 ,41 , 71,56 ,43 , 73,61 ,47 , 78
Ekiti,14 ,10 , 24,16 ,11 , 25,19 ,13 , 30,24 ,17 , 38,27 ,19 , 41,31 ,22 , 46,32 ,23 , 48,33 ,24 , 49,32 ,23 , 48,35 ,25 , 52
Enugu,0 ,0 , 0,0 ,0 , 0,33 ,25 , 43,29 ,23 , 38,47 ,37 , 60,47 ,37 , 60,48 ,37 , 61,46 ,35 , 58,46 ,35 , 57,49 ,36 , 63
FCT Abuja,84 ,58 , 100,91 ,63 , 100,95 ,65 , 100,100 ,88 , 100,100 ,90 , 100,100 ,92 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,86 , 100
Gombe,3 ,2 , 4,3 ,2 , 5,4 ,3 , 5,96 ,67 , 100,100 ,80 , 100,100 ,98 , 100,100 ,100 , 100,100 ,99 , 100,100 ,99 , 100,100 ,100 , 100
Imo,8 ,6 , 11,9 ,7 , 12,9 ,7 , 13,29 ,23 , 39,42 ,32 , 54,40 ,31 , 52,39 ,30 , 50,39 ,29 , 51,37 ,27 , 47,51 ,35 , 64
Jigawa,23 ,14 , 42,28 ,17 , 49,30 ,18 , 51,44 ,26 , 73,49 ,29 , 82,49 ,29 , 81,57 ,33 , 94,68 ,39 , 100,73 ,42 , 100,77 ,44 , 100
Kaduna,66 ,49 , 95,77 ,57 , 100,91 ,68 , 100,81 ,61 , 100,82 ,61 , 100,89 ,65 , 100,93 ,67 , 100,100 ,73 , 100,89 ,63 , 100,100 ,79 , 100
Kano,27 ,17 , 46,32 ,20 , 53,34 ,22 , 57,49 ,32 , 80,56 ,36 , 91,57 ,36 , 93,63 ,40 , 100,69 ,44 , 100,72 ,46 , 100,74 ,47 , 100
Katsina,30 ,15 , 65,34 ,18 , 73,39 ,20 , 82,54 ,27 , 100,63 ,32 , 100,72 ,36 , 100,78 ,39 , 100,61 ,31 , 100,58 ,29 , 100,61 ,31 , 100
Kebbi,39 ,26 , 64,46 ,30 , 74,53 ,35 , 86,29 ,19 , 47,35 ,22 , 56,41 ,26 , 65,47 ,29 , 74,53 ,33 , 84,37 ,23 , 59,43 ,27 , 69
Kogi,16 ,11 , 25,18 ,13 , 29,25 ,18 , 39,31 ,22 , 48,38 ,27 , 57,44 ,32 , 65,50 ,36 , 75,57 ,40 , 86,64 ,45 , 98,72 ,51 , 100
Kwara,31 ,20 , 49,34 ,22 , 54,39 ,24 , 62,42 ,26 , 63,44 ,28 , 66,46 ,29 , 68,47 ,30 , 69,49 ,31 , 70,47 ,30 , 66,60 ,38 , 86
Lagos,24 ,19 , 33,28 ,22 , 38,39 ,32 , 52,43 ,34 , 57,45 ,36 , 59,44 ,35 , 58,52 ,42 , 68,59 ,47 , 77,67 ,53 , 87,75 ,59 , 97
Nassarawa,13 ,10 , 18,15 ,12 , 20,17 ,13 , 22,31 ,24 , 41,32 ,25 , 41,45 ,34 , 57,83 ,63 , 100,93 ,70 , 100,93 ,71 , 100,93 ,70 , 100
Niger,0 ,0 , 0,0 ,0 , 0,1 ,0 , 1,73 ,49 , 100,76 ,50 , 100,79 ,52 , 100,81 ,53 , 100,83 ,54 , 100,85 ,56 , 100,87 ,57 , 100
Ogun,16 ,11 , 24,18 ,13 , 26,23 ,17 , 33,27 ,20 , 38,35 ,25 , 48,39 ,28 , 54,44 ,31 , 61,53 ,36 , 73,51 ,35 , 72,57 ,39 , 82
Ondo,16 ,11 , 26,18 ,12 , 29,23 ,16 , 35,23 ,17 , 36,26 ,18 , 39,28 ,20 , 42,30 ,22 , 44,33 ,23 , 47,35 ,25 , 51,40 ,29 , 57
Osun,11 ,7 , 18,14 ,9 , 23,16 ,11 , 26,18 ,13 , 28,20 ,14 , 31,22 ,16 , 33,24 ,17 , 35,25 ,18 , 37,27 ,19 , 39,29 ,20 , 42
Oyo,21 ,14 , 31,23 ,16 , 34,29 ,20 , 42,32 ,23 , 47,35 ,24 , 49,37 ,26 , 53,38 ,27 , 55,44 ,31 , 63,47 ,32 , 65,49 ,34 , 68
Plateau,12 ,10 , 16,15 ,12 , 19,100 ,100 , 100,100 ,86 , 100,100 ,90 , 100,100 ,93 , 100,100 ,97 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Rivers,5 ,4 , 7,6 ,5 , 8,7 ,5 , 9,9 ,8 , 12,14 ,11 , 17,17 ,14 , 21,20 ,16 , 25,22 ,19 , 28,25 ,21 , 31,28 ,22 , 35
Sokoto,38 ,18 , 78,43 ,20 , 85,47 ,21 , 93,100 ,53 , 100,100 ,53 , 100,100 ,50 , 100,100 ,49 , 100,71 ,34 , 100,66 ,31 , 100,77 ,36 , 100
Taraba,37 ,30 , 46,43 ,35 , 53,47 ,38 , 57,64 ,52 , 78,78 ,64 , 96,82 ,67 , 100,87 ,71 , 100,91 ,73 , 100,97 ,78 , 100,81 ,65 , 100
Yobe,33 ,16 , 68,39 ,19 , 78,41 ,20 , 81,45 ,22 , 89,30 ,15 , 59,59 ,30 , 100,68 ,34 , 100,73 ,36 , 100,75 ,38 , 100,81 ,40 , 100
Zamfara,10 ,5 , 19,11 ,5 , 22,12 ,6 , 23,15 ,8 , 28,36 ,19 , 69,23 ,12 , 43,25 ,13 , 46,25 ,13 , 46,25 ,12 , 44,30 ,15 , 53
National,25 ,19,34,29 ,21,38,36 ,27,48,42 ,31,57,46 ,35,62,50 ,37,67,55 ,41,74,57 ,43,77,59 ,44,79,65 ,49,87
