States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Enugu,25.52 307 ,22.75 034 , 29.10 807,20.42 089 ,18.19 109 , 23.80 795,23.16 307 ,20.87 039 , 26.60 807,21.37 341 ,16.78 089 , 25.31 292,17.44 359 ,12.01 375 , 22.10 225,17.59 414 ,10.77 138 , 22.39 249,19.52 548 ,13.32 775 , 24.14 663,24.45 872 ,20.1 722 , 28.02 516,23.50 481 ,18.33 428 , 27.61 053,22.64 092 ,16.81 669 , 26.81 596
FCT Abuja,18.86 068 ,16.87 137 , 21.15 646,16.94 363 ,15.14 367 , 19.20 003,16.87 807 ,15.10 067 , 18.98 573,14.11 949 ,12.24 474 , 16.46 549,11.86 216 ,9.994 , 16.55 162,9.55 028 ,7.67 327 , 14.89 065,7.37 111 ,5.99 617 , 12.10 654,9.60 305 ,7.78 005 , 14.26 964,9.72 191 ,7.5 809 , 14.6 017,11.71 502 ,7.98 556 , 16.33 827
Gombe,30.0 752 ,26.53 741 , 33.32 185,30.98 633 ,27.96 448 , 34.16 969,29.82 221 ,26.43 893 , 33.11 037,19.40 401 ,14.59 169 , 25.61 106,14.8 065 ,9.96 581 , 18.84 046,11.41 709 ,6.78 791 , 15.54 943,5.5 823 ,3.67 707 , 10.38 119,9.53 067 ,6.73 383 , 13.58 363,15.47 259 ,11.68 865 , 18.75 676,10.05 352 ,6.80 392 , 14.2 378
Imo,38.56 436 ,35.05 675 , 42.42 441,38.52 506 ,35.27 476 , 42.36 784,35.52 801 ,32.48 429 , 39.66 728,29.85 206 ,26.12 488 , 33.63 924,21.65 846 ,16.97 384 , 25.59 105,22.93 156 ,18.22 939 , 26.73 085,25.11 791 ,20.64 798 , 29.00 213,27.99 168 ,23.50 911 , 31.79 694,26.63 666 ,21.74 832 , 30.54 136,27.37 777 ,21.88 598 , 31.57 379
Jigawa,36.66 125 ,33.58 186 , 39.56 631,36.33 633 ,33.1 209 , 39.55 332,35.51 054 ,31.9 066 , 38.63 974,24.24 361 ,15.91 611 , 29.00 302,16.40 193 ,9.70 209 , 23.82 749,24.33 938 ,16.33 349 , 29.59 167,13.27 893 ,6.09 477 , 20.93 359,20.47 379 ,11.42 359 , 27.28 138,15.49 215 ,8.66 179 , 24.11 199,15.68 492 ,8.38 629 , 25.70 858
Kaduna,31.42 345 ,29.73 713 , 33.11 797,30.91 339 ,29.13 474 , 32.72 889,28.12 821 ,25.31 692 , 30.35 687,17.26 637 ,13.19 468 , 23.60 969,17.15 177 ,11.39 , 23.37 509,13.18 961 ,9.71 437 , 21.08 364,10.95 136 ,8.72 302 , 18.06 034,15.92 197 ,11.10 207 , 19.63 811,12.63 394 ,7.33 074 , 16.39 503,12.76 284 ,7.16 473 , 16.46 485
Kano,27.99 357 ,22.57 271 , 32.34 538,24.31 243 ,16.88 039 , 29.72 315,27.30 302 ,21.17 817 , 31.76 692,25.80 511 ,19.11 107 , 30.71 409,23.93 255 ,17.61 516 , 29.83 711,26.16 536 ,19.02 696 , 31.88 388,10.38 312 ,7.77 948 , 18.30 152,19.5 225 ,11.56 411 , 27.33 826,19.41 982 ,12.023 , 28.53 809,21.66 448 ,16.16 656 , 31.55 248
Katsina,30.1 495 ,21.53 423 , 35.74 086,28.02 696 ,17.94 851 , 34.29 342,25.29 054 ,13.5 516 , 33.0 271,17.93 825 ,11.89 254 , 29.18 431,17.84 825 ,8.32 194 , 30.37 711,16.10 847 ,8.65 955 , 29.77 763,21.96 157 ,14.17 124 , 35.92 035,16.65 297 ,8.17 468 , 31.99 189,16.34 195 ,8.43 915 , 31.44 422,17.7 832 ,8.75 963 , 31.4 744
Kebbi,28.95 941 ,22.81 747 , 32.34 115,27.67 781 ,20.40 392 , 31.6 871,25.10 031 ,19.70 843 , 30.41 256,21.15 751 ,17.11 881 , 28.82 919,23.97 535 ,19.24 545 , 30.234,24.82 699 ,18.47 036 , 30.63 423,25.59 812 ,17.13 743 , 30.87 805,26.7 115 ,18.17 102 , 31.93 144,25.6 859 ,17.60 006 , 31.8 556,26.15 157 ,17.35 778 , 31.98 379
Kogi,25.62 756 ,19.69 528 , 30.42 787,24.43 773 ,17.71 289 , 30.07 382,23.81 854 ,17.1 077 , 29.13 905,22.70 248 ,16.00 849 , 28.53 651,23.58 816 ,17.76 619 , 29.21 828,24.18 858 ,18.45 575 , 30.32 305,21.51 342 ,15.42 548 , 29.67 908,20.70 851 ,15.80 625 , 30.47 096,18.73 306 ,13.38 714 , 28.88 309,14.98 736 ,9.30 519 , 25.99 885
