States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,67 ,58 , 76,79 ,69 , 90
Harare,... ,... , ...,72 ,62 , 83
Manicaland,... ,... , ...,83 ,72 , 95
Mashonaland Central,... ,... , ...,... ,... , ...
Mashonaland East,... ,... , ...,... ,... , ...
Mashonaland West,... ,... , ...,... ,... , ...
Masvingo,... ,... , ...,86 ,75 , 97
Matabeleland North,... ,... , ...,... ,... , ...
Matabeleland South,... ,... , ...,... ,... , ...
Midlands,... ,... , ...,70 ,61 , 78
National,... ,...,...,79 ,69,89
