States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,37 576,47 150,52 810,57 056,58 002,61 490,83 448,75 000,80 808,88 280
Coast,28 541,35 425,39 782,43 450,56 851,65 045,61 259,76 578,76 394,81 945
Eastern,32 616,40 470,45 265,49 312,64 607,74 835,78 844,90 087,90 282,95 653
Nairobi,60 551,75 515,85 011,93 023,107 320,118 022,141 778,140 724,133 245,132 498
North Eastern,657,824,923,997,1249,954,1892,1934,1945,2111
Nyanza,143 877,175 003,194 552,210 769,246 293,301 029,333 333,389 159,366 790,386 884
Rift Valley,51 924,64 875,72 899,79 696,91 882,120 709,143 528,152 449,144 693,149 006
Western,40 784,51 175,57 317,61 925,62 952,84 013,96 084,100 496,99 135,105 787
National,396 526,490 437,548 559,596 228,689 156,826 097,940 166,1 026 427,993 292,1 042 164
