States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,50 ,39 , 60,53 ,43 , 64,56 ,45 , 68,59 ,48 , 73,61 ,48 , 75
Adamawa,77 ,58 , 100,88 ,65 , 100,99 ,73 , 100,100 ,80 , 100,100 ,88 , 100
Akwa Ibom,37 ,31 , 44,41 ,35 , 48,44 ,37 , 51,46 ,38 , 53,51 ,43 , 59
Anambra,52 ,42 , 69,57 ,45 , 75,64 ,49 , 83,69 ,54 , 92,73 ,57 , 98
Bauchi,81 ,47 , 100,85 ,49 , 100,96 ,56 , 100,100 ,63 , 100,100 ,65 , 100
Bayelsa,37 ,28 , 46,40 ,31 , 50,44 ,34 , 54,46 ,37 , 57,49 ,38 , 61
Benue,100 ,98 , 100,100 ,96 , 100,100 ,94 , 100,100 ,92 , 100,100 ,100 , 100
Borno,69 ,40 , 100,67 ,39 , 100,66 ,38 , 100,65 ,37 , 100,63 ,36 , 100
Cross River,82 ,65 , 100,82 ,65 , 100,86 ,67 , 100,93 ,72 , 100,100 ,90 , 100
Delta,56 ,44 , 74,57 ,45 , 74,59 ,45 , 75,60 ,47 , 78,63 ,48 , 81
Ebonyi,87 ,66 , 100,94 ,72 , 100,100 ,85 , 100,100 ,81 , 100,100 ,79 , 100
Edo,65 ,50 , 85,69 ,53 , 90,72 ,56 , 93,75 ,58 , 96,79 ,62 , 100
Ekiti,46 ,33 , 67,49 ,36 , 72,52 ,37 , 76,55 ,39 , 79,57 ,40 , 83
Enugu,66 ,51 , 83,68 ,53 , 86,71 ,55 , 89,72 ,56 , 92,74 ,56 , 94
FCT Abuja,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Gombe,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Imo,59 ,44 , 75,60 ,45 , 77,61 ,45 , 78,62 ,45 , 80,66 ,46 , 83
Jigawa,64 ,37 , 100,72 ,41 , 100,83 ,47 , 100,88 ,50 , 100,94 ,53 , 100
Kaduna,100 ,99 , 100,100 ,97 , 100,100 ,100 , 100,100 ,92 , 100,100 ,100 , 100
Kano,69 ,44 , 100,75 ,48 , 100,83 ,53 , 100,87 ,55 , 100,91 ,57 , 100
Katsina,83 ,43 , 100,90 ,47 , 100,87 ,46 , 100,85 ,44 , 100,83 ,43 , 100
Kebbi,62 ,40 , 97,64 ,40 , 100,70 ,44 , 100,69 ,43 , 100,69 ,43 , 100
Kogi,67 ,48 , 98,76 ,54 , 100,85 ,60 , 100,94 ,66 , 100,100 ,72 , 100
Kwara,65 ,42 , 94,66 ,43 , 96,67 ,43 , 95,69 ,44 , 95,78 ,49 , 100
Lagos,71 ,57 , 90,73 ,59 , 92,76 ,61 , 97,80 ,63 , 100,83 ,66 , 100
Nassarawa,63 ,48 , 80,100 ,80 , 100,100 ,90 , 100,100 ,89 , 100,100 ,88 , 100
Niger,100 ,81 , 100,100 ,81 , 100,100 ,81 , 100,100 ,80 , 100,100 ,79 , 100
Ogun,54 ,39 , 73,59 ,42 , 81,68 ,48 , 94,68 ,47 , 96,73 ,50 , 100
Ondo,55 ,40 , 80,58 ,42 , 81,60 ,45 , 84,62 ,47 , 87,65 ,49 , 91
Osun,38 ,27 , 56,41 ,29 , 60,43 ,31 , 62,46 ,33 , 65,48 ,35 , 71
Oyo,57 ,40 , 81,60 ,42 , 84,62 ,44 , 87,65 ,45 , 90,69 ,48 , 95
Plateau,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Rivers,39 ,32 , 49,42 ,34 , 51,44 ,37 , 55,45 ,38 , 57,47 ,39 , 60
Sokoto,100 ,53 , 100,100 ,53 , 100,91 ,43 , 100,86 ,41 , 100,93 ,44 , 100
Taraba,100 ,87 , 100,100 ,91 , 100,100 ,95 , 100,100 ,100 , 100,100 ,79 , 100
Yobe,63 ,33 , 100,74 ,38 , 100,84 ,43 , 100,86 ,44 , 100,85 ,42 , 100
Zamfara,36 ,19 , 68,37 ,19 , 69,38 ,19 , 69,39 ,20 , 69,40 ,20 , 70
National,72 ,54,96,76 ,57,100,80 ,60,100,82 ,61,100,86 ,65,100
